,euro spot,euro forward,euro interest,yen spot,yen forward,yen interest,dollar interest
1999-01-05,1.1785,1.1895,3.1975,0.008998470260055791,0.009213193292795283,0.54844,5.06031
1999-01-06,1.1717,1.1827,3.18594,0.008903926631644556,0.009114939385653087,0.55656,5.06031
1999-01-11,1.1528,1.1639,3.15516,0.009136592051164915,0.009353661958656815,0.54469,5.07781
1999-01-12,1.1537,1.1646,3.15203,0.008942944017170454,0.009154994049253868,0.55094,5.08875
1999-01-13,1.1729,1.1836,3.13063,0.008876264867743653,0.009081827263645445,0.54094,5.03016
1999-01-14,1.169,1.1798,3.12063,0.008760402978537012,0.008962982880702698,0.54219,5.005
1999-01-15,1.1627,1.1736,3.08156,0.00882223202470225,0.009027715085311907,0.53469,4.96984
1999-01-19,1.1602,1.1715,3.015,0.008798944126704795,0.0090049527239982,0.52953,4.9725
1999-01-20,1.1555,1.1668,3.01313,0.008781944322472994,0.008987148377819719,0.53078,4.99625
1999-01-21,1.1603,1.1716,3.0125,0.008855042946958292,0.009061254077564335,0.45125,4.9975
1999-01-22,1.1583,1.1694,3.01625,0.008765010079761592,0.008967001434720229,0.45188,4.96813
1999-01-25,1.1573,1.1684,3.01938,0.008784258608573436,0.008987148377819719,0.45984,4.96922
1999-01-26,1.1572,1.1682,3.02125,0.008788890841975743,0.008991997122560921,0.45828,4.96969
1999-01-27,1.1513,1.1624,3.02125,0.008679048776254123,0.008880994671403198,0.46641,4.97234
1999-01-28,1.1405,1.1515,3.01375,0.008637816360024185,0.008837825894829872,0.47375,4.96984
1999-01-29,1.1358,1.1469,3.01094,0.00862217623728229,0.008821453775582216,0.47813,4.97094
1999-02-01,1.1302,1.1412,3.01188,0.00866325911808022,0.008863676653075697,0.47516,4.97719
1999-02-02,1.1324,1.1434,3.02625,0.00884486113568017,0.009053870529651425,0.47375,5.0
1999-02-03,1.1344,1.1453,3.03328,0.008919015340706386,0.009125752874612156,0.48563,5.0
1999-02-04,1.1271,1.1381,3.04313,0.008834702712253733,0.009042408897730355,0.47578,5.00125
1999-02-05,1.1284,1.1395,3.04188,0.008836264027569143,0.009042408897730355,0.47375,5.03031
1999-02-08,1.1232,1.1342,3.04938,0.008774238834781083,0.008979885057471264,0.4675,5.04406
1999-02-09,1.1313,1.1423,3.05375,0.008720676724513822,0.008925383791503034,0.4675,5.04125
1999-02-10,1.1332,1.1442,3.04938,0.008684324793747285,0.00888730892285816,0.45,5.03031
1999-02-11,1.1308,1.1419,3.05313,0.008758868354208636,0.008965393580778195,0.44156,5.03406
1999-02-12,1.1249,1.1359,3.045,0.008749671887304225,0.008958165367732689,0.38516,5.03531
1999-02-16,1.1181,1.1292,3.0425,0.008461668641056016,0.008667764583513912,0.3325,5.06219
1999-02-17,1.125,1.1361,3.0375,0.008419634587858887,0.008624407072013798,0.31609,5.06063
1999-02-18,1.1247,1.136,3.03313,0.008373105584861425,0.008579272477693892,0.2922,5.0575
1999-02-19,1.1135,1.1247,3.035,0.008311170212765957,0.0085149863760218,0.27625,5.06031
1999-02-22,1.1039,1.115,3.03125,0.00830702774547267,0.00851063829787234,0.27078,5.06063
1999-02-23,1.0972,1.1083,3.02713,0.008227743952608195,0.008426729586247577,0.27797,5.06031
1999-02-24,1.1019,1.1134,3.02638,0.008232485387338437,0.008440243079000674,0.28328,5.09
1999-02-25,1.1046,1.1162,3.03525,0.008320159747067143,0.008528057308545113,0.28453,5.12063
1999-03-01,1.0939,1.1051,3.05938,0.008357011532675915,0.008565310492505354,0.28203,5.1225
1999-03-02,1.0919,1.1031,3.09875,0.008287063893262617,0.008499787505312367,0.26672,5.14625
1999-03-03,1.0912,1.1023,3.09813,0.008254230293025175,0.008465966813410091,0.21984,5.12563
1999-03-04,1.0841,1.0951,3.09906,0.008101101749837978,0.008303578842481108,0.17875,5.12813
1999-03-05,1.0806,1.0916,3.09156,0.008143322475570033,0.008347942232239752,0.17875,5.12688
1999-03-08,1.0891,1.1002,3.06719,0.008208158909956497,0.008416091567076251,0.18,5.09
1999-03-09,1.0884,1.0996,3.06125,0.008235197232973729,0.00844451950684006,0.2,5.09
1999-03-10,1.0952,1.1063,3.05481,0.008327088017320343,0.008541168431841476,0.21875,5.0625
1999-03-11,1.0847,1.0958,3.04863,0.00831186102568365,0.008525149190110827,0.21625,5.06406
1999-03-12,1.0925,1.1037,3.02406,0.008367500627562547,0.008576329331046312,0.19875,5.06406
1999-03-15,1.0949,1.1061,3.01856,0.008481044864727335,0.008692628650904033,0.1925,5.06
1999-03-16,1.0915,1.1027,3.02031,0.008490405841399219,0.008704735376044569,0.1925,5.06
1999-03-17,1.0984,1.1098,3.01913,0.008435970980259827,0.008647526807333102,0.18875,5.06
1999-03-18,1.1011,1.1125,3.01,0.008476012883539583,0.008688852202624033,0.1825,5.06
1999-03-19,1.0919,1.1032,3.00375,0.00852224305437191,0.008734387282732117,0.1875,5.06
1999-03-22,1.0881,1.0994,3.01625,0.008465966813410091,0.008676789587852495,0.45188,4.96813
1999-03-23,1.0878,1.0993,2.99813,0.00847314014573801,0.008687342541916427,0.18594,5.06375
1999-03-24,1.0942,1.1056,2.99438,0.008524422470377631,0.008736676568233445,0.20125,5.05875
1999-03-29,1.0717,1.083,2.96,0.008352125615969264,0.008558712769599451,0.19969,5.525
1999-03-30,1.0762,1.0877,2.959,0.008302889405513119,0.008507742045261188,0.215,5.06156
1999-03-31,1.0794,1.091,2.94875,0.008443093549476529,0.008652015919709292,0.20719,5.06
1999-04-01,1.0815,1.0932,2.915,0.008367500627562547,0.008574123295892995,0.20875,5.06031
1999-04-06,1.0715,1.0832,2.88613,0.008256274768824306,0.008460952703274389,0.2,5.055
1999-04-07,1.0796,1.0915,2.88125,0.008244702778464836,0.008452370890034654,0.20375,5.055
1999-04-08,1.0842,1.096,2.87575,0.008286377195889956,0.008491847826086956,0.2025,5.0575
1999-04-09,1.08,1.0926,2.67413,0.008276090374906894,0.008481044864727335,0.19875,5.04125
1999-04-12,1.0858,1.0984,2.67125,0.008334027835652971,0.008538980445734779,0.195,5.03391
1999-04-13,1.078,1.0907,2.6575,0.008308408109006314,0.008512811781731506,0.195,5.03875
1999-04-14,1.0792,1.0921,2.65038,0.008411136344520145,0.00861994655633135,0.19375,5.03875
1999-04-15,1.0763,1.0891,2.64825,0.008413259296651522,0.008620689655172414,0.18375,5.03938
1999-04-16,1.0693,1.0821,2.64063,0.00847673137238281,0.008687342541916427,0.18344,5.0425
1999-04-19,1.0635,1.0763,2.63938,0.008478887569950822,0.008689607229753215,0.18,5.06
1999-04-20,1.0665,1.0794,2.6612,0.008491126772522714,0.00870170553428472,0.1775,5.0525
