Date,pound spot,pound forward,pound interest,franc spot,franc forward,franc interest,dollar interest,dollar interest
1994-01-31,1.4939,1.48,5.3126,0.67999456,0.678195999,3.89,3.43,3.43
1994-02-28,1.4799,1.4693,5.2004,0.686718857,0.685025346,4.05,3.75,3.75
1994-03-31,1.4917,1.4839,5.1913,0.699594235,0.699692135,4.05,4.14,4.14
1994-04-30,1.4837,1.4773,5.3639,0.6949270329999999,0.696912677,4.05,4.51,4.51
1994-05-31,1.5029,1.5002,5.3915,0.707213579,0.711186971,4.07,5.03,5.03
1994-06-30,1.5252,1.5217,5.4191,0.7275372859999999,0.728916102,4.44,4.97,4.97
1994-07-31,1.5463,1.5443,5.4915,0.755287009,0.758092639,4.41,5.28,5.28
1994-08-31,1.5427,1.5378,5.9552,0.758955677,0.7621951220000001,4.49,5.28,5.28
1994-09-30,1.5651,1.5598,6.195,0.775434243,0.778270683,4.39,5.49,5.49
1994-10-31,1.6057,1.6017,6.4245,0.79001422,0.797003268,4.29,5.9,5.9
1994-11-30,1.5886,1.5865,6.5253,0.77166448,0.78070107,4.15,6.21,6.21
1994-12-31,1.5595,1.5591,6.9258,0.7527853059999999,0.7614986290000001,4.44,6.86,6.86
1995-01-31,1.5747,1.5731,7.0276,0.777544514,0.7867820609999999,4.3,6.8,6.8
1995-02-28,1.572,1.5679,7.1058,0.7869058859999999,0.7965588659999999,4.13,6.55,6.55
1995-03-31,1.6005,1.5959,7.0833,0.8544817570000001,0.8647526809999999,3.9,6.46,6.46
1995-04-30,1.6074,1.6025,7.0255,0.8795848359999999,0.894294402,3.54,6.4,6.4
1995-05-31,1.5868,1.5805,7.0271,0.854116843,0.8689607229999999,3.49,6.18,6.18
1995-06-30,1.5949,1.5877,6.8198,0.8642295390000001,0.8755034140000001,3.25,5.9,5.9
1995-07-31,1.5953,1.5871,6.93,0.865201592,0.877654906,3.02,5.86,5.86
1995-08-31,1.5681,1.5609,6.8839,0.8362602440000001,0.847314015,2.96,5.93,5.93
1995-09-30,1.5584,1.5521,6.7181,0.841750842,0.853970965,2.77,5.87,5.87
1995-10-31,1.5779,1.5713,6.7541,0.8732861759999999,0.889284126,2.27,5.9,5.9
1995-11-30,1.5623,1.5559,6.575,0.87427872,0.892140244,2.02,5.73,5.73
1995-12-31,1.5398,1.5342,6.3345,0.859623485,0.8751969190000001,1.97,5.61,5.61
1996-01-31,1.5306,1.5242,6.2691,0.8475294520000001,0.8630361609999999,1.75,5.42,5.42
1996-02-29,1.5364,1.5297,6.0717,0.8364700959999999,0.850991405,1.8,5.18,5.18
1996-03-31,1.5271,1.5223,6.059,0.836400134,0.851353652,1.82,5.41,5.41
1996-04-30,1.5145,1.5108,6.0645,0.8190008190000001,0.8358408559999999,1.84,5.56,5.56
1996-05-31,1.5152,1.5115,6.0905,0.797384579,0.811951932,2.15,5.6,5.6
1996-06-30,1.5418,1.5409,5.8848,0.7951653940000001,0.8085381629999999,2.68,5.76,5.76
1996-07-31,1.5539,1.5547,5.7448,0.811030008,0.823655383,2.73,5.85,5.85
1996-08-31,1.5502,1.5488,5.779,0.831186103,0.845737483,2.42,5.7,5.7
1996-09-30,1.5597,1.5596,5.8226,0.8116224329999999,0.827951648,2.01,5.83,5.83
1996-10-31,1.5862,1.5829,6.043,0.794786203,0.811030008,1.69,5.64,5.64
1996-11-30,1.6626,1.655,6.4819,0.784375245,0.7988496559999999,2.04,5.55,5.55
1996-12-31,1.6647,1.6569,6.5343,0.75289866,0.7668123609999999,2.1,5.6,5.6
1997-01-31,1.6587,1.652,6.5023,0.7189589470000001,0.731850117,1.85,5.68,5.68
1997-02-28,1.6246,1.6187,6.3468,0.687521485,0.701754386,1.75,5.6,5.6
1997-03-31,1.6063,1.6014,6.3974,0.6826870559999999,0.696039535,1.9,5.78,5.78
1997-04-30,1.6295,1.6249,6.603,0.6844158509999999,0.699202909,1.92,6.01,6.01
1997-05-31,1.6334,1.6282,6.627,0.69881202,0.7133685259999999,1.72,6.0,6.0
1997-06-30,1.6446,1.637,6.8205,0.693481276,0.7096728409999999,1.45,5.91,5.91
