Date,franc spot,franc forward,franc interest,dollar interest
1/31/94,0.67999456,0.678195999,3.89,3.43
2/28/94,0.686718857,0.685025346,4.05,3.75
3/31/94,0.699594235,0.699692135,4.05,4.14
4/30/94,0.694927033,0.696912677,4.05,4.51
5/31/94,0.707213579,0.711186971,4.07,5.03
6/30/94,0.727537286,0.728916102,4.44,4.97
7/31/94,0.755287009,0.758092639,4.41,5.28
8/31/94,0.758955677,0.762195122,4.49,5.28
9/30/94,0.775434243,0.778270683,4.39,5.49
10/31/94,0.79001422,0.797003268,4.29,5.9
11/30/94,0.77166448,0.78070107,4.15,6.21
12/31/94,0.752785306,0.761498629,4.44,6.86
1/31/95,0.777544514,0.786782061,4.3,6.8
2/28/95,0.786905886,0.796558866,4.13,6.55
3/31/95,0.854481757,0.864752681,3.9,6.46
4/30/95,0.879584836,0.894294402,3.54,6.4
5/31/95,0.854116843,0.868960723,3.49,6.18
6/30/95,0.864229539,0.875503414,3.25,5.9
7/31/95,0.865201592,0.877654906,3.02,5.86
8/31/95,0.836260244,0.847314015,2.96,5.93
9/30/95,0.841750842,0.853970965,2.77,5.87
10/31/95,0.873286176,0.889284126,2.27,5.9
11/30/95,0.87427872,0.892140244,2.02,5.73
12/31/95,0.859623485,0.875196919,1.97,5.61
1/31/96,0.847529452,0.863036161,1.75,5.42
2/29/96,0.836470096,0.850991405,1.8,5.18
3/31/96,0.836400134,0.851353652,1.82,5.41
4/30/96,0.819000819,0.835840856,1.84,5.56
5/31/96,0.797384579,0.811951932,2.15,5.6
6/30/96,0.795165394,0.808538163,2.68,5.76
7/31/96,0.811030008,0.823655383,2.73,5.85
8/31/96,0.831186103,0.845737483,2.42,5.7
9/30/96,0.811622433,0.827951648,2.01,5.83
10/31/96,0.794786203,0.811030008,1.69,5.64
11/30/96,0.784375245,0.798849656,2.04,5.55
12/31/96,0.75289866,0.766812361,2.1,5.6
1/31/97,0.718958947,0.731850117,1.85,5.68
2/28/97,0.687521485,0.701754386,1.75,5.6
3/31/97,0.682687056,0.696039535,1.9,5.78
4/30/97,0.684415851,0.699202909,1.92,6.01
5/31/97,0.69881202,0.713368526,1.72,6
6/30/97,0.693481276,0.709672841,1.45,5.91
7/31/97,0.675310643,0.690178756,1.61,5.84
8/31/97,0.661200741,0.674399784,1.63,5.84
9/30/97,0.679763442,0.693673696,1.64,5.84
10/31/97,0.688989941,0.702000702,1.95,5.84
11/30/97,0.710833096,0.724165399,2.12,5.88
12/31/97,0.694733917,0.709622481,1.77,5.92
1/31/98,0.677966102,0.692664681,1.49,5.66
