year,Algeria - DZA,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cabo Verde - CPV,Cameroon - CMR,Canada - CAN,Central African Republic - CAF,Chad - TCD,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,D.R. of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Haiti - HTI,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Nicaragua - NIC,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Seychelles - SYC,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,44672.6484375,53228.515625,111805.234375,59243.859375,88874.90625,2446.9189453125,73825.8671875,3564.26708984375,4610.85595703125,314.51611328125,131113.078125,4716.32958984375,1770.1458740234375,163.7033233642578,7828.88623046875,211456.984375,1695.3251953125,4227.07568359375,43271.19921875,532186.5625,10645.603515625,51217.078125,312.42364501953125,1741.7064208984375,6917.984375,5263.1318359375,1456.7545166015625,28273.345703125,46572.8125,6189.85009765625,13740.9853515625,18180.04296875,1897.8697509765625,277.4980773925781,10999.3720703125,782.2612915039062,26546.17578125,356573.03125,998.2899169921875,924.8195190429688,503269.75,16608.826171875,32448.404296875,10146.0400390625,10963.6103515625,511.3119201660156,4906.07861328125,3876.751220703125,1363.542236328125,474786.15625,85003.3203125,56798.625,18562.638671875,14273.978515625,280172.78125,6056.279296875,400383.5625,3184.422119140625,13322.6748046875,730.9537353515625,3784.65771484375,9202.638671875,3371.82763671875,18546.146484375,3095.446533203125,631.3003540039062,1457.7445068359375,2603.431640625,211824.109375,16080.1240234375,4410.89599609375,2360.11376953125,7707.30810546875,95082.171875,27104.91015625,6267.7294921875,5911.53662109375,27056.662109375,30590.357421875,53935.2890625,3316.281494140625,3392.018310546875,25171.83984375,43072.703125,33451.0078125,31392.44140625,24499.029296875,2910.04931640625,8218.4716796875,121.88200378417969,4131.541015625,78544.4609375,159697.75,27956.986328125,76228.765625,76873.140625,7955.61279296875,23115.990234375,26550.318359375,1570.889404296875,5871.72265625,6474.49951171875,101896.7578125,10906.7568359375,6710.99267578125,579612.25,2674162.5,18507.37109375,37839.50390625,6827.5107421875,7347.5234375
1961-01-01,33989.3828125,56823.0859375,116244.65625,62827.59375,89554.15625,2395.402099609375,76095.421875,3696.41015625,5068.60107421875,340.9053039550781,153149.8125,4569.4541015625,1551.4385986328125,172.55955505371094,8069.732421875,220877.25,1790.5206298828125,4565.41796875,45903.78125,442000.5,11643.1708984375,55404.0,338.8141784667969,1720.4317626953125,6810.548828125,5563.2998046875,1547.101318359375,26063.55078125,50570.7421875,6267.06005859375,14762.1162109375,19646.21484375,1907.8853759765625,282.1552429199219,11613.412109375,918.3920288085938,28846.97265625,382677.71875,1070.41650390625,901.4517822265625,541583.6875,18214.185546875,35029.28515625,10728.0185546875,11721.7451171875,489.64794921875,5240.87255859375,4095.94873046875,1382.2672119140625,497343.125,90341.6328125,57535.15625,19415.361328125,16365.806640625,303603.8125,6371.740234375,442297.96875,3574.726318359375,13722.474609375,778.4119262695312,4016.965576171875,9688.9267578125,3350.3720703125,20020.240234375,3131.116943359375,654.306396484375,1080.935546875,2629.09375,217147.0,21722.21875,4537.75830078125,2499.850341796875,7883.1923828125,101345.8828125,28272.73828125,6691.3359375,6506.47119140625,26005.958984375,32846.39453125,57494.140625,3598.582275390625,3674.46044921875,27648.8984375,45881.328125,36514.546875,32744.171875,25817.630859375,2827.718994140625,8461.548828125,128.6339569091797,4640.994140625,81626.7109375,178761.203125,26904.16015625,81119.5625,83728.6953125,8297.8310546875,25511.9765625,28260.494140625,1722.733642578125,6798.7705078125,7076.6484375,104817.7109375,11537.44921875,6920.2392578125,593124.625,2769873.0,18341.32421875,38390.5390625,6974.34130859375,7792.453125
1962-01-01,25312.228515625,57620.359375,123219.640625,65137.88671875,92937.34375,2503.875244140625,80227.953125,3722.32568359375,4909.6875,366.0782470703125,163011.1875,4937.21435546875,1712.8577880859375,172.11618041992188,8378.90234375,232038.9375,1864.8548583984375,5393.2509765625,48194.14453125,474741.65625,12909.9052734375,59756.65234375,356.9963684082031,1901.4908447265625,7244.39697265625,6023.927734375,1672.8447265625,34547.7421875,53924.1015625,8617.03515625,15731.5927734375,21177.4375,2117.30517578125,290.5137023925781,12173.255859375,920.6403198242188,30830.6953125,411262.40625,1228.721923828125,888.47314453125,578796.5,17473.6875,36755.41796875,11171.765625,12665.0390625,505.07061767578125,5170.9072265625,4257.5771484375,1531.37158203125,515522.71875,97964.7421875,59080.8984375,20075.0390625,18135.486328125,324484.90625,6480.59521484375,477561.84375,3742.190185546875,14827.1767578125,884.26416015625,4197.00439453125,10374.875,3590.06640625,21124.490234375,3176.150634765625,662.4180908203125,1101.130126953125,3005.172119140625,227184.734375,24520.58984375,4957.15380859375,2829.99658203125,8102.26611328125,107933.75,29431.865234375,7541.63134765625,6963.7685546875,26618.59375,34133.625,60308.9921875,3837.37451171875,4024.482177734375,30365.515625,48656.2890625,38466.95703125,34117.6328125,28454.505859375,3233.551025390625,8513.1572265625,143.98101806640625,4871.69189453125,86067.8203125,194860.5,29395.8828125,84672.8515625,89680.015625,9608.5078125,27806.060546875,30309.330078125,1743.836181640625,6867.11279296875,6911.6416015625,113170.2578125,12935.0576171875,7327.560546875,611288.875,2930119.5,19360.642578125,39036.30859375,7220.642578125,7919.23486328125
1963-01-01,37572.06640625,55590.203125,131188.59375,68324.46875,100659.0234375,2512.412353515625,84552.6484375,3952.5986328125,5350.43212890625,384.7712707519531,177315.171875,4754.44775390625,1845.12060546875,181.76852416992188,8612.587890625,240446.09375,1737.802734375,4827.1552734375,49569.23046875,538685.75,14067.548828125,62309.0625,414.809326171875,1961.122802734375,7790.634765625,6711.05908203125,1793.6549072265625,33758.7578125,54446.46875,9759.25,15944.484375,23023.490234375,2218.0537109375,328.32708740234375,12486.666015625,995.7759399414062,32212.8984375,437465.84375,1588.0341796875,1040.3072509765625,596493.375,18265.017578125,38521.3359375,11735.7275390625,12774.458984375,616.1592407226562,5244.55615234375,4495.20361328125,1684.679443359375,545418.25,95238.5,59523.81640625,20779.521484375,20008.646484375,348940.96875,7211.7275390625,516103.25,4135.77294921875,14808.7900390625,980.8345947265625,4354.0302734375,10474.1337890625,3633.299072265625,21981.318359375,3265.843505859375,668.8119506835938,1364.2972412109375,2987.878662109375,243959.9375,28246.201171875,5135.13232421875,3075.783935546875,8337.5,115615.0390625,31033.791015625,8036.77197265625,6916.685546875,28356.396484375,35385.328125,62059.7734375,4224.90625,4166.279296875,32984.1328125,51274.06640625,40189.7890625,34315.59375,29628.142578125,2961.38720703125,8807.6259765625,178.20948791503906,5138.978515625,90587.21875,215014.09375,27899.529296875,88971.8828125,93698.5703125,7819.859375,29516.064453125,32291.24609375,1895.3028564453125,7827.76318359375,7324.65771484375,123452.15625,13612.3779296875,7554.54296875,631987.3125,3024701.25,18507.76171875,42115.90234375,7515.90576171875,8023.61669921875
1964-01-01,41891.5625,59296.4375,137784.546875,70394.15625,100164.3359375,2484.390869140625,86787.1328125,4046.624755859375,5480.76220703125,404.65496826171875,183333.375,4936.419921875,1738.3984375,194.96725463867188,8808.9560546875,252619.46875,1793.1785888671875,4968.58984375,49434.46875,613617.25,15224.4599609375,67637.0546875,440.7176818847656,2070.84033203125,8295.6181640625,7757.90283203125,1652.0047607421875,32084.068359375,57830.8984375,10559.3115234375,17356.96875,25626.775390625,2372.708740234375,331.09796142578125,13318.1689453125,1046.9288330078125,33632.74609375,459748.9375,1703.8037109375,1030.720703125,622215.9375,17654.4609375,42222.40234375,12316.4775390625,12356.92578125,654.2271118164062,5429.2138671875,4823.5302734375,1828.9654541015625,581842.1875,94427.03125,58224.8671875,21520.65625,21581.2734375,360723.15625,7642.97705078125,559162.0,4344.74560546875,16059.6630859375,1030.0416259765625,4670.2529296875,10500.671875,3535.06396484375,23477.68359375,2707.07861328125,680.6446533203125,1876.4796142578125,4020.0419921875,273132.84375,29461.326171875,5296.49462890625,3313.93896484375,8921.95703125,121240.953125,32175.732421875,8669.59375,7345.841796875,29858.044921875,36812.94140625,65810.421875,4475.87646484375,4450.80810546875,35266.19140625,53223.78515625,39925.08203125,38459.984375,32268.330078125,2488.557861328125,9124.5986328125,180.05081176757812,4911.33349609375,97573.8046875,222696.234375,29243.474609375,92110.96875,97417.625,11896.5693359375,32860.52734375,34233.87109375,1872.509765625,8314.990234375,7396.6142578125,124868.4296875,14858.9462890625,7916.0068359375,647026.125,3171718.0,19508.939453125,45001.5234375,8273.2568359375,7830.08349609375
1965-01-01,45953.1171875,67106.796875,142996.703125,73628.6953125,98124.34375,2542.929443359375,90995.7421875,4281.24267578125,6374.09912109375,429.1063232421875,196162.78125,4676.3798828125,1865.0238037109375,198.64881896972656,9093.587890625,267335.5625,1792.291748046875,5051.357421875,50329.01171875,677300.5625,17126.337890625,66643.265625,440.0152282714844,2095.090087890625,9299.09765625,7364.4765625,1850.2398681640625,34552.03125,59673.55078125,9249.9169921875,17958.9453125,27070.6875,2552.835693359375,359.6657409667969,14392.501953125,955.8377685546875,35531.6640625,479412.0,1969.9718017578125,1210.892822265625,663892.625,18134.02734375,45392.30078125,12732.71484375,12372.9892578125,718.6574096679688,5580.24365234375,4980.49658203125,1968.439453125,566941.0,92940.71875,62449.25390625,21799.40234375,21209.8359375,373664.53125,7477.8486328125,589462.9375,4862.0185546875,17091.841796875,1066.4366455078125,4812.134765625,10451.6513671875,3973.1884765625,24948.33203125,2905.1845703125,708.7993774414062,2337.063232421875,3487.85498046875,281997.0625,28786.37890625,5372.69921875,3468.1552734375,8766.9072265625,129571.9609375,34173.03515625,9925.962890625,7909.09716796875,28351.83203125,38453.8515625,72426.1171875,4853.89892578125,4466.060546875,37966.390625,55711.16015625,41632.99609375,40504.87890625,35455.05859375,2774.332763671875,8984.2451171875,135.53692626953125,5146.49658203125,101776.390625,236414.578125,29117.17578125,96427.703125,100855.2109375,12084.7001953125,36126.4609375,36850.80078125,1987.75537109375,8024.85400390625,7907.75048828125,128390.8671875,15330.609375,8497.8349609375,659721.1875,3363499.0,18532.94921875,48765.73046875,8600.8212890625,8370.7783203125
1966-01-01,40796.640625,66314.6953125,149978.515625,77011.921875,99685.1015625,2679.92236328125,94233.1953125,4556.6884765625,6717.02197265625,416.4988708496094,204972.125,4703.29150390625,1866.9764404296875,219.15545654296875,9389.935546875,282758.5625,1878.298828125,4666.05810546875,56133.7734375,700120.75,19178.833984375,72487.7265625,470.5389404296875,2062.573486328125,9607.3935546875,8211.349609375,2023.5645751953125,38102.796875,62649.6953125,10449.896484375,18459.771484375,27337.796875,2770.571533203125,402.00750732421875,14965.7529296875,952.0179443359375,36708.34765625,503755.90625,1803.8917236328125,1260.1409912109375,686461.1875,17492.763671875,48608.43359375,13230.9638671875,12458.7509765625,666.0328979492188,5670.83349609375,5171.169921875,2217.062255859375,565631.375,95282.6015625,68047.734375,22112.73828125,23473.935546875,398756.3125,7295.93017578125,642683.6875,5316.962890625,18380.310546875,1159.8270263671875,4902.638671875,10742.1162109375,4427.67578125,26386.98828125,2911.990234375,750.270263671875,2297.27490234375,3706.07666015625,296483.28125,28561.197265625,5538.17626953125,3482.90380859375,9216.322265625,133839.34375,36234.07421875,10184.8330078125,7719.0849609375,26252.517578125,39952.46484375,79333.8203125,4976.6953125,4689.39306640625,40726.390625,58123.07421875,42435.3046875,43048.96484375,37196.3828125,3040.380859375,9391.7900390625,138.89797973632812,5573.5341796875,106609.4921875,252560.890625,31768.154296875,99579.46875,103773.4453125,10826.64453125,38691.265625,40104.578125,2379.158935546875,8223.1298828125,8119.53857421875,139915.015625,16339.396484375,9388.298828125,676906.9375,3576805.25,19816.455078125,51929.0390625,10405.904296875,8279.4765625
1967-01-01,42738.2734375,68894.078125,159516.3125,80271.8984375,96790.65625,2926.63671875,98267.859375,4875.853515625,7117.63134765625,509.3890380859375,224966.9375,5355.93798828125,2085.2568359375,296.1610107421875,8457.9619140625,297226.4375,1948.8582763671875,4347.6298828125,58105.26953125,715395.9375,19655.646484375,72961.90625,548.8602294921875,2061.839111328125,10132.1171875,8876.607421875,2274.421630859375,37937.515625,67326.015625,10302.1328125,19740.9609375,29819.34765625,2932.53466796875,451.6363220214844,14960.8388671875,1006.0050659179688,37949.3671875,532613.3125,2280.80126953125,1268.2984619140625,702580.6875,18649.984375,52516.03125,13989.044921875,12104.658203125,768.940673828125,5540.859375,5301.90283203125,2286.1328125,619453.875,101928.3203125,75745.734375,23149.3984375,24897.208984375,428403.4375,7445.5595703125,703009.4375,5687.77099609375,19525.6875,1237.6129150390625,4888.0166015625,10983.5556640625,4599.89013671875,26823.927734375,3027.57080078125,820.3800048828125,2427.637939453125,3888.730712890625,316696.40625,29637.509765625,6075.82177734375,3536.718017578125,8795.3486328125,141497.265625,35104.1015625,11364.58984375,8114.140625,23458.525390625,42372.3828125,83439.46875,5425.93603515625,5055.2099609375,43898.46484375,62041.46875,45719.65625,45415.76953125,40804.38671875,3185.88720703125,9550.841796875,191.06092834472656,6111.97119140625,112400.3515625,268485.78125,32186.197265625,103348.640625,107323.4921875,12743.16796875,43011.47265625,43555.765625,2635.8447265625,9015.658203125,8182.84228515625,146055.546875,17669.97265625,9472.103515625,701063.4375,3745303.75,19560.146484375,54160.46875,12447.9990234375,8407.3525390625
1968-01-01,45419.78515625,71888.828125,168049.015625,83599.71875,97273.546875,3035.537841796875,103648.6015625,5029.77294921875,6450.60400390625,579.581298828125,249319.484375,5548.47998046875,2111.929931640625,296.29241943359375,9279.7880859375,311351.90625,2085.114501953125,4313.79736328125,60662.09375,696766.6875,21605.31640625,77568.96875,550.232177734375,2312.394775390625,10712.7431640625,9765.482421875,2452.087890625,42135.09375,70606.4375,10549.916015625,21244.5078125,32388.642578125,2973.624755859375,480.95123291015625,15667.876953125,994.0318603515625,38626.60546875,556585.375,2337.5732421875,1336.67138671875,732218.125,19685.2265625,56181.45703125,14581.830078125,11972.583984375,820.8710327148438,5566.24755859375,5694.87841796875,2208.2626953125,655531.5625,105764.2734375,78339.0625,25256.080078125,29040.6328125,452387.28125,7263.0283203125,759404.5,6128.830078125,18612.84765625,1239.6502685546875,5150.2294921875,12007.2890625,4689.064453125,27263.83203125,3319.585693359375,912.3245849609375,2642.545166015625,3218.2607421875,338359.625,32239.658203125,6506.38037109375,3564.6015625,8883.6826171875,150533.515625,35817.5625,11305.443359375,8314.4794921875,24885.505859375,44191.05078125,88629.5625,5610.72607421875,5425.849609375,44942.76171875,65469.50390625,56379.3828125,48999.56640625,43951.8359375,3338.4287109375,9482.63671875,220.7036895751953,6817.95654296875,120794.015625,283180.25,35191.1484375,108730.1953125,111655.1171875,12835.00390625,47923.203125,47591.9375,2841.717041015625,9217.484375,8480.8173828125,156924.765625,19570.8828125,9766.6435546875,719547.3125,3967636.5,19823.0625,58809.91796875,13073.0341796875,7720.8291015625
1969-01-01,47682.65625,76539.3515625,178201.40625,85401.9453125,101920.046875,3532.71044921875,109149.6171875,5016.41162109375,6676.80078125,672.8829345703125,241873.40625,5630.7177734375,1977.4736328125,312.2021179199219,9719.0693359375,325182.0,2198.93896484375,4194.42626953125,63851.91015625,765457.25,23312.697265625,83244.3046875,554.1636352539062,2512.68017578125,11160.962890625,11333.720703125,2634.3505859375,45329.83203125,74809.90625,11241.908203125,22359.583984375,35066.78515625,3068.1435546875,506.1541748046875,16460.333984375,1093.040771484375,41992.44921875,590005.0625,2432.05419921875,1367.3004150390625,782701.8125,21268.56640625,59638.8125,15494.23046875,11876.650390625,941.8619384765625,5712.10400390625,5776.783203125,2119.379638671875,722689.625,102701.3671875,85577.46875,26457.837890625,32405.74609375,476758.65625,7548.5732421875,824501.1875,6271.39111328125,19523.1875,1216.18017578125,5441.05517578125,12390.02734375,4936.1005859375,28715.4296875,3399.032958984375,1041.6094970703125,2694.36572265625,3076.19775390625,358637.1875,35375.57421875,6834.08251953125,3679.271484375,9626.8828125,161464.296875,37891.00390625,11432.17578125,8043.58642578125,30830.90234375,47172.1171875,96289.4375,6192.04541015625,5682.72314453125,46565.66015625,67934.265625,58613.77734375,57472.21484375,46996.81640625,3732.06494140625,8420.853515625,217.05731201171875,7532.1376953125,128301.375,301988.15625,37956.4140625,113567.3203125,117022.5,15762.623046875,52390.69921875,50451.0859375,3025.1064453125,10265.5283203125,8936.390625,164654.265625,20723.5546875,10525.1708984375,718671.3125,4088363.25,21047.13671875,63668.0234375,12051.859375,9709.48046875
