year,Algeria - DZA,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Cameroon - CMR,Canada - CAN,Chad - TCD,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,D.R. of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,Ethiopia - ETH,Finland - FIN,France - FRA,Gabon - GAB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,22814.147793435837,6964.35577691659,26905.99596305472,17219.908380492525,4976.272789525104,31557.7930908572,21122.914277696,2980.915942586561,1825.1947936319725,5807.002995707071,1739.8597612025835,3113.684692467878,31897.94882588817,3526.985005832176,18619.006482757377,1799.999203151474,9609.354224130186,12511.323245610407,4863.548496823862,19026.949912922224,4314.166322448105,10719.270529696398,4877.158110607312,22055.101445963457,8309.15777217478,10460.117119673545,2695.4704416233885,1192.479658627388,12038.572142298617,17679.899940069885,5522.979204894681,13439.742118273145,6718.33338457577,8992.273425267422,7258.152082961661,19314.818976889957,2646.8973176286763,2982.682230935668,9819.669471465666,17040.25467840513,17885.213157965685,13382.598370341297,10911.47654554856,8356.892468480559,15733.169636417875,3726.926747827646,28390.99487074469,3548.8527699202805,2376.161708037534,6724.664014717669,1923.1214351433437,7170.775642667773,15767.899432489212,23592.94210960812,5334.401441638446,1950.2294096880469,13312.76551294364,20190.226590454804,26877.715719906435,3624.929132121168,1681.8153245917483,20008.447257017466,3911.727908449025,5030.209731671464,7775.374943753215,5163.350349619331,10614.11884761394,4630.516897572195,2415.4264542997234,2034.293613798547,10610.49008089818,8508.173819180785,10966.833873309382,12926.720167284831,9080.994220415972,20822.589670093956,28069.690530727465,5664.816447057982,6732.031392889169,2218.3197999753147,22663.212270888802,5392.291447229359,9896.37362374763,2524.792391203444,2552.05469683999,24018.460452742554,37687.11716442656,19576.135944315643,16128.684313904028,6561.028555835799,4242.017925418992
1961-01-01,17310.823187831043,7341.491424931339,27893.805779438862,18161.948267833952,4954.7941535919435,31262.329932490065,21610.350707973925,3232.2348381617485,1969.9331724512406,6625.927724841982,1690.8017923892533,3178.1265385390757,33235.78610279941,3750.0624671909327,19453.79401033302,1545.781230048674,10120.204926541215,13194.897160403523,4718.701315966506,18158.017491517883,4420.789346684143,11231.091919004417,4413.576149233629,23603.61971687105,8060.9083447303055,10990.324850270836,3032.483565187016,1237.9182288792772,12837.77759858076,18981.774829164027,5876.517280581506,14317.81015278001,7224.420260271105,9668.930584285885,7505.732086664117,19241.016233101538,2752.104111892184,3108.7378135793037,9723.057811434677,17907.913755002617,19758.44324124546,14410.098490412616,11436.61228783572,9104.489020424797,16943.54116967278,3741.2467321423396,29817.378211636424,3673.5177005133737,2315.2312501410725,7065.391233698757,1911.4459898529096,7366.3357908331645,15468.10174104751,23537.278095112277,8030.628908525868,1971.9490748765586,13684.97326406314,21210.909078134904,27466.153665706537,3919.074428056718,1577.3735865995209,21201.40103077077,4082.9017593319877,5312.749039568453,8393.579515615695,5080.021004292829,11573.937368700068,4642.104518070436,2541.980161628325,1977.834016746442,10691.111745021157,9189.027867328512,11321.119161088289,14230.798665903721,8528.943588109478,21981.60129894529,29207.746274632504,5781.271757908222,7168.478689507725,2301.020847988134,25634.09470267316,5834.987328170398,10064.248778085133,2544.2310345531014,2696.2758240404655,24303.038800222766,39008.60706187348,19199.920517927294,15905.553785962475,6556.569298117227,4380.25950087779
1962-01-01,13254.05672816977,7351.201415553987,28874.738671251875,18918.38901646959,5085.305109848312,32799.44064878907,22437.376441491266,3088.269556648946,2106.0202951091605,6886.322247886237,1831.095688429207,3266.3139851512524,34064.74570500597,4359.610654664292,20116.31197242682,1689.5012605280674,10670.278465387752,13874.826961667926,5120.585298485914,18723.43257964858,4635.92054296351,12156.786627987374,5690.257283636192,24788.158590941817,10620.48540565232,11454.545130327122,3214.5380637354583,1268.2161301485517,13777.246940737832,20416.003345036417,6684.27882001892,15261.390764571106,6853.882543518533,10247.92550608321,7643.97382916133,20953.69607390677,2829.8583572223993,3313.0469028607667,9758.077997287462,18341.689207447394,20953.92896738413,15446.266554590047,11582.248845730935,9705.234313201216,16893.361826204724,3938.2593074695396,31060.731477641122,3865.6192005224825,2424.046251543922,7254.853664370099,1904.7555560798191,7416.742993580149,17146.30323890612,23964.989978927308,7826.624504114489,2116.599952031983,15030.364634811514,22146.04657124103,27955.582220425644,4118.189797751871,1575.968131492375,21912.146486669903,4192.409854641257,5673.27006972987,9059.68380628745,5165.451666810771,12227.424368830192,4657.936369927445,2797.908533192347,2269.5572090487462,10521.48747336885,9327.977497839864,11897.253486474698,15415.473551799763,9103.669736608841,22821.73858282289,30122.976674278856,6551.030485916692,7556.776934968682,2404.410579860565,25139.08023213455,5649.513940145354,10885.555105296722,2812.6408575995156,2806.1959531597263,24869.360329429684,40660.39506591095,20046.57256720343,15720.426606661604,6642.927915005464,4329.918370550013
1963-01-01,19530.299505665713,7003.312614986178,29887.80891437987,19980.638927321503,5422.496049053083,32627.286115451985,23481.502468097086,3319.684172493457,2203.368208498718,7310.848578479571,1766.0905249845457,3321.851701961295,34541.66738763762,3838.594746658006,20378.139996365604,1909.2967498054106,11145.238172998179,14104.866648172714,5183.279135265796,19518.789339279236,4982.046147104072,12847.313667158167,5407.514573283915,24724.485671894392,11529.705303875635,11354.261347446416,3398.4824009549357,1272.7690488103117,14339.68773241776,21556.02529451813,8551.911005892545,15707.473384957217,6903.9236144824345,10892.800223505405,7852.41124617874,22634.0391393746,2968.7344372569314,3165.2545113641304,9608.714532086384,18878.48673414396,22143.728752182862,16890.56986850518,12718.422973588762,10399.468330376169,17932.1768393261,3830.5844817108405,32343.650394518692,3833.6567408791866,2397.986278010994,7352.562419717709,1923.557087892112,7424.426790636463,16886.095113939144,25044.500170742023,8685.12361291522,2153.4350187870486,15843.384464895651,23403.072176545087,29039.75468714897,4014.326124297968,1603.0088901870884,22622.810414062536,4222.80671829387,5726.244644438388,9671.647514081673,5227.577920920626,12812.42296361657,4518.670273899861,2909.1706531404484,2037.543218871444,10642.499422095872,9538.88464452899,12439.686935704603,16897.201667156813,8450.556560847108,23858.968748677344,30996.353652834783,5217.913054794274,7749.297220165956,2497.4426648455255,28131.052340847196,5913.548818838452,11698.667063584051,2912.572066382489,2841.454409865569,25681.210092162008,41392.15453764307,18965.980325042736,16485.906254441776,6765.037769537152,4274.5123103993
1964-01-01,21509.26099153969,7376.608554574686,30303.327617245417,20620.16200992155,5334.485595303252,31913.32362484821,23763.054545502022,3354.2504077909484,2306.3810905515775,7374.356093531454,1835.237263154685,3360.125219582803,35077.977020139886,3880.37737931692,20016.15149562777,2132.4366980432114,11681.608780522874,14927.21768915879,5369.754246619826,20147.70841440352,5550.01883977002,11705.871079126542,5039.28008298895,25732.78476981308,11964.973485103037,12088.308164469488,3737.916718065136,1324.9283979918175,14977.971067809032,22415.2860611523,9073.874769781052,16363.074958673524,6774.983320870289,12096.546023558858,8060.201261898708,22856.62775719941,3139.4534090777174,3083.9706564377125,9182.953020713656,19460.536153722933,22952.541902431738,17521.72808651632,13241.575006663235,11121.877565761899,18096.62512419395,4044.479846653584,34104.33594627492,3774.0252084912163,2286.983012281453,7648.316556170103,1565.5899872821701,7516.897067199419,22303.79250050493,27287.484802595813,9513.215150284766,2181.8519917024228,16549.922375435042,24118.55788461504,29292.536768205086,4183.770477082355,1614.0879941194964,23469.555350034265,4383.199149164078,5964.281243914685,10162.881873304494,5153.295825483084,12764.39949786339,4975.588443761921,3164.2807525826365,1691.5507758488247,10684.087198304453,8834.737329266136,13191.422459309755,17409.074817355402,8676.182944798773,24350.931272686703,31730.44796933245,7769.878320122797,8516.54838504968,2582.610068770431,29048.206954625603,5893.119844874553,11683.09326859364,3117.630261278316,2921.8621320175944,25987.774270092705,42436.9049912972,19805.215859847587,17122.411705538532,7282.14901809029,4077.1825796389353
1965-01-01,23313.256208287505,8243.612370401637,30525.004198989685,21713.61055366762,5189.967301402254,32427.4289015197,24819.579624268634,3846.0500766479304,2378.968295692628,7694.234418986721,1738.7661799508248,3428.9026775204807,35603.74062944913,3864.9738533738505,20059.274102609666,2312.556952971926,12700.744485034917,14315.99176078708,5327.857647236613,21840.07033933848,5067.185932352935,12968.621473637771,5319.040370199634,26075.563981595657,10061.059289431352,12232.514881349913,3895.9496899818546,1396.7102957697766,15641.385061892008,23302.395298987813,10365.030925765868,17394.725963264027,6875.0478208675095,13096.319636715927,8150.232115422387,23520.654782153964,3032.0097892464037,2982.7718627801514,9621.392561443412,19749.482590771044,21804.160282472094,18604.09966688692,12754.641134370493,11538.663094546755,19457.939337730808,4190.063347193372,34831.942142222775,3687.9927386659224,2515.780893995938,7920.085384819103,1649.3564975278725,7763.393740138508,19057.496749210946,27366.572608952738,9151.615888524138,2174.0698299989485,16786.332503791717,25558.286375317806,30182.56214425508,4420.014924024818,1457.393846768061,24298.98593348688,4721.536367081771,5835.014909070548,10744.636578483898,5524.777111985964,13349.59261205305,4972.704258319404,3471.9048252305183,1848.9979597518143,10238.654209609447,8984.023308714568,13560.910951798216,18341.867836172416,8463.073347549067,25318.939919030145,33074.894401682985,7726.35279530714,9301.489113523692,2714.1479223852557,26309.41767060268,6215.97778122407,11902.241083988913,3147.068145097902,3043.3837153860763,26230.633584751642,43959.599907705495,18655.073495932324,17998.661253119917,7399.951289026226,4242.520972932254
1966-01-01,20431.624027626724,8047.626305702408,30901.41285106361,22901.503190782776,5213.58133777843,33993.964024301094,25611.143638446498,3995.8355785286985,2296.8074331361804,7836.317793425786,1747.7086662349157,3499.588298346405,36410.561545657365,3497.6915588996717,22013.302526205778,2321.9722040124075,13988.848671859614,15050.53971516423,5142.043947645845,21779.27582905089,5417.766573171726,14033.231680132834,5732.662743274965,26916.55728319352,10917.595925297113,12272.233170532303,3774.7309212081796,1417.1201454693094,16128.4140513307,24298.354609294867,9372.2534721362,18026.516265385504,6594.040397749236,14151.76589141906,8265.901027728647,25832.605093771428,2998.128761954553,3004.7799654407318,10239.601765638079,20097.2704636525,23499.088506185657,20182.89150348402,12228.769457397255,12327.643084492403,20450.676128289462,4385.018184382947,35306.60682176968,3720.8456186496073,2738.2039738052144,8166.9932967592895,1622.5206300024722,8151.13236677921,19976.350242549306,27910.747190612783,9753.067532271925,2199.5740085684624,16332.278352993526,26196.37449049257,30868.80716379761,4232.4537640852195,1320.7589474906417,25144.353396164413,5061.963266669908,5968.525042934712,11321.407916382475,5416.571482810119,13674.770080725648,5149.815611044536,3637.4757921811947,1980.388898978869,10413.013808826856,9436.807050146126,14080.39927073941,19409.438484894414,9044.894442865068,26109.894641610663,34162.90770653472,6776.904095446246,9710.367267964977,2886.24154898523,27262.882366134727,6282.852625562731,12818.783417764354,3271.3297770819213,3266.4498285372997,26753.656634069488,45363.92504031594,19791.15405844179,18683.663937253492,8742.194891611209,4086.521865771193
1967-01-01,21080.87389823851,8259.368832356391,31869.61111619201,24266.513361277724,5003.342344694421,36812.25864117791,26825.19787189661,4174.466834963433,2821.618439025896,8379.215697652362,1987.575426523323,3115.6901378490525,37590.837854678044,3193.0753635580204,22420.264232006815,2269.6179598267036,13871.982981102014,14642.196017908369,5037.226316685028,22169.8467195057,5604.980582818054,15601.582248969129,5551.231388475985,28924.033880927152,10343.232715619773,12809.374439045641,4227.813580502316,1382.7674196112528,16985.93621373201,25618.83528887097,11695.7710170994,18810.292575300227,6766.14359097407,15474.829709161873,8529.220439960338,26746.016202788862,3254.3474024279667,3158.3963842842227,11138.391721551563,21150.597523525656,24378.90419896082,21416.871240241602,12281.621790688185,13229.88697068343,19354.449022176545,4532.034273533503,35589.39588523443,3733.5561272925875,2819.026790148585,8097.2136979636725,1655.1994954585336,8812.858739873594,20783.494383354875,28920.767180074923,9510.336639989864,2367.002165926161,16061.699335464426,27780.98387925313,29050.147473069814,4364.731114727029,1220.325344727116,26508.9777042721,5210.719262800332,6267.911807063337,11986.87423780602,5509.8513556582075,14824.224588519486,5244.585576529152,3984.9552708766473,2030.1743966030922,10319.631863003024,10065.377718088552,14677.6664240736,20496.210326450975,8981.38924645882,27389.996393795143,35145.0192485597,7810.296348149701,10264.161607389336,3064.9018355643666,28904.91548027939,6235.995898428788,13356.687304730289,3455.0678513801113,3195.072651064923,28110.85869098358,46431.28389516821,19389.64645846342,18995.926938520857,10201.210314476812,4037.6031295066377
1968-01-01,22156.799836241178,8513.995669411977,32774.14640736828,25608.67880776516,4969.371072709836,37920.36431874614,28325.18648104109,3729.928843373436,3157.2929702476094,9042.82269704314,2054.794955548041,3378.7959046710366,39336.035864074365,3105.346778971476,23012.301867618193,2116.6183330763847,14814.309579076964,15045.982971172934,5534.05189510969,22624.96488063767,5889.535092924733,16624.943488955403,5992.4621375783545,30104.469682194365,10185.390928212642,13454.533471815721,4485.058855418326,1411.0528025686738,17517.81506634987,26840.373154276735,11824.977124103933,19533.64570353922,7042.38451419291,16756.00610418311,8678.08894779536,25603.98361866143,3413.703285269692,3220.1302636478363,11263.727460570524,23010.25989712776,27815.493560579333,22627.46922363319,11850.48853520275,14056.901517896811,18983.05302790023,4202.358753851232,37636.87126579396,4004.780758179082,2821.556483209092,8032.315016942607,1780.29419593738,9723.851879333839,17068.864101226838,29973.720485313082,8912.797811145449,2485.292755188019,15671.882155506848,29283.205138396712,29612.40574524615,4387.302789643066,1278.572699329569,27620.87156238989,5417.133884675199,6553.673132220112,12054.479915286445,5839.625069018834,18394.256122407944,5385.541103508405,4286.446953140128,2080.4905579274473,9995.851580945182,10974.224624900979,15575.333746218812,21464.982983636542,9625.430359762278,28513.003115033796,36343.965083010575,7703.601615764292,10945.859206280627,3274.9652614734578,30042.43631527052,6374.019314978578,14286.990642510887,3684.720338659702,3179.7777390179285,29027.393576886425,48227.182154258415,19501.33472155099,20107.353224287355,10514.161899473222,3599.9595336300217
1969-01-01,23038.88703114535,8954.96228146029,33808.90943494682,26209.160301317555,5145.253349296786,44231.980786727356,29328.003630520718,3806.302546371271,3546.1183481533235,8538.695955638837,2079.460840980509,3497.7095829122227,39830.7842908484,2960.441988950276,23864.855699840013,2218.7007696831884,15613.359806598517,15606.642020153042,5888.988716064901,22751.68668581414,6528.757740759518,17648.81570888704,6278.189488447037,31291.840551130455,10445.38341619693,13821.273883940397,4745.695138088112,1446.3847041097313,18760.724677898233,28030.004823226587,12162.461943662716,20666.38309168735,7248.7615401073235,17841.05097934049,8999.534819105058,24368.249016432175,3730.9306543715493,3072.3162113937,12034.999657261716,24037.314233252167,30193.263619807087,24018.827170112432,12226.39027797448,15146.79817202403,18525.45730251734,4286.532730346569,39212.32273125295,4054.1053443234923,2895.994668915182,8262.86121602899,1787.768581377952,10980.028885292997,16258.30372419181,30818.594129640922,10430.17117663206,2559.090316429664,15653.801383048138,29388.12203040085,31208.041432056118,4162.702231268332,1504.78243794669,29226.770002020054,5760.088445638373,6686.6227016290795,12268.362175683269,6189.453471730879,19242.934713316718,6164.377628982811,4577.288534489749,2268.82573762602,8643.512412793832,11876.206579038877,16398.668614835573,22678.582547324702,10187.732371561257,29231.950789448718,37471.4515810976,9265.956296845643,11504.97405080602,3394.866102945527,32424.284541207548,6634.231579875211,14960.954446657672,3766.4198898216446,3319.6643591470825,28973.397268713485,48535.96381526569,20571.198610039184,21220.323582087087,9666.668799042305,4396.859958577791
