year,Algeria - DZA,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Central African Republic - CAF,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,D.R. of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Haiti - HTI,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Nicaragua - NIC,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,10509.008358033518,3163.7327100963053,15646.139353079083,10123.029724098527,1614.2589620023584,8077.843085900036,10413.567949298109,1613.6826419168933,1793.7250190601296,501.96353926839225,2256.5109578299666,943.0020025149051,690.4834041328526,1470.4419981126832,14982.252586393042,1411.9642015850502,5199.476781258437,1017.8253650757806,5547.489877490338,3843.2412025234953,1100.3429388014242,4885.054630423198,1775.6179513495954,4132.97464026045,2832.5067284800925,13162.048274830351,3153.0768863928092,4240.246020483837,667.2231904448334,675.555917886123,500.02521662543575,2834.1434893027003,9770.172244118809,10907.044632253816,3420.681392884505,2684.246693792012,11121.032557953182,4708.9643375057385,5156.360417844258,2257.44886261242,1529.316147962068,2204.844872325595,12402.693199378358,1169.77493470996,1399.1068287937235,3859.595799669109,6864.289014221201,8205.325315061691,7670.447187765382,5239.079604795243,5582.595304379812,2614.3050674068672,1636.3167048558741,866.1696536138386,16148.06213314854,1444.6872250510537,874.7093391050732,2490.64850846326,717.2982491657424,332.6052503079913,1886.1729823474998,3879.6338438629673,6463.121915159293,1336.8406207118228,560.1604667080309,3795.9603205346125,750.2827636053178,12256.347611951871,14052.787168824883,4794.7870270880285,1875.3804802539275,2022.3266927787845,11457.958076053206,1251.8423872680348,2742.9882379230344,2345.9726298102596,2842.087924290773,1961.157355520302,4492.128759815362,1316.7461329435196,1438.8567098328208,978.7436890034354,2585.78894434262,1529.189663214733,6539.659046059843,6377.415018495909,2912.3213067939123,13001.330759745319,24761.019339034825,2358.7726075162163,2455.8917326289957,1168.6097277168221,1150.670581624289,9736.842969810792,1672.3839991863952,5105.784825802875,1124.9519437253298,860.6201709854898,12569.28081278233,19180.187484107162,7424.589273791412,6881.015186049435,1757.65034247196,2414.726327350506
1961-01-01,8734.654889455978,3225.2294088470153,15666.44001564468,10675.157983354455,1594.6359391059855,8591.699053206456,10966.940258922135,1620.385825169264,1806.2707643737779,542.9916912064746,2503.0039281323934,895.6259179242742,587.3647365411657,1499.223761358412,15309.167321148168,1503.9614289712026,4961.0135777597025,875.1529364766513,5652.603038041923,3955.320244705184,1046.8522730935647,4679.3048691866625,1820.1073179073069,4568.783360137262,2354.6223940590025,13965.722127405445,2990.5305531899116,4305.300936796767,691.7572797386173,707.8173859265854,514.9309997944833,2805.545691699307,10581.843033325222,11293.722047973326,3595.9341035861444,2463.352609840686,11389.215431861763,4402.2127498564905,5820.851461865491,2328.7799326162262,1466.7583137402355,2244.6180049493455,12683.211924181653,1190.4928164987314,1499.9729422516314,3924.4271459963397,7313.853987772553,8891.63695432387,8255.231116142686,5445.145143478285,6142.617994870499,3034.3694893731126,1594.8328615242717,881.025012701136,16215.57862136679,1508.5967054305077,881.2203666457145,2650.5260586825398,711.4948422840711,433.27003122618163,1852.0251689013896,4254.431878530994,6455.177176146514,1697.31881503862,568.9398740737894,3755.885986510728,746.9028728479286,12365.69902262544,14546.538118017987,5004.788448877803,1977.1410886238234,2027.6929022411136,12031.75572783934,1285.1724282919229,3005.982946163701,2438.792153215406,2974.7744403928996,2004.8578069018022,4770.690535268706,1379.9962706908404,1579.5973974518765,942.4311846863644,2573.872221271536,1796.9605339457619,6652.748151076118,7089.675450659351,2834.0561094886634,13790.096065139018,25970.414765333164,2400.78705926918,2611.742508591042,1212.2843995301039,1228.9678237744968,10975.640706629472,1715.566808872483,5062.252400898901,1133.6520784420293,860.17389036877,12817.946323960125,19342.103028559937,7495.573036338411,6781.865640328425,1785.8844908675921,2480.505976156474
1962-01-01,4595.165489374175,3247.7747832895193,16218.777694553037,11039.562196815989,1679.0002453562631,9219.07075416074,11832.121657050686,1551.691449598031,1812.806729889845,596.2114688585077,2624.930240082253,963.0868957134085,633.8071643142073,1486.314051007595,16097.51836425856,1476.4593531634844,6119.615101842659,935.2115225618995,6281.43656738717,4024.1952174806893,1407.4484518334173,4878.539794486019,1883.1517473824752,5436.008230005116,2823.057384095668,14817.4538971228,3236.345426219361,4334.344094156433,718.5833364108674,794.1881063589215,528.7738104807858,2779.452340147533,10793.383123596997,11881.014609697262,3773.3293961550994,2435.013364064227,11765.181966071954,4319.788517861283,5729.4388888622025,2370.025248970722,1537.5033010806258,2311.831600636564,13169.291152453383,1218.2638784318328,1390.1439466068246,3764.993352850774,7700.608353466587,9484.288681150509,8734.436328001286,5535.245927708556,6701.363937880259,3037.2830444131528,1701.6170311638791,1027.1821431646786,16939.28778217653,1583.188071709719,878.7460125918333,2774.6395821656874,706.1200821949535,897.5921543413784,2087.778579226432,4553.2522265445905,6500.508613017771,1927.8949708410369,623.528911210661,4357.102881534725,758.6237625225923,12889.296151440838,14759.534408259742,5515.16040313979,2145.8679394064443,2051.7816304885223,12311.417283543857,1348.029408701931,3274.0317888125574,2396.4447771090445,3164.6639003468003,2107.768093057969,5187.400781258372,1362.2648323110468,1721.1177393155535,1040.8370325337587,2599.3573990287446,2231.0257242751027,6813.05365700963,7749.75740997916,2979.059933542207,14546.982525685178,26717.411828502696,2949.1984779594272,2740.965437125242,1256.2419179579942,1245.9147370419685,10355.50100190117,1733.6624543396092,5257.709263732005,1212.5306946695484,858.6733987580881,12946.663809168802,20213.129846501517,7569.8209588185355,6824.167908600085,1770.4772525304668,2387.665504313579
1963-01-01,5320.490300102793,3084.691109996122,17097.55120587727,11412.303691842872,1736.1517143563133,9026.570727224445,12284.827488967016,1601.555862365206,1906.9963487780194,616.3229793621657,2721.4109336474367,923.8992034414445,641.8534468085959,1557.6730744709334,16680.576736762585,1366.2640401691815,6186.370378190303,1016.028371755314,6870.220589666159,4012.281877667224,1545.2896557437487,4992.205986109668,2061.8627171997496,5480.947869296619,2637.3627866897477,14984.562683908727,3062.716144507063,4305.305128566739,760.549574819822,800.5111372084018,530.5783809900064,3093.0387467560736,10868.30469947886,12454.184966702454,4594.163626366828,2489.700867506832,11949.74492031442,4598.263229230131,6446.0583679033,2446.8472169931124,1490.9612438888598,2285.4823253027334,14616.597900765577,1269.0459505593938,1255.7300966469809,3887.04720596405,8001.746676071946,10197.178883861308,9076.065446823935,5863.9689849365395,7182.361638970099,3096.741460816495,1686.720873248142,1122.9352841359832,17046.72948530125,1554.4211846557932,868.1833303417518,2918.4132818881203,678.1293058247819,162.42198987803542,1949.6954174566474,4572.209373773691,6865.851576201561,2202.1576663456717,619.7368429247825,4557.2068441207375,749.8234527857697,12957.129533213689,15354.68314397078,5823.718233430207,2283.4504091737663,2120.5475939054804,12781.464696751846,1398.0884245933535,3429.0472167817866,2460.819249292548,3253.1198822776782,2167.0559415366324,5440.551842894983,1470.391176726026,1846.8753287707216,904.968903472775,2567.3248275348697,2634.139851093803,7209.28110066647,8397.795916482792,2799.8849276160054,15258.716031560936,27395.0279529724,2532.1260328327517,2920.5337788929037,1300.8946894164815,1296.9642932590255,11204.842417948805,1874.419709422093,5619.228307390011,1270.9201762440914,848.6274134928686,13379.151278955827,20788.538116799577,7316.025332233957,7192.137422072849,1824.1803634929672,2363.5118660604176
1964-01-01,5413.859929453568,3176.120811681651,17574.573982168236,11866.055096004717,1682.4231087439587,8914.135596573962,13017.674456877614,1651.505927255204,1970.671432369549,646.7459899625951,2755.4741765411595,950.2782240329684,635.4422267944007,1583.8368800186604,17477.49952422804,1401.4508513359021,6237.552053742879,1109.217759113415,7284.138369402272,4202.080888626917,1611.8984943373907,5074.281222769726,2293.0957239390295,4675.189889054833,2341.115919060662,16080.210707958136,3057.8090597708983,4510.215664096244,839.2759043424935,828.1347036583466,550.5408026291369,3468.6223543026845,11165.614064365802,13121.160497856788,5026.808793453377,2682.724037642381,12733.685935450992,4784.511000961634,6888.895977195066,2452.298659772219,1446.0366224250681,2339.9624992915255,16148.275858952644,1327.765341489724,1173.283536880052,4044.4060392923775,8201.875925415385,10756.812306321437,9258.16366223426,6023.993694741565,7913.84325294501,3412.9739219767844,1780.4312669525734,1179.3751512160225,18301.19286100897,1548.726644234855,841.8789191663469,3087.542305240919,535.5442176089693,812.9986029963254,2628.1066827975997,5064.812885664442,7520.412798412442,2287.9549130288756,630.3190202837827,5013.218264329875,812.2873074557006,14277.00162465953,15700.696540270228,6336.257495606932,2208.9838913395915,2063.472228933174,13488.100522845747,1461.640653490859,3498.8652437099395,2469.1958207574894,3360.9268839607626,2142.4990089333323,5623.072193817508,1555.8501081027773,1947.9433830524588,787.7290691918544,2556.1671359156926,2668.3638438414764,7495.940664947121,8728.77963164958,2892.151773752219,16260.157576647629,28531.394858387066,3056.1026982389835,3196.7682025745266,1365.535913583766,1456.6614598230458,11751.87177488831,1886.0675278388462,5655.940420791628,1429.3971508223244,889.057112676622,14067.603724163797,21691.51100336403,7491.037964662884,7710.422272733013,2015.1074329537719,2226.0322100997173
1965-01-01,5614.799690495905,3510.4078382103953,17432.53985841545,12195.38456787722,1628.8413597177514,9322.262950278859,13382.948586293902,1756.8148810257962,2029.0346351308497,615.7689376310509,2846.6484239272795,938.6991295527869,640.5754002667416,1643.3039987214413,18193.213933152005,1384.532479105486,5908.899072138283,1193.8304845747286,8053.669873135662,4079.2804059288437,1562.024600355214,5443.797331756688,2099.219993356019,5970.730181603801,2620.658039978341,16700.016108536664,2775.9022260891384,4521.9807209611345,850.2671381021956,853.3718903791881,579.2433180560585,2888.1793545192445,11842.215727715044,13631.037057344967,5393.88200366809,2904.9574152092227,13285.796309657575,4581.557677490704,7613.864290320965,2490.4594980721145,1427.8906310846799,2439.24349723547,17336.099093866953,1278.956745054213,1343.0718040816284,4206.012322999613,8332.094406224409,10510.278522648758,9467.395039114983,6069.2349677757875,8342.40752980107,3710.268952020946,1821.546300687539,1184.2165194405115,18545.03028597373,1511.9926186359419,951.9948811524406,3202.707055384848,573.4588177939901,1913.5048586095058,3018.283552195896,4661.525775336141,7663.656155727975,2211.581329635602,626.1604208395275,5088.0047285306955,786.9072060237388,14668.785670548175,16413.599058967677,6901.210095050562,2253.549091456962,2251.8587943276116,14081.00420406771,1563.1255847797493,3730.721111412656,2551.8320242105606,3479.515314858223,2175.536245030972,6020.7518514910125,1599.3506896615854,2134.92098496717,817.0326149819069,2534.1032389664256,2780.688161103285,7704.0045298059995,9133.829861657672,2805.2002558945996,16686.109481492185,28911.405575196055,2916.03790706505,3542.8898433230925,1479.6281013953312,1622.6735934276753,11176.193947864884,1924.0313500417983,5654.0814110326355,1411.9520955133173,871.0740286189855,14346.79166021384,22810.88189375264,7411.319805656524,7609.480398761547,2356.6263094451983,2377.1892675043227
1966-01-01,4921.036215297147,3537.866792658301,18354.293376960304,12783.00587251761,1611.6363186044352,9875.719280996573,13800.64585134769,1773.3346032003524,2157.4212555690556,669.1273626426985,2906.2240050792975,938.9462429079869,648.3108516636707,1697.2519143411275,19141.67471073305,1344.180187772254,6506.431688982658,1196.0726099119518,8412.59709666001,4181.519943307117,1444.6829767522845,5594.032087678763,2260.572005469395,6231.729125630456,2741.5323493905375,17117.715027191975,2792.8987690196445,4541.080394837143,863.8728581748469,882.9705956004778,589.4524713350697,2921.1614563692706,12242.429344555374,14283.300216309242,5007.9508422085955,2871.2419915799674,13603.386468433073,4410.958581055622,8175.8331771677795,2589.746166995109,1404.9421456947648,2453.300805756077,18338.483125208397,1252.1766923913524,1109.464662049509,4419.035763318984,8498.93549229693,11440.403603230026,9974.20243512682,6065.179143569938,9147.960444513878,3759.9784264145114,1948.3597812386197,1237.5242736875643,18983.7117465167,1569.518037812738,1072.8050422869785,3351.221614220951,564.8489805319293,2238.979332130379,2981.6357962734683,4693.930397846109,7891.193830259226,2100.917325937144,621.359530123123,5277.489568183251,834.3734590159866,15010.107467808642,17271.94566736126,6787.8653465127345,2188.92174592396,2205.567965463748,14665.880833204976,1686.368504999754,3929.645515962191,2500.730238153482,3657.4561932392953,2205.3040967931192,6206.480364552291,1776.8211290908616,2246.192182423292,862.872640777859,2628.2158298147992,3237.457693981736,7869.4493931209645,9732.48432741128,2977.9823898560117,16941.616431052706,29390.04016057174,2553.9821675553076,3742.9844049740595,1683.8660951494617,1744.112288844182,11762.390961281075,1970.7838943569984,6374.244082766393,1490.4903595369744,894.0821317791199,14651.76887281275,24039.30408053131,7646.99972406066,7511.722794771088,2418.858023011627,2260.1499052186796
1967-01-01,5295.96829370458,3618.866781742459,18857.3975138547,13161.272951048775,1536.5440914691317,11004.188845683753,14343.145408622357,1814.3165522853096,2270.040963744562,777.3758317434551,3079.932870942483,1028.3993223088978,715.6175081117133,1524.4870234328375,19383.007647998133,1302.6680712670536,6793.517823327869,1203.1865033048011,8499.319845672992,4228.388563986303,1448.2583418824597,5719.694895920063,2281.067331666522,6891.458642101599,2450.485775537495,18004.580856604232,2817.472092143742,4758.23096193882,879.3996279080098,920.8353211346276,590.3052805234518,3281.5561196069584,12594.197207405705,14924.330318288054,5311.611022571175,2777.5024491881663,13446.077952626832,4003.5931234815866,8519.285063738347,2655.239199527322,1354.070961500021,2481.622014312975,17501.31310688019,1324.3528701915075,1157.8074399036109,4945.993921721781,9046.566005151299,11366.307539285213,10677.055504187805,6004.527324110965,10029.0640777276,3787.3435828324277,1978.0567286404996,1319.28592171079,19950.70044754935,1626.9083264335125,1079.2707491367948,3364.54608986445,577.3819827882082,2511.5208586994954,3286.7442817403617,5009.757818397967,8084.529177541666,2133.1263087350644,686.4163725126393,5175.8927370371475,802.6906177572308,15749.336440889288,16325.831349801254,7069.720119585751,2191.8714866596924,1837.5020573792342,15477.089447426859,1683.8477352152506,4222.400520866671,2640.2343100972294,3752.2532387218453,2199.6162237349276,6718.546668314372,1840.5433195239964,2491.1343921108896,900.0926890225415,2565.0745565733228,3659.6937659058763,8238.588363510049,10139.265965244984,2955.0967674408216,17560.575547262517,30085.64748163053,2774.6870271787425,4155.234574133725,1687.247115447088,1787.6540440047334,12235.626086171224,1943.0541513403189,6421.333953133488,1536.955782246669,856.0366782176782,14964.293078907012,24426.439360474036,7384.4427234469495,7439.156171968117,2818.979793978657,2219.8658683980466
1968-01-01,5802.089164895652,3676.5547565078296,19948.587572383156,13713.062430058022,1556.5614643299946,11455.66005990702,14994.321144478135,1921.231476599658,1969.3458980481437,857.2335679181346,3315.6620093519164,1045.6983461843756,707.691304726007,1563.5220804597757,20172.19128677887,1461.882349880974,6858.165425151554,1139.1700710975251,8798.770271684862,4380.433895162231,1622.4979160300732,5922.176014028833,2481.610421723228,7095.729335373422,2579.2535887929403,19015.91779839312,2691.958848000661,4860.4151306433305,955.8237000474056,935.9181317138462,607.6018499361115,3613.651333159795,13271.033808551034,15487.46058642241,5401.4564740049855,2878.5594350319066,14183.181941201314,3925.288329043856,9085.104849718096,2810.8730084270114,1363.9479470106419,2577.1904028457943,15976.571484123313,1355.8009988699043,1186.9342701940113,5210.943032382156,9754.404336203463,11760.51654727215,11340.015742691483,5978.875255574874,11199.40707565422,3485.93434584772,1915.4993464999527,1300.20727185536,21129.3502709461,1736.5277780701765,1077.0145644420895,3452.1819778714334,615.8267312678881,2893.214545673677,3757.51514465626,4021.839703797937,8511.230624693242,2236.2874554353875,706.5311062260969,5241.645762441264,794.5387646470795,16778.556373333973,16189.472032827522,6963.842789169214,2191.1933452948474,1791.4025875215052,16072.813192705007,1730.669769031813,4425.350875018744,2658.582001943429,3653.2346386290756,2281.5692766756615,7646.00801235144,2016.2396935070226,2618.5449718371483,942.3741515213515,2561.0896214483296,4094.2299314575125,8308.672671358498,10740.056647926156,3149.975827860768,18169.25554653191,30877.26896720064,2819.633377780914,4528.712272125766,1761.8034609234996,1796.1144333807622,13074.851137355476,2072.8229004768505,6736.465736811095,1607.5241098863198,878.4812504314583,15569.177080191972,25374.394390785445,7456.155649736743,8092.441791175458,2949.927302138185,1992.7623832583847
1969-01-01,6121.402080410887,3962.6942496951874,20980.70670897833,14360.539749843834,1582.1494195486082,13236.03232875509,15934.745232423227,1951.3301005801543,1974.144873064266,813.0428179879394,3277.8340168652876,1051.3176184646306,667.5967523493142,1632.2284431896908,20883.257542605472,1443.1667254946215,7195.341931514386,1214.0986165063184,9613.323101145552,4540.1285393414055,1745.6115137159106,6064.943115871114,2587.6562929571073,8056.532586322287,2800.2033593053748,20199.173253922774,2827.5308158901416,4853.625769168139,1012.5284314507132,935.8754085047544,633.3509678967132,3679.526039776535,14652.471117103889,16472.848981961775,5585.076154606689,2726.5600794739667,15211.445067453971,4122.889777323664,10104.558171864006,2909.050899767101,1381.0471173231028,2493.419278290996,16681.985812990966,1462.7793280770493,1187.0682714650932,5299.168000400124,10208.811787714143,13282.57308477572,11970.803926692974,6150.903910916611,12450.172007311048,3426.6091342704344,1978.3057477769303,1271.641871499993,24098.38907053717,1768.1599579725112,1124.5197377563359,3474.340118411934,619.538740877369,3101.8306513979123,3467.4189267007223,3996.812357704385,8560.90071751938,2440.36521947549,730.5518999712777,5472.01654011672,820.0460623530399,18121.245328461202,17691.188970636907,7075.212321130364,1979.7293816706845,2159.132916912036,16551.854879716597,1815.354522513902,4703.932196563559,2723.0972006609177,3710.7459320980684,2337.920717416186,7892.753083811179,2247.7511783076275,2765.1809550847333,1004.576839034993,2246.1904287122607,4684.704964611531,8651.770619930361,11616.67197165682,3284.7458066361733,18972.799969841402,32232.740096219477,3232.6651375265333,4812.688166572654,1893.9221767371116,1965.928771390704,13915.369659656604,2114.516473369204,6890.756141951912,1641.967167439906,928.8831502777944,15800.941685799007,25915.994763875708,7872.896862974217,8232.303220733387,2736.7407126767516,2429.3269397772
