year,Algeria - DZA,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Cameroon - CMR,Canada - CAN,Chad - TCD,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,D.R. of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,Ethiopia - ETH,Finland - FIN,France - FRA,Gabon - GAB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,33147.96389077667,8450.46747434385,39832.99755098107,21247.99521004626,4862.46492583443,27169.22776283315,29520.86619629101,3389.8757881531315,1490.632254556454,7357.255996524973,1701.1123435658624,3254.023412803734,40810.650061741224,3550.3447780316696,18591.11014450172,2251.9648961387425,11845.336793348695,14848.182077089368,2932.316298088858,18170.297270338975,5262.015474982529,17655.784482019444,7055.07064774111,29504.05535099513,11204.483476811463,14837.442837701117,2795.8666440997285,1262.16472022574,20258.332800509295,25809.7470881124,7961.71893277415,21834.27919536243,12984.264815252373,11823.62624071311,7651.125925314447,29683.622328126894,2890.5461143529997,3495.6777787526808,10066.080879082685,18450.952749000062,23197.066967972918,18848.37091161801,15173.320386577083,11466.212236486712,13114.146848152935,4169.244892356723,51010.00169864803,3154.302787196252,2218.678738730535,9023.866390873192,1808.3648183070968,8594.607796566306,15804.11176502335,27033.08347584533,6125.536661047921,2004.1699432376338,16487.0824202749,29997.91927565318,33975.046962024775,4136.037071531468,5527.361741469035,29039.048622510734,4061.6811697491516,6048.880181944019,8795.271720390845,6434.930168048666,12522.713732499931,4753.3821327476735,2648.8632551506153,2066.678641905514,11925.88742804239,9756.218551446273,15031.198264797365,15753.910900046032,9581.783878716557,29396.645511408944,46750.03360378133,6501.476065410739,7624.700850951405,2782.3358920214746,25120.40914864302,5622.192806847943,13548.8421528028,2706.4971077031623,2336.0082571121397,27488.87541324197,50245.61043938864,20520.663647192192,25851.064947903793,8523.715545737303,5363.326890372159
1961-01-01,29395.948596394268,8777.407167350299,40503.88156626473,22398.51710938355,4857.960917081051,28460.426700748998,30537.128643768363,3546.825272493727,1604.1549861824292,8121.441246438016,1672.3221572048496,3357.7509017172556,42174.08542057393,3694.9761140688706,17939.046306405035,1989.8920684360764,12084.057100877733,15372.53061446516,3034.6085383415816,17558.765332888368,5208.890507260744,19314.623878180373,6092.675062861646,30842.09153895922,10571.869676239101,15130.858968941766,3074.2141744806236,1303.737741020844,21701.870738777434,27014.198908814444,8444.195240159486,22340.00575000005,12054.051556049146,13383.558668627871,7810.628148540082,30859.958083207584,2990.205426243353,3519.5513896011958,10153.741941145427,19552.687032573325,25316.327979336915,20314.398748303818,15836.309512420807,12520.655833642848,14683.032475733198,4122.242056837655,49875.82502191446,3265.06009995567,2242.5854735559087,8796.61271183517,1783.2708585569073,8780.009197652993,18097.145333645323,27135.544144814106,8618.290426435282,2018.796962495567,16031.141777014103,30461.50116484608,35101.367795443446,4358.20565932577,5485.007470033677,30366.877467547958,4175.4044431838665,6255.071637360627,9204.558557774784,6159.838059563199,13253.441041187341,4833.753890165001,2928.9520345138617,2000.272780469388,12095.373694866903,10075.569943887222,15521.311527953043,17285.82905113006,9339.318702606106,30682.372720081476,47909.12581957253,6939.908295991538,8074.774441263217,2908.4688081524937,29036.34082175132,6086.789209281332,13641.477023458696,2638.0906682167447,2448.1742733393367,27949.846525661247,51475.76617665514,20709.325458602256,25527.3397136673,8187.2692102779365,5536.916656453317
1962-01-01,23379.21640715266,8267.753075232149,41719.49973070688,23165.406674309506,5124.972351812249,29757.75376286765,31567.06947403122,3599.2429913683104,1721.7736807206063,8435.722905345552,1815.7369194016221,3301.2997265839276,43656.09687412344,4173.794974551679,21955.861053762084,2204.3990530047354,13161.04188356941,15723.056366644423,3451.847211911604,18241.646842590886,5325.847656827686,22479.219851577294,7345.701634157377,32035.005414455212,12625.35893095385,15390.109762677357,3196.254103100323,1321.8123278997468,22026.221720529662,28724.819385455605,9416.038317365332,23050.44908258971,12053.048507916665,13284.117509793015,7956.8940531928965,31276.270073294076,3089.4265516864457,3792.5507986230423,10347.84237799747,19958.92182148634,25281.511738004207,21511.28038094429,15670.967320832366,13521.489218497054,14644.512897785104,4293.703715388628,48127.002528364006,3374.311783031168,2246.1881084683605,8942.237450465136,1746.6457027961717,8494.334022773377,19012.536560058914,27486.83481964876,8446.004582122901,2158.5233147772847,17679.697034065306,31426.2677891854,35499.04790153987,4701.5606374981035,5562.728365600694,30932.68450502497,4331.690679565051,6308.624607817798,9864.432908248316,6300.544244955466,14299.379032007482,4718.201301620678,3205.2879066955966,2218.983462641655,11794.013878805867,10614.718526357765,16087.76093347576,18838.659259833203,9800.70537614846,31503.642254672388,48207.10401451495,8430.783308519687,8489.169008000224,2959.7035994019393,27822.949341204254,6111.076861734314,14478.679008096587,2864.1806392077633,2469.747381324974,28141.390445362802,53728.20674117715,20945.84880066244,25851.073329248888,7840.097061911428,5356.40068088417
1963-01-01,28197.1059700896,8066.593238269082,43960.96943413985,24328.127207380774,5334.971697749709,31101.35116929746,32366.596132631475,3774.339168198021,1803.0511938938823,8759.8313919229,1753.453243093404,3486.8163861828125,44733.28583816452,3744.3714738406943,22804.89542644456,2461.5666715845828,14769.439619090183,15739.975448955074,3631.3802255096844,18670.79985840103,6011.085737669056,22547.494644468603,7189.852673715142,32246.494366198403,12928.811013667091,15317.308823328422,3368.175779927245,1326.995844832666,22445.750482002517,30306.91658230023,11264.112657692434,23527.9169080959,12654.29699897688,15220.837976178525,8321.960201622482,34421.030646373954,3264.3929940102953,3594.2486579852557,10445.671875888811,20692.77504968956,26975.36073538766,23015.698822617018,17190.010645646016,14544.528800367543,14679.127375707782,4268.006220942631,49344.59535140733,3334.0152246040548,2228.57173878921,9018.351256728121,1812.4358155022974,8387.242413603131,23032.075254666466,29166.572158085182,9490.646246747563,2172.8055404222246,18406.150018651704,32395.89704715424,37893.1299274548,5043.955456003099,5600.258139005042,31799.656214329574,4495.41830403222,6477.570726182164,10251.581808487294,6420.516005367516,15216.81464929331,5142.614911363695,3461.139315703403,1938.9770835901595,11738.603788239334,11436.314259455354,17048.88354800055,20457.87422097472,9199.452799540826,32885.493112980774,49790.38948553978,6661.859333251774,9257.689926574083,3062.4398311259815,30951.540036303362,6610.66555871266,15570.440975393743,3059.5047799391514,2509.892833952197,29089.859797393787,55183.96970721414,20081.43761638097,26840.391194234264,8079.135503364922,5328.934104012176
1964-01-01,29660.27417074935,8470.713458443119,44273.36690442567,25521.25541430775,5223.878431941399,29885.06234103121,34215.76243709764,4018.185198592988,1925.3250250419092,8979.86198955693,1840.6122067365632,3567.6785464191407,46152.7239034669,3697.174266937824,22917.724020769212,2716.14811810726,15566.523634919435,16699.800252419034,3795.8319124547447,19157.010105385154,6916.225932259893,19492.010227206374,6615.966288547475,34337.791454004095,13003.420980325478,16093.609139839447,3764.855487534306,1385.7360780935833,23596.109102889724,32017.418328355998,12298.170237269154,25245.795270674123,13942.804091660051,16532.059077269943,8498.015541682858,36857.023053500874,3462.480577911679,3539.194064060204,10451.39935382772,21514.566255576643,28529.77544811106,23705.354706582602,17281.964055803688,16011.843290148136,16439.76921002966,4489.269470936491,52417.46193222166,3325.8111738472785,2170.38837426534,9295.758445260959,1491.4773722661957,8458.697029184834,23793.180674058207,32028.224437611152,10651.9850836929,2213.3865227911815,20533.72975354314,34239.40087035633,38726.51358440525,4842.843717421115,5381.596847096491,33867.63161238343,4713.998041613925,6545.941069469119,11007.998381822325,6160.906612160294,15645.372795882413,5465.503006058259,3665.3284612568264,1689.4783918145145,11767.162142303596,10760.748188899552,17954.800419516774,21363.118920150046,9329.56023567784,34570.96834667774,52012.885505336024,9274.611472280843,10463.7091090466,3251.1372479726333,31133.309769775555,6582.761483322504,16000.664148152722,3450.449557499458,2812.2746982425692,30413.90445777604,57011.85938037035,20717.505853026312,28839.327265364536,9207.974805425974,5042.221490200323
1965-01-01,31913.13223788161,9635.970723618659,43626.5433345263,26590.442243919973,5101.696358749592,29943.26763723593,35541.291622600744,4394.6752107242655,1786.999578595493,9381.280414585453,1834.6181014607148,3691.9467687355996,47259.825890455,3819.702328697003,22729.15163200321,2945.4037875702975,17553.43021497077,16214.104608995385,3800.5380494037236,19956.66543065878,5982.606589932067,24589.528904827595,7012.508035575339,35366.4399364741,10994.992509370095,16209.439836993506,3878.288858225588,1448.0404763405372,24927.370782035665,33437.72051935935,13731.958859310533,26405.04978165572,13272.353294963881,18445.032160182654,8572.703597480007,39294.03355109716,3374.0575562969393,3442.525800723453,11397.303711050208,21867.02929342598,28197.747181617942,24997.40922616306,17270.65821491219,16814.356065374333,17647.96895360466,4540.349998655689,53017.55398161593,3218.8779448587184,2464.272573570666,9916.472327052546,1576.0754258248405,8859.997258388108,20783.67693198921,32758.155937496616,10381.41216644673,2204.072314844919,21084.10111353791,36576.92368719337,39696.89851706881,4951.319741182597,5707.562281187852,35607.20535228956,5039.712608587961,6789.239243432947,11319.795572909112,6628.447066209217,16700.83661638708,5446.415259083239,4033.5420177421693,1754.9486658302285,11406.558766426917,11375.855299846236,18556.346598538687,22407.214781480132,9412.939040388721,35745.06439345257,53881.201890617616,9156.878389784068,11454.922051527028,3519.0417597848846,26668.54698694131,6745.906401560389,16235.731410315802,3386.8793379518156,2725.4525299637826,30986.110229604183,59431.07035581447,20348.332136324923,28719.07986319003,9681.980212756662,5414.820907088428
1966-01-01,27998.15088798605,9462.10150082865,44915.765558250365,28198.902540885185,5118.982387403698,31248.129778726892,36590.65011807264,4588.380185453863,1892.8537299171471,9537.722949373463,1852.7554475488976,3832.3043485562644,48736.99433917603,3576.301058384647,24748.57934595908,2947.2239143264565,18014.276277024623,16423.92312529089,3711.488573765134,20614.995435866724,6461.37269449083,25965.760566094727,7874.713802464459,35957.03277308532,11475.66927313741,16374.497897260126,3874.2304942659907,1460.0198250337105,25580.213066148655,35001.568405655744,12290.615545458599,27276.465402134312,13202.03855569513,20160.477097548483,8802.322555179615,41252.13022688265,3334.320224378318,3212.099204636389,12087.22228461536,22521.821961209618,30418.899631952678,26877.121640587757,17841.834517476927,18188.336239247885,17410.058962587762,4879.615104337602,53039.341802856565,3337.4234634666213,2735.448219487232,10173.607284504562,1585.0536702475526,9708.925832392415,21660.00969875951,33737.72663479537,10847.563820924248,2224.2820630820934,21436.524189806663,37733.39480508451,40693.41904801657,4789.159526599619,5590.670006784254,36945.053036493744,5551.040728194594,6752.304836074291,12087.849617934735,6550.781979002212,17192.72876843256,6002.050962285281,4261.790321572826,1837.7011584289335,11532.91167295352,12459.99527576267,19306.58764953901,24052.561428916102,9503.710010108918,36479.012791184265,55561.62507478038,8048.3024074224695,12298.441011092584,3921.0848738731597,31394.29212325891,6959.53989253267,18251.056077290403,3580.5739253630177,2825.158331992269,31590.65503779459,61519.15259600206,21177.748622866675,28111.71252060785,11900.466940349786,5063.676341586717
1967-01-01,31916.543328337244,9800.898353892575,45357.26626547895,29677.818143395718,4955.376229978222,35149.816060224155,38209.610145230785,4784.643558034243,2198.8054936201306,10089.784849512589,2044.3009837707466,3421.339164351324,49364.39005230992,3405.573235734891,25677.34216953635,2911.877250196831,18448.893731079235,16579.703309618697,3743.258470578239,20945.46197566789,6549.285785106524,28195.01327097628,7141.213833462368,38098.71743759484,11329.739616709205,17240.569248933785,4149.925474495487,1447.42088757942,26631.803402988637,36721.50713295469,13909.551032933492,27675.61450899548,11926.556838666947,21574.139923054474,8881.55435267213,40642.66240226715,3577.0137713150925,3348.3120691984604,12994.933945087032,24264.47615870374,29098.912448334897,28572.23100077655,17734.69032646901,19751.586763401232,18178.049344179537,4953.508412660994,54644.465786341614,3447.691051937247,2803.1544236525842,10005.427647823402,1624.878381301465,10244.819299464847,21978.38761306181,34496.10565024866,10574.05889400024,2411.393052113099,20046.43608797864,40312.10324662759,37063.7489581983,4779.615593962663,4977.644246517753,39529.60226626597,5547.966815342508,7085.769781934296,12506.082204094977,6452.68697252468,18526.27964224356,6157.685210457919,4748.978607357039,1948.0382826703064,11256.644275294882,13794.97572633035,20620.25517602443,25331.966605899997,9556.734277310856,38204.3257190547,57371.6218056706,9085.938390118372,13196.478115760854,3994.709563206734,33234.19023556267,6915.060351366238,19014.402438054414,3704.132577810921,2700.9197378052636,32938.03074611269,61846.83468806339,20319.654118726994,28271.28381561082,12883.445561701948,5042.1342621551485
1968-01-01,34110.28212528248,9967.151400822453,47889.50903328522,31518.23971599879,5036.705955077485,35796.30705459535,39906.28797096578,4242.279613755872,2556.3876873907543,10842.039545534479,2094.699971657406,3597.6205611271885,51655.682174852605,3346.501520288941,26526.47590822005,2714.5078713875123,19122.139495299092,17010.92631225337,3981.060072324667,21487.660095570427,7243.569580854821,28959.35386644971,7474.48012126565,40004.522224986096,10925.382930816446,17713.92616609718,4499.958038058078,1478.6463568698616,28151.375983602782,38476.81672038677,13870.028660469388,29200.240050638786,12064.380215536694,23252.969045682035,9365.422602273335,36691.1990739345,3725.9402242793353,3584.082419071861,13967.740959854958,25923.383880018373,29721.46271776733,30472.324563890645,17359.50367705017,21915.59582894011,17766.189723626634,4813.633193254603,58255.731597899074,3695.3660383960114,2834.061210165364,10060.467535736956,1815.7148808659967,11091.45340274888,18409.042260754235,36265.17415994651,9767.289978737486,2527.546063327581,20010.382625631155,43373.315137998776,36795.564093138004,4800.75658542888,4920.373785558149,41216.30692774588,5764.161664564355,7214.762451889918,12588.241006970426,6944.46975765,21804.200965372194,6559.520026011714,5097.057578862917,2032.126036047126,10687.13501346804,15487.933526626852,21332.4365262358,26939.99658683828,10241.702812967202,39266.049339239325,59372.81270548541,9310.503761511634,14113.86780419743,4168.8793538659265,35218.95912110507,7463.145000316272,20245.052469333306,3852.3632416721002,2731.69267393049,34407.25914124317,63729.752085269974,20547.96611563667,30608.400024585313,13319.76930935777,4603.80411891743
1969-01-01,36700.236099466616,10667.348070423652,50124.06369310124,33080.430280639346,5156.774963749553,40117.18484621686,42042.64002303156,4350.81993271818,2494.1290737369345,10763.562721254855,2105.459082983432,3829.595187449382,52580.62882116882,3309.567079146608,27974.691138093134,2846.349714609615,20800.790610958353,17532.41018830317,4217.169590943907,21830.335850337673,7807.835604702341,32186.29877653051,8137.183147157554,42242.99850708908,11591.154846027892,17710.040318763746,4733.069515686688,1550.7693512352994,30734.981872315642,40666.34219536732,14563.79051541598,31196.81262146552,12428.551475062799,26054.384233552486,9616.880269339978,37350.23560567784,4093.924004389313,3446.0661594705343,14294.532686375425,27268.28609356387,33459.959128333234,32658.673498105276,17928.912724568516,24415.126928783262,16524.823839584813,4963.767260733425,65430.30569636035,3766.582939124381,2980.5612331994316,10786.843481658305,1831.3000542541206,12114.82954292075,18832.198650445127,36508.13467340637,11614.585650633064,2618.4621509924923,20482.055624716133,42649.993019028174,40582.103353139,4296.91506327139,5798.198324268081,42145.83150183042,6083.150335495731,7411.095397787684,13038.506774245543,7513.823261523554,22828.136905648065,7346.11251874073,5455.955010063494,2190.190524276466,9259.662913823779,17407.227413852408,22667.411503956086,29164.86929246869,10470.965792287692,40592.80529230916,61389.271230762526,11145.029205536008,15189.77817969041,4484.446101305266,35130.73841062876,7638.175164566186,21193.21971122355,3911.6206184509183,2828.2011685436787,35094.4985346083,64196.001690475896,21811.523759456246,31322.311202540688,15369.767338069856,5638.452610675607
