year,Algeria - DZA,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Central African Republic - CAF,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,D.R. of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Haiti - HTI,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Nicaragua - NIC,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,30937.29647038556,5040.959776698034,62621.97974202914,24228.700703762723,919.2259558367964,7454.889980918918,52006.21848525875,1239.7930005625972,4129.940137985729,1313.9298867642724,5424.841037222707,474.4355379823368,1994.4439322248206,2108.654299147412,46483.371152266474,3821.9175899710617,10102.452927046905,1053.8561455188442,9734.308561813194,20567.039853573642,2217.386170485749,7439.455368695517,673.7017644029355,34877.27901419823,3640.220712391309,46871.607142957706,5391.433768009639,11744.058772099635,241.62438283040098,609.172632580658,306.6897446033173,1964.7931176887791,44088.493978371924,50144.706749353216,6701.632236512791,2716.8334915217747,46044.78534062998,15666.941064948145,29456.870631788926,3470.553903751589,5042.533942168046,3381.280895999779,59807.88243281589,2504.328651243086,3279.721730027713,9836.163036178823,14325.230560773176,35041.059441017795,31398.209983879085,22414.929280192744,14521.49766036027,2927.097282865431,3863.614008044887,1361.8345495057085,68298.70788896305,2225.605705333255,407.56006262467145,10854.880129429243,133.99482148358945,4622.104606468997,6637.4157643840645,4747.0653143941245,15395.818582861219,1780.2454177324998,380.16482076077176,5163.13462999282,334.1179874634722,56316.111954299144,32191.452654813704,7193.971155191079,11175.606830435923,7990.60125050144,54802.030722021176,1161.749664803562,3961.0052410109483,3088.0622862678388,4181.934022783448,5324.858612755709,10438.595503545117,8267.011133865099,2950.250286707112,127.02722389249044,9362.606999998194,7265.999141470992,13050.844688279009,17802.29681938321,3328.751528633372,47702.43045836551,79493.51231068169,7727.119645939547,3101.417578804438,2535.064770039688,4292.161702571356,10204.823679185503,3275.3513094262,10238.579639890364,1905.1849280834563,857.3993847585251,40457.0384894346,79597.47571922721,13281.972978116892,22993.735229805003,4891.833818234831,3687.7735211232516
1961-01-01,31489.279316865075,5339.1392271608,62668.31023664909,25440.945047394984,896.7327268252246,7971.126853255126,53554.28507545188,1332.954611249704,4141.0065451204455,1302.0800548675927,5591.28827782268,476.45605969614934,1907.0335356852083,2150.3399924228042,47313.13264612974,3921.6219844794805,10395.38743570657,1076.9312932187242,10192.843105913245,21196.405710836396,2696.319600519907,7514.207622732225,802.2924316001373,35393.310425010386,3596.3973996361083,49080.48939454151,4526.909874958938,12040.0088436841,247.15070978641768,626.1428680852692,323.33504036523016,2386.225543925253,46910.011667890525,51925.35161555595,7466.1605171470455,2676.4995507555045,49481.791359641276,15843.862086708763,30339.46071755319,3460.2870644393274,4919.147130265503,3354.424218921884,61670.625459861825,2637.671284967554,3206.0704459720955,10235.041170020217,14979.854649789846,36302.08531505619,33385.17282436425,22589.21331914075,16082.941201648197,3060.2226467630135,3769.3167796919925,1296.9751684014238,71222.08413289298,2156.809817786784,429.73233890423455,11000.63437186914,147.40595040938078,4837.5513809074755,7775.5372117066945,4855.178951252241,15700.52986264177,1743.4494312080394,395.66107882490985,5434.30266931912,337.4283471441739,58633.664611252934,32979.70772622584,7312.000346761877,10717.897539557409,8431.870766685846,56213.923145045745,1263.3590779837896,4168.385689830971,3169.501796874914,4241.875546188455,5428.939742921845,11334.069720683101,7949.731394887925,3088.6569962345675,133.50060764172838,8945.830559506281,7318.586639477848,13211.706819801995,18728.052282498968,3367.5482125064236,49730.89809757007,81813.40125900428,7708.147369483712,3204.125892931208,2606.2013569275914,4110.019440172856,10681.158590501296,3283.5265106638426,10581.409805743957,1933.484628362527,873.7268499488794,42097.729853523626,80913.19649341163,13791.776727453356,22629.461866609374,4830.305193940953,3527.4902176113605
1962-01-01,32028.760644153164,5532.49748700948,63812.115252340016,26404.708814289024,897.7654166428562,8394.153526518654,55192.201186731334,1413.0063348327783,4334.407110769556,1308.7335379186313,5758.667313389479,481.73994079346187,1846.1777555978786,2193.236746107414,48516.74595648361,4023.3745004255697,10484.572972042142,1053.2874444481295,10816.368627326448,21698.154892313476,2854.7982218595425,7659.990721253147,855.0675597932037,37494.46331096663,3495.226327691479,51552.03029662645,5198.457442641968,12295.20323450833,255.90231038909317,640.1120445717172,340.5628291534509,2620.50047501159,49494.27408187716,53672.28211019781,8201.487794309107,2685.0130155699394,52879.73761172467,15838.970757342126,31148.402839260834,3453.502935949247,4836.226969938331,3395.8625007049013,62919.02498768156,2760.8022019337404,3139.651032919794,10784.267636163615,15639.324231154065,37517.75018251158,35576.14376128347,22698.401845523586,17682.210473979314,3186.2389486071324,3685.587807648907,1256.3870180796605,74326.23215725225,2078.768710415323,432.2502237157254,11318.187955548512,159.35509357724806,5079.651227607162,9187.183545006019,4891.864532467606,16227.07224702,1741.7340824947498,408.8050116644388,5732.2335882049965,341.90459075278875,61023.5954475182,33556.53946327061,7588.693367570464,10417.321701076862,8800.25224027492,57381.91523860206,1380.352255066872,4414.334748453276,3178.2662341319597,4330.399306831932,5508.7111479942105,12109.089613346865,7823.4814948134235,3236.700602411008,144.14590128873215,8533.170870981538,7425.819508815522,13277.520546023085,20010.94261890877,3408.8796612481024,51721.214817221226,83942.18832262323,7881.997529916746,3309.089720261895,2743.6122300388843,3966.1304166363548,11172.901052013662,3368.5336416733053,10954.12614279733,1948.3125059566662,892.4874014701237,43377.06001973116,82583.79441831727,14420.038170626241,22401.554377351185,4775.773200706609,3356.144325681793
1963-01-01,31598.763084806484,5619.955551241315,65380.33543921649,27307.843713370068,882.6840817619444,8752.218616739572,56639.20614302317,1497.9647219385172,4463.708368351298,1327.581186526362,5842.174002792673,484.6200444926083,1792.3365677350478,2235.096673887272,49806.51951658839,4088.051677643028,10578.6898618865,1034.4596664702897,11896.352536992497,21857.25017116487,2863.1204275970267,7787.404062949417,947.6382969502494,38658.990077017064,3542.876439618284,53309.56360789735,5340.300348588866,12503.598119381099,269.2425820546315,656.6406019982358,357.6596943030883,2891.5533964047017,51422.07348834919,55881.521160421464,8693.958029530591,2653.0327639960183,55952.7366394005,16084.747549802549,32581.01493572322,3523.14643641493,4755.404621914385,3462.1362908483725,65616.73291791278,2885.5952515222207,3056.28152268416,11379.285244353428,16375.55911154893,38574.545924197315,37806.04558409645,22562.97610018816,19399.786428279367,3293.4496100134206,3637.783179552019,1232.2330145806932,77276.35111622939,2029.429966254252,440.1925161455552,11623.596017704831,172.34416569234352,5328.5051865046,9779.157858782286,4998.136156381927,16906.05320483764,1760.036477821186,422.0022730560835,6032.795519899666,350.7632227622567,63270.347122547486,34384.36516814759,7882.429889278454,10218.749793900544,9206.821496013843,58532.16195246421,1531.8155071431354,4687.2220653664945,3204.8186039211855,4377.617425393689,5673.407502923697,12957.461731608118,7812.108673766237,3452.688090771492,147.94304729267935,8196.199985597694,7861.263509373505,13586.538906023528,21402.301449612416,3469.9788495308953,53722.978578909344,86242.32356843438,7872.347751010929,3465.615034465356,2935.764224706003,3860.558557429653,11507.682807100311,3472.504132917521,11429.059114308857,1954.3069771102214,929.6112855478608,44852.242007782515,84512.72127471723,14483.72361521262,22168.143190992698,4671.514498562641,3193.7305821415384
1964-01-01,30712.056549144658,5811.424724014941,67585.65996850625,28636.009803703357,881.350843937893,9045.04569993172,58704.560845316875,1553.8991700290017,4607.45407811277,1372.3415370059076,5956.159604552898,487.72943501034393,1720.1634916906278,2285.194215344743,51302.52313870007,4151.155269241109,11170.185824079914,1035.4111606676313,13153.59425129879,22449.085695399597,2845.923221273773,7806.517257421132,1100.1327682058738,39032.1616543536,3629.5963939949793,56175.22310321124,5526.938640768484,12699.027575968024,282.80803456088324,702.9694670528257,371.7116983280195,3201.513435979281,53655.19868976345,58611.117044796076,9054.987873425436,2658.929082933726,59571.74817678776,16450.32564251984,34416.573591616325,3638.6811230820417,4672.429970826065,3502.544057287613,69684.42188612175,3058.451311101451,2984.153944446293,12332.723477383797,17248.58632867932,40413.635584057,39575.09345140388,22529.139341304286,21392.134584358664,3476.970423474351,3551.542612184345,1218.0765897309577,80845.1023837907,1989.9245394163866,436.8850785363468,11907.970440973515,192.89378565850686,5724.537065129856,9883.93631296255,4939.731063346658,17631.708405126406,1755.0281391299836,436.0719638071456,6326.642660434248,375.2783723064499,66414.98956857565,35601.56184723486,8392.283604451197,9978.324031588067,9739.596725027452,59702.9021769416,1683.9196115554132,4875.05203276554,3197.2569632097293,4418.865838146611,5866.092512507834,13862.09535308114,7707.311910319364,3616.3331642624894,150.95198101167904,7830.717960902072,8129.553473510741,14021.081108590462,22860.786058397247,3513.222807592662,56054.24200097703,89311.64220081488,7923.619727145804,3629.2529237523195,3105.774967421339,3877.0795617875597,11765.841718825886,3593.961215652155,11874.728701258804,2031.285463908057,998.147997055566,47254.75470307143,86721.15049965282,15223.806771345515,22391.549243668036,4533.1928612015345,3054.8199490273105
1965-01-01,29862.45968509119,5993.260378288408,69077.07881738551,29705.448553881295,888.2531591406918,9411.114692520021,60562.59802457189,1592.42080836109,4690.119861541096,1333.0204223663586,6105.387210819522,500.0090681545199,1654.0883632539355,2415.29742752138,53554.718883149864,4162.2743446084,11589.769583935717,1062.9775354165197,14480.646030910826,22530.215498217516,2853.903981422908,8006.4208647589185,1215.6141075629496,40195.41604980551,3698.9773952661326,59236.84548005326,4789.664233617994,12845.1956554416,299.42431272077863,732.680023613608,387.4194588125668,3485.47309279871,56890.62993241029,61269.30097977395,9354.163571732075,2712.1312795616145,63329.13387918189,16683.80698364732,36716.56505507526,3776.8239566699494,4587.513744386326,3554.514439803688,74003.45270851592,3211.6185844707643,2899.7177308233936,13431.518495530345,18262.836367460684,42035.682805890574,40924.25611553517,22593.34105885326,23308.84980817775,3661.0460955490503,3475.415292626082,1214.7734734625294,83601.82496178323,1945.7939412421408,459.2750267827446,12207.825730622082,204.46964155379752,6067.70256066752,9959.476395777245,4979.951231236945,18628.909717333237,1756.7733623767192,453.22328258667403,6692.045486769748,391.976715379595,69447.7025331804,37358.46487783478,8971.678095878719,9650.730507585771,10556.339762916396,61451.61309951387,1862.5202888824338,5095.122458491797,3296.887143828236,4481.995468064995,6045.9582238810335,14993.08779773091,7673.459450353265,3795.1386491543735,155.39791483959374,7519.161864953674,8515.66898444813,14573.972537676545,24505.708467313267,3521.209794399434,58563.91857318871,92271.36494299256,7860.025222305832,3866.976022575535,3287.534349599783,3938.985383996819,12273.606608178048,3701.6268139780223,12250.510392441192,2131.1451634343807,1048.6372162117405,49484.35550145741,89310.70583350048,15173.338141206774,22552.715340773713,4584.090850467876,2921.2644212941223
1966-01-01,28749.605528034106,6139.41072017869,70657.59451147774,31246.10819190794,891.8023178304727,9781.173291636229,62843.87430899183,1631.698386505939,4772.318590460954,1415.623126368317,6270.542595691142,511.3968270776604,1604.7240292504864,2576.2426967572073,55949.902575582244,4132.156956182779,12476.550516062456,1109.498354077972,15611.452888475114,22618.152525350248,2975.5494891305407,8179.660461644904,1321.3276818839643,41445.59180564949,3731.0312733992087,61894.269615722435,5317.8903550460145,13087.469690596876,307.019660450502,767.8521796796124,404.93955292712565,3720.6462798615844,59770.67246933392,64161.820333720294,9935.39873739568,2783.2564539751565,66704.53197260636,16609.148945140754,38997.271140453624,3847.3242170934723,4503.582872712566,3630.1921155453915,78657.10066774803,3378.0594005544594,2829.8282136043176,14712.903681225382,19025.644297983963,43694.77624353415,42427.51587027051,22707.278997735015,25461.650330401135,3800.8053615086865,3481.02235416399,1195.7542685025533,85625.3768282245,1904.2703842109947,495.37188970383585,12556.447142242208,219.90469042074434,6428.572261581882,10037.159967709207,4850.931616807382,19503.818323603165,1746.236300522932,477.14796544226095,7176.080950006137,402.1703934354617,72826.49980740529,39197.15190459334,9625.011184215737,9358.490229203802,11218.851986334117,63250.95557783686,1990.4179470381657,5461.067213194162,3408.0158446079286,4607.913296599665,6201.60586885418,16143.17802464281,7942.4824241558445,3989.0352847637696,159.21076181988067,7219.557475476077,8962.603787103637,14914.216971400692,26330.340333108194,3558.779398789087,60577.826461180055,94842.6506027906,7887.054105858086,4182.70143917429,3570.9484006443795,3930.6137668987094,12526.595858495679,3781.1734772688674,13003.873658531891,2244.4948168739443,1086.7916175363653,51497.993726725304,92156.83940130277,15569.30350959901,22469.220753972113,4658.106682172026,2806.1184304940552
1967-01-01,28021.704759588123,6289.082115044505,72535.55879888104,32578.28571230663,901.5895283788276,10213.100853520837,65078.639398685715,1715.249519532159,4801.378354134935,1549.8684575099496,6369.231762141159,519.5040570498032,1565.6411880741464,2682.2107159626635,57567.890879905324,4079.2230774842737,12942.672277659505,1118.444414426876,16161.319972052399,23015.466892029894,3208.9587335755477,8371.650378903565,1393.0132956758907,43031.210707425555,3727.874574724432,64613.897002883896,5178.216219569177,13527.205090801877,311.0987489201827,782.9659099643972,429.038265188467,3949.504513100251,62098.426848120216,67183.99073866889,10165.634546081801,2843.1615056550418,69158.9119199562,16163.429341612491,40693.008237192545,3978.611957923981,4421.063062212333,3791.8123741541776,83983.43541449119,3521.4691514339384,2763.5081344475293,16021.017685857269,19783.566613252053,44530.848225494294,44325.28611867058,22919.806706995376,28170.970485288533,3580.2126575944894,3522.1087282635617,1193.9118860165122,86676.0685172234,1875.4280883585266,511.1187551929429,12907.965303739611,235.52457147390206,6875.306095514413,10470.848517889279,4880.769225852018,20427.658132537254,1781.3945430766719,495.90184769681605,7673.762435792213,413.38397207035285,76541.75041094917,40072.052354118845,10164.242690176085,9092.784319812044,11591.697660497925,65587.13059725658,2100.604701646159,5808.825348492515,3559.7339401905897,4696.191120311321,6380.981784378365,17216.972910715485,8216.48690612725,4259.331329852211,159.2261796821045,6963.199322317189,9633.661065670016,15489.245082089572,27963.18327733227,3611.923553641579,62625.43016010921,97689.2008505598,7882.915638611299,4602.846936177438,3856.75569075194,3863.129171925266,12554.944147894645,3852.2022900399434,13709.049883091713,2384.779800998824,1139.9685251496899,53772.6516178306,94762.2905081583,15520.921063338003,22433.218424754774,4761.668323447953,2707.5769424527202
1968-01-01,27669.834807872325,6468.959254508426,74579.05074787192,33936.47467960955,930.1230463562287,10892.34113226739,67309.20913827195,1803.2211607485917,4829.239841748064,1787.669807835938,6564.198807199635,527.7500171246347,1539.3447130442469,2772.179893876809,59423.04987069263,4067.640078494666,13593.939252139371,1123.348994066379,16609.964404859882,23604.747044822827,3390.375478840858,8511.335836353026,1447.596294401326,44526.58495545964,3716.700725623953,67676.69528873566,5138.909551742828,13898.102739992077,313.15907747503405,768.5953197194319,451.6410674841133,4419.042833623388,64455.89131746063,70523.81902317278,10384.245349036404,2936.971522175634,72169.53905493229,15562.045862929124,43033.64488195997,4195.873251780132,4353.473956456315,3912.8886589220137,87658.53655068637,3619.8907752265304,2713.9042938373204,17811.387136905643,20856.49825359959,44625.709462107254,46343.670967488826,23538.55375398986,31488.121752400315,3592.0679583868528,3605.818480982461,1186.0122110857685,87716.565225306,1866.6026951915258,542.4477935142033,13265.236675077245,247.1611677056507,7495.627868649488,11250.67724751247,4822.526036675649,21721.34776554873,1806.9249366887518,520.5338877561875,8192.325573398046,424.9829297623722,80844.01020782115,40463.52012417246,10463.414782296783,8856.91268434931,11801.05366713703,67207.13348682926,2163.612783007319,6201.486840542902,3666.4607869072356,4646.343457704681,6526.517080806224,18287.149460882465,8695.225488775171,4462.583404563392,162.22668083692724,6727.331378074183,10445.36800493636,15877.41661695279,29781.131895472587,3700.627677633151,64702.37281172308,100257.38939005905,7968.315865101451,5097.564916049608,4162.150511142658,3774.9462491635554,12799.030048557177,3927.6313920642174,14488.187165357955,2534.823422833615,1190.237195182143,56372.63844634253,97481.39357423894,15600.168848614887,22823.486185235204,4854.12332857378,2623.7448338594886
1969-01-01,27658.6266963855,6759.870064999177,76999.10423853117,35629.081430433325,949.207916331838,11662.650229714014,70066.79133898475,1887.7230783441394,4851.774955857787,1883.3042977152895,6986.146230105476,541.7317392746927,1519.6433502556072,2826.438818237481,61682.17672133071,4076.662104391465,14266.61035657855,1136.4046064452439,17151.193652442427,24107.570150634197,3520.9790721441536,8757.46799121043,1527.154046563135,46773.67005162045,3782.514887503064,71577.15572796571,5397.749228862201,14076.517998590554,321.70974861976913,762.9785959607799,470.8118874959989,4763.544906884143,67637.22265945766,74123.14953772604,10678.093097077328,3053.9639350588545,75945.5189084825,15160.436364462916,46468.397741714325,4272.577423787167,4317.463907496008,4009.303497405294,89273.37131084727,3731.8979434655134,2684.6797654482466,19395.620316088494,22356.620717750182,45760.05788545999,48787.208032922004,24330.14065421806,35348.22884086714,3999.375193369811,3688.2654949620687,1174.3933638771668,89622.24964201386,1864.499968551645,584.2595688217286,13531.050163832902,258.24399851724843,8167.225752721927,11750.074898529141,4836.682309837808,22482.09637617731,1833.2646738694652,552.4698018129237,8718.155265472424,431.56325474257096,84695.44623640273,41530.91607079497,10847.51368756739,8517.09823175269,12111.282892548288,68174.6834084776,2206.522861611066,6657.94862885723,3781.590475429888,4613.672108634265,6663.0495647315975,19385.815707497535,9140.194814427876,4701.081424757485,162.48373601405888,6515.659254003384,11716.116547717093,16399.050960455625,32045.759010266338,3842.0146662970706,66975.78364263209,102570.17439216976,8213.636862549996,5552.349897831998,4534.813504153949,3739.5831007685915,12865.343175023449,4011.039159598679,15209.296657971026,2631.4592836865954,1258.7605701462949,58760.092440840184,100126.88993451028,15968.830078251827,23168.796556701483,4817.515392638318,2536.1796707368194
