year,Algeria - DZA,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Bolivia (Plurinational State of) - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Cameroon - CMR,Canada - CAN,Chad - TCD,Chile - CHL,China - CHN,"China, Hong Kong SAR - HKG",Colombia - COL,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,D.R. of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,Ethiopia - ETH,Finland - FIN,France - FRA,Gabon - GAB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,United Kingdom - GBR,United States - USA,Uruguay - URY,Venezuela (Bolivarian Republic of) - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960-01-01,218282.6251788418,14125.744583715672,179141.65515674432,51171.463797388285,3176.5344278360008,33656.17987313268,141080.0522713597,10327.607465464147,3803.605468142654,17663.854716570226,934.2530688308007,5050.747157175857,141135.83248567278,2839.985378530451,34936.186037655636,6060.529566951017,34701.72918026754,83707.69858531537,6737.1655412391965,32990.276925114755,1934.988863578445,194312.72054937814,9594.736006122368,105127.35851737374,40526.18962668802,43155.929901412346,1066.247154635703,801.7221881031578,88891.92695466844,116995.32304222543,19527.63756965543,92717.7430573192,44767.95931877778,67710.07387437078,11815.173906414002,147720.13769352122,6252.360866842346,12077.29571234359,39033.10726997998,40552.79940556246,102758.52919591396,76473.33068107007,47177.55767175312,29049.89898380274,14241.6900709978,9133.694599201302,236915.26358264498,4778.786549713517,1106.0356956779387,34667.537260690275,436.8010839073545,23409.4366178517,21445.37065885654,68301.95204203938,7880.2536230783635,1372.1086250819726,20758.357513881005,140362.6126310518,81367.04903495661,26585.755657742568,20848.885557225654,143216.05229366862,3784.4479039061703,8886.557217168713,13668.614226816788,18087.603136445054,31757.229987371575,30756.07730854242,5611.266447198928,311.9287885737448,39982.265575999096,30312.89386121364,34058.020299335505,47162.274170224264,10808.077878094222,111207.47785851404,210294.76412591455,25876.416345503592,15303.433659292403,6214.91942239916,33607.08227562568,11978.153919868057,31877.986990264464,4732.021893260366,2514.600111228755,91717.78037954359,207347.04826294762,35313.3984090418,83090.3332856381,15274.22023000878,8501.433287464251
1961-01-01,225441.16712522483,15003.694375410456,182592.63791501557,53729.00323515571,3112.017126860824,35025.13341078611,144927.87082295926,10452.357199421065,3835.9899158511917,18305.737714474144,946.0335228275732,5163.006923689926,146028.78839271728,3042.3065481439066,36322.938328754004,6933.050043341937,35527.58386528221,86718.86752195135,8207.366991616245,33521.5731318284,2288.785084312006,196143.65094204506,9502.186582086732,109173.81027417976,32451.116556238892,44548.71775674326,1163.1579041269088,849.910446110425,93476.8186538437,122614.12745383351,21798.277064730384,99451.5940945313,45728.64138195949,70032.68444513646,11869.144209612039,152332.23550515185,6669.077914877815,11834.873370859126,40573.334672718614,42244.38531010555,105912.21076599797,81313.008625373,48693.942141045976,32002.271493151555,14925.068532979492,8972.248239009303,245785.26056232638,4640.551386196109,1164.3764340162638,35036.945570445685,479.798085753153,24135.261089554315,21851.039613957382,69932.12027733853,8808.508678248241,1421.9393674031178,21609.726088633393,145921.743829669,83756.7182752145,25565.253837021493,22095.924733713025,146113.20310800933,4137.566622361337,9120.886988029099,14016.796265212419,17512.503534522402,34425.13762866439,29384.003456287006,5906.601698838276,327.2264211637995,38280.72321595128,30337.476956019556,35181.27004663068,49162.32787729327,10956.674054261066,115605.51815859051,212111.54664533536,26082.66152120642,15774.144353572021,6400.709160987418,35175.924223478534,12077.52340910639,33417.258799998424,4690.784242115033,2700.895733662943,95108.3148364863,214146.25704889398,36700.60734861758,82538.29175527144,15127.900506482378,8170.9634822213
1962-01-01,233170.61577832667,15605.536171976717,184708.94021156384,56360.803709113046,3122.5488770118664,36053.79885032679,147886.67042662835,11047.286268217576,3928.281060164121,18955.422592859803,964.1722053416285,5280.312706644388,148717.74275782512,3174.0437635184267,36943.131023745984,7740.366756378311,36821.98718141481,89248.18228679342,8715.716078074596,34297.25758327454,2437.1498364247195,206536.6578246028,9257.871544239491,113816.7350752865,37329.19637749783,45834.82497342212,1211.2104818176679,894.643198786765,99708.59995578523,129417.74549696439,23992.887950435023,106901.11205313483,46620.26269659334,73031.39626317922,11938.070285801257,155508.16305528072,7072.4952028521975,11632.39438062795,42732.64611427639,43689.9385966718,108777.29176811184,87432.07751227677,49944.68439340447,35039.21847317614,15579.79918507166,8821.101937723262,256903.8195175762,4482.397381830922,1172.596902617293,35961.37441384547,518.1958117298017,24963.080433911775,21940.486062241125,72543.30332936869,7780.308896511386,1465.1030559047285,22556.82134715754,150987.5146729612,85239.40554792198,24933.861959631588,23171.378242489205,149486.04007822246,4544.7787738844845,9146.486409783893,14470.22347625349,17517.32638988305,36837.25002080317,28716.706326017116,6209.058971295209,352.4441756953235,36596.6336014257,30578.07176363967,36223.9190558093,52536.78754383287,11120.62356727069,120213.37440526833,214730.38251466246,26915.8837365693,16272.590284953303,6744.5502466814905,36791.05806865912,12454.020582184232,35470.7642992853,4783.185196682702,2787.9439896955855,98117.28061374102,218698.48840163837,38458.27540158388,82391.12852015834,15003.021275284353,7810.74083983188
1963-01-01,233982.93953754107,15898.779033225232,187054.00510756345,59053.6149357953,3081.7046916216705,36800.22861780535,151668.15439042926,11481.157529660326,4061.4910906370883,19315.45020036683,977.6410507838723,5400.609364886123,151987.96045229436,3373.3752727050733,37669.6775483552,8261.69365593133,39523.96635513206,90307.23124945354,8773.204788969453,34910.01660136643,2697.341439153604,211439.15916059763,9401.810219102987,117150.09352396477,37193.453296372485,46970.718367401685,1266.403741080294,939.796451723313,103933.46808021524,135723.63607382344,25484.57878396643,113917.78707463511,47077.87927471212,77807.33488480997,12264.048854702693,162429.67253764294,7489.938754150012,11323.355818216003,45099.53057961573,45606.484973565326,111088.82244976754,95109.7173130463,50615.11803165817,38462.292668292284,16142.24133331283,8729.452878481072,267860.99666793813,4386.146574752059,1194.9291127080207,36858.79611051516,559.9254120576857,25775.55164830584,22636.750791299608,75788.49864189602,7755.098866360202,1509.4025435527494,23506.823996377116,156469.00068946034,87854.88674877168,24557.581344131122,23818.26952628547,152919.86566927235,5070.984929354036,9225.572078553889,14797.572429583946,17809.262561533582,39805.58213419692,28514.506081288077,6648.611628382585,361.4053272067396,35240.80746631389,32105.465925147124,37856.276028470966,56165.136430638006,11349.185763238325,124868.34184636996,221091.39925482613,27190.136948538624,16991.949775275454,7225.848096435122,37895.18092689675,12908.229838090692,37236.80743298291,4849.228163381075,2930.6980240686576,101829.23082200662,223906.18784943398,38687.08334132468,82158.374028992,14719.237906880922,7471.959499350887
1964-01-01,231278.76484367263,16477.050917929315,189832.93189334174,62426.11378329137,3087.930808372005,37351.258394241064,156267.81527164907,11967.823101825972,4284.690805079757,19778.686010721412,991.6558517602986,5541.794964864933,153928.62294738967,3542.7687080327282,40026.75455849397,8095.744179841096,42755.9769327789,93088.7465693332,8752.009343881211,34968.69979674577,3126.739689573192,212243.5060848499,9655.049464059653,121849.77330019705,37218.09438029529,48071.78414187145,1344.9819007835658,974.44057684632,109108.08589937663,142468.1942341288,26592.635050671975,122087.89736146577,50517.45188257223,83516.34519668801,12756.028036472535,163722.89530533314,8047.615443482797,11058.760852882699,48848.65554637476,47837.98971998261,116080.40201221131,100656.37596887123,51597.849773016256,42248.22998355934,17085.50452411063,8573.936876819282,275354.2645265486,4310.8006672815745,1187.9642205355567,37681.93726087977,626.0089403304402,27234.683404494113,22575.330784828784,79206.5623562622,8319.14454957221,1557.4209671071828,24422.82118869387,163421.1419089464,90234.42908468476,24062.128441849447,24791.526244552115,156641.0965739209,5600.506729093822,9200.047875165716,15106.312798032024,17975.80324223781,42900.717876683826,28410.012301832074,6987.074718567069,368.643025269134,33752.81338035246,32933.84174424901,39532.03500150495,60112.05220234028,11521.271444239428,129334.5012728821,228267.26891464088,27662.13319100913,18114.688832701133,7662.284850900033,38461.49018458102,13435.57156966783,38989.34645401886,5074.400268447727,3174.0887542924183,106571.55906375135,227777.29966188155,40800.72226290837,83555.02200521647,14327.147680672582,7182.689517369995
1965-01-01,228725.89614533223,17025.83258572538,191436.40073011038,65596.3222855555,3122.818012132995,38197.75117774126,161859.7340345123,12283.971918776211,4107.930577717409,20348.141797262655,1026.6090862606848,5871.938492536003,156470.24321420424,3601.124207510775,41730.59790774423,8057.495032028505,46132.426762506664,93649.33216711192,8804.787919768478,35683.58322978827,3456.0373236948785,217210.54045973995,9862.54279934111,127115.63075797273,30928.92127927563,49008.64578867277,1437.53084915758,1012.5264067696752,114730.36846916031,149804.29460647964,27518.022918660707,130235.03163305888,52319.44756086901,90150.56396913824,13185.525691565692,169538.11824627794,8571.745266443197,10778.3542498973,53205.5836269915,50730.65182438481,120599.42790528356,107457.16354486713,52843.96345507452,45717.30563571411,18030.764592386655,8424.392531243535,282247.5145044603,4224.251627536771,1247.786082632778,38574.12619516472,663.7234357546342,28393.931982139864,22957.30146754279,83683.37455857173,8396.379476956638,1616.6063255711645,25590.56736852787,171669.82203808383,93529.67270561768,23407.340008692623,26306.47428806513,160908.39903049413,6229.629494345419,9486.155318204994,15483.32350911815,19512.691009748803,46560.342962589726,27514.732903756372,7351.692612509768,379.32322743110507,32490.058810239727,34216.51092882131,41621.451271608435,64454.9613613395,11581.84088702746,135387.47985904428,238740.51946901265,27739.302641982493,19744.766280053438,8139.983606183146,38251.66165509624,13914.664732078643,40673.13002364401,5347.801708957294,3325.5469058031304,111019.04235636827,232021.9870687979,40810.149383361575,84519.04489266359,14539.25195104205,6902.03397512435
1966-01-01,224293.3343538388,17487.08370383401,191895.5291075457,70029.32464080652,3150.3667934556534,39082.791653447326,168221.78774917708,12605.843893083027,4439.303487707158,20964.616125349086,1059.5697470712842,6284.852211287311,160434.7558551149,3696.4040900627333,45160.192600084876,7907.449098363667,48925.904787426676,93432.79800271017,9207.690353154945,36224.849259427036,3761.34212769378,222283.3748896736,9995.594543064906,131580.9708362501,34032.70207322031,50164.443982954275,1446.143964418785,1055.4418995101537,120790.1263238698,157093.82181979064,29322.093696889817,138369.4229416956,53541.42034702265,97421.00550609513,13365.56184875125,179089.63350295555,9130.943714383833,10570.16042102447,58317.0708214086,52989.48536647069,123999.29670585654,113957.59651545784,54207.746758944515,49317.19954940897,18766.675031061568,8462.756281898946,286349.4849020788,4141.261681254307,1344.1688422300792,39612.64182775271,713.7212472466517,29570.241481281577,22579.669089428873,87431.87440375991,9181.219847859618,1700.0953962033175,27180.97910328952,180905.26119530376,96346.89938325036,22794.05364946347,28182.541444115308,166128.27230415805,6695.658182085037,9806.53653194344,16088.074131391639,19342.076044370297,50241.947139183554,28451.443450737584,7754.885170681392,389.00972165916335,31212.733854560876,35666.03762011549,43391.685686141725,69149.40628520686,11738.025895445611,141072.27016533507,247407.51722370036,28172.210166198187,21382.269185213296,8873.34973876214,40020.54831263506,14305.017246207779,43516.48776924648,5643.787237438781,3441.2468349495234,115249.57178687578,235027.8576071771,42031.95773378169,84922.75133014393,14795.297780166244,6663.71737221
1967-01-01,222444.97502444635,17932.772263415147,193840.6096102138,74723.84890250495,3195.2843800357628,40149.89412190728,175569.1075884543,12799.551357279837,4989.082064316306,21337.717233507865,1084.2077677101297,6571.700671482227,164768.6447650878,3835.838805676915,46971.035130861834,8173.585819330538,49918.54570333148,94398.08654435954,9967.163733459458,36762.56855501956,3972.6850082024607,228826.79464786116,9984.605736721684,138383.55895755562,32077.988637357837,52097.35572612804,1537.0143425616063,1114.1782411337165,128509.4223418093,165262.97083982688,29995.807305765873,147063.73163536424,51570.39242968219,104142.79086967048,13731.519143111034,195372.1878109325,9648.005331814295,10288.026812429425,63601.48234594744,55507.53890791113,125563.06731880052,118227.11707332701,55824.839249824254,54024.934324838214,17719.933352114815,8589.92170052826,291358.32132319995,4084.7978321754604,1413.1620464201267,40642.42588512676,764.6175898812246,31057.703874064355,22917.876595237358,91375.50219670688,9006.143060156423,1765.701607098821,28778.587675906623,192710.12624967782,97038.92622795081,22229.360274581788,31003.901937187147,172456.14540282244,7099.377471071817,10238.681253107172,16546.920270901323,19483.947916286423,53804.809333034835,29061.789870707693,8316.685080547106,390.6611092761364,30097.855445005105,38006.28971860055,45760.309913388795,73620.51802090916,11935.977695069842,148372.01826860715,255054.68420271476,28441.84771340246,22904.569923534487,9619.681147613263,39069.09182135429,14664.86828957994,46677.38870306724,6015.031666264813,3592.0308884482124,122502.29201097882,238816.55854294298,41998.24146894039,85391.5873444148,15137.51851707122,6460.13527318777
1968-01-01,223552.44183619233,18473.62103548514,197478.54093769993,79244.42874554057,3304.9038352143452,42049.80961477355,182148.3172933049,12997.277688738957,5803.999320405506,22004.21188928446,1110.7618556364237,6829.062609406277,171992.25784589883,3952.744281839395,49470.82037634189,8246.941903815692,50619.22160192996,96057.01346604779,10564.652761573523,37024.534275945756,4138.717716184394,234898.1765452246,9981.289204904879,144563.6405450757,30966.887763459006,53802.01890772306,1541.0822756930988,1167.5091499642147,135796.17127723093,175214.3741434147,30671.034261266665,153618.16978240383,50538.84059037563,111774.64731916614,14403.163418683553,205033.55206159718,10059.276092302152,10118.846105119532,70801.66060066386,58369.267968837485,125530.79778938001,124326.29618840062,58604.00672789459,60017.02365462869,17852.243670543718,8804.679374018822,294157.3514124796,4074.3642515123624,1509.9069965121773,41697.60087065775,803.1475921627094,33231.4810071819,22864.0313864909,97099.76739406744,8049.051977913456,1853.767281101794,30441.661789323512,203599.89374284772,98909.93507021107,21728.71341673373,32085.051957365402,177916.29094480682,7351.711797581215,10542.696028371449,16519.134973764263,20568.572782450676,57516.17721883105,29945.14777318196,8887.85490000798,398.423250811606,29163.857586539485,40830.91634770614,47562.17932850508,78544.64331216637,12265.653217496143,152386.1805554192,261832.73870283735,29102.56558962403,24845.881826347217,10421.958881613487,40586.573601078344,15052.530616274864,50080.60314419206,6324.5506317459985,3717.2462550106743,129488.39657057426,243289.89296739316,42314.78870848027,87474.07482576299,15548.736410967562,6293.931587938395
1969-01-01,227507.14658103383,19337.71875840323,202014.4183996824,83579.56678588045,3385.187814149282,44306.680044437926,186525.1451069265,13181.773877794783,6002.610109172746,23421.592141168938,1150.0573200731903,7010.950285520176,174940.9576722185,4120.596297373268,52153.44550629551,7786.1362413457855,51548.31127930483,97205.16215942708,11007.262548776564,37651.17674736099,4377.409731099273,244622.41579314377,10184.523513042277,150558.31645124004,31697.17279161693,54754.49300148267,1575.5677704556379,1209.6849855109385,140281.2909012629,182913.20349924057,31592.47085720588,160518.80810726667,48452.20649749689,121474.84015160485,14590.034305617564,209019.86474659562,10507.022273478136,10005.443596378753,77269.44776057648,62376.23824213347,127888.58474717557,132515.11864140982,61870.58474513028,67593.79382269368,19926.407429305287,9043.255579086315,294726.98218481935,4077.754367789424,1623.5441653911994,42499.33423841512,840.0013708680139,35556.77329490338,23167.560158519143,100362.58849661375,8923.44361580793,1966.9116814381935,32102.241426574925,201511.61193309113,102194.11102719656,21007.172878830494,32202.20396459371,180172.15034014083,7533.235387383243,10872.389425992891,16561.700106043685,22026.194604539363,61168.17677162599,31318.87202172385,9476.539149171462,400.19966528713985,28294.74245084026,45355.923562703116,50018.78632457588,84311.9603066567,12760.512655574974,155736.01086072685,265697.0595456028,30302.825256968452,26958.226228317555,11402.686910418754,39502.10798814271,15478.533915621649,53545.001169563075,6520.843435789134,3910.7445084177166,135207.87868891234,246461.8183716616,43406.17831616389,89408.92815034854,15841.728027445763,6111.997032232473
