Date,Unemployment [Thousands of persons],Labor force [Thousands of persons],Vacancies [Thousands of vacancies]
1929-04-01,     346.61,   50233.47,    1007.22
1929-05-01,     829.57,   50276.86,     980.47
1929-06-01,    1036.60,   50320.26,     962.91
1929-07-01,     397.87,   50363.66,     989.13
1929-08-01,      20.16,   50407.05,     928.39
1929-09-01,     459.12,   50452.24,    1069.20
1929-10-01,    1166.49,   50497.42,     974.02
1929-11-01,     955.26,   50542.60,     816.93
1929-12-01,    1052.23,   50587.78,     765.97
1930-01-01,    1118.99,   50632.96,     646.60
1930-02-01,    1581.16,   50678.15,     656.05
1930-03-01,    1841.26,   50723.33,     624.97
1930-04-01,    1827.67,   50768.51,     623.29
1930-05-01,    1722.58,   50813.69,     597.71
1930-06-01,    1917.38,   50858.87,     573.79
1930-07-01,    2555.38,   50904.06,     537.81
1930-08-01,    3383.03,   50949.24,     537.79
1930-09-01,    3971.53,   50982.46,     509.11
1930-10-01,    4596.51,   51015.67,     492.24
1930-11-01,    5503.07,   51048.89,     501.12
1930-12-01,    6073.66,   51082.11,     486.68
1931-01-01,    5714.69,   51115.33,     492.35
1931-02-01,    5969.03,   51148.54,     508.35
1931-03-01,    6029.21,   51181.76,     511.38
1931-04-01,    6115.07,   51214.98,     492.57
1931-05-01,    6303.53,   51248.19,     461.06
1931-06-01,    6676.84,   51281.41,     435.72
1931-07-01,    7101.94,   51314.63,     441.82
1931-08-01,    7707.31,   51347.85,     425.61
1931-09-01,    8132.74,   51375.47,     388.04
1931-10-01,    8610.02,   51403.10,     368.51
1931-11-01,    9231.82,   51430.72,     405.95
1931-12-01,    9828.54,   51458.35,     406.21
1932-01-01,    9288.07,   51485.98,     375.41
1932-02-01,    9612.44,   51513.60,     385.08
1932-03-01,   10194.85,   51541.23,     357.23
1932-04-01,   10844.93,   51568.85,     311.55
1932-05-01,   11526.65,   51596.48,     309.18
1932-06-01,   12245.24,   51624.11,     311.08
1932-07-01,   12675.34,   51651.73,     298.14
1932-08-01,   12930.18,   51679.36,     301.29
1932-09-01,   12848.65,   51704.83,     307.30
1932-10-01,   12839.46,   51730.30,     331.51
1932-11-01,   12768.15,   51755.76,     312.10
1932-12-01,   13048.87,   51781.23,     308.02
1933-01-01,   12288.55,   51806.70,     310.29
1933-02-01,   12455.27,   51832.17,     300.04
1933-03-01,   13151.10,   51857.64,     246.45
1933-04-01,   13225.00,   51883.11,     300.76
1933-05-01,   13283.40,   51908.58,     308.83
1933-06-01,   13004.29,   51934.05,     340.32
1933-07-01,   12387.15,   51959.51,     344.15
1933-08-01,   11670.63,   51984.98,     355.99
1933-09-01,   11172.27,   52012.41,     318.91
1933-10-01,   11063.67,   52039.83,     331.86
1933-11-01,   11085.12,   52067.26,     328.67
1933-12-01,   10976.35,   52094.69,     326.74
1934-01-01,    9798.96,   52122.11,     355.58
1934-02-01,    9334.77,   52149.54,     353.43
1934-03-01,    8770.95,   52176.96,     342.36
1934-04-01,    8686.81,   52204.39,     354.97
1934-05-01,    8858.52,   52231.81,     358.90
1934-06-01,    9244.66,   52259.24,     326.80
1934-07-01,    9824.66,   52286.66,     326.75
1934-08-01,   10604.07,   52314.09,     314.13
1934-09-01,   11259.26,   52344.32,     315.65
1934-10-01,   11281.48,   52374.56,     317.91
1934-11-01,   11219.87,   52404.79,     331.36
1934-12-01,   10717.72,   52435.03,     347.02
1935-01-01,    9380.79,   52465.26,     341.01
1935-02-01,    9186.71,   52495.50,     341.65
1935-03-01,    9213.01,   52525.73,     356.83
1935-04-01,    9223.57,   52555.97,     356.05
1935-05-01,    9344.57,   52586.20,     343.22
1935-06-01,    9544.62,   52616.44,     356.85
1935-07-01,    9328.99,   52646.68,     372.07
1935-08-01,    9360.69,   52676.91,     366.86
1935-09-01,    9702.92,   52704.61,     408.73
1935-10-01,    9201.79,   52732.31,     405.26
1935-11-01,    8863.68,   52760.01,     411.77
1935-12-01,    8678.30,   52787.71,     425.49
1936-01-01,    7901.18,   52815.41,     405.52
1936-02-01,    7979.31,   52843.11,     417.01
1936-03-01,    7856.60,   52870.80,     493.41
1936-04-01,    8236.30,   52898.50,     474.40
1936-05-01,    7764.27,   52926.20,     520.78
1936-06-01,    7863.65,   52953.90,     530.52
1936-07-01,    7549.88,   52981.60,     524.79
1936-08-01,    7135.05,   53009.30,     540.31
1936-09-01,    7059.08,   53035.92,     550.15
1936-10-01,    7327.94,   53062.54,     541.81
1936-11-01,    7029.00,   53089.16,     570.42
1936-12-01,    6788.20,   53115.78,     562.30
1937-01-01,    6435.54,   53142.40,     564.56
1937-02-01,    6374.97,   53169.02,     560.18
1937-03-01,    6239.85,   53195.64,     561.03
1937-04-01,    6306.84,   53222.26,     581.02
1937-05-01,    5979.85,   53248.88,     585.59
1937-06-01,    6126.68,   53275.50,     560.55
1937-07-01,    5847.24,   53302.12,     494.44
1937-08-01,    5940.82,   53328.74,     524.69
1937-09-01,    6206.14,   53363.24,     525.01
1937-10-01,    6509.18,   53397.74,     464.03
1937-11-01,    7320.22,   53432.24,     394.78
1937-12-01,    8506.56,   53466.74,     349.62
1938-01-01,    9031.01,   53501.24,     360.71
1938-02-01,    9572.19,   53535.74,     350.47
1938-03-01,    9905.14,   53570.24,     342.91
1938-04-01,   10163.46,   53604.74,     329.99
1938-05-01,   10588.39,   53639.24,     320.46
1938-06-01,   10734.75,   53673.74,     316.33
1938-07-01,   10516.07,   53708.24,     340.85
1938-08-01,   10307.86,   53742.74,     347.98
1938-09-01,   10002.92,   53779.13,     345.52
1938-10-01,    9805.19,   53815.52,     363.28
1938-11-01,    9230.22,   53851.90,     378.97
1938-12-01,    8816.12,   53888.29,     369.84
1939-01-01,    9496.14,   53924.68,     375.14
1939-02-01,    9405.41,   53961.06,     365.69
1939-03-01,    9282.16,   53997.45,     385.52
1939-04-01,    9396.48,   54033.84,     381.09
1939-05-01,    9137.87,   54070.22,     372.84
1939-06-01,    8813.97,   54106.61,     390.94
1939-07-01,    8760.34,   54143.00,     389.87
1939-08-01,    8554.92,   54179.38,     386.74
1939-09-01,    8252.63,   54222.25,     391.73
1939-10-01,    8400.24,   54265.12,     441.03
1939-11-01,    8412.31,   54307.99,     424.15
