The data on this page were constructed as part of the paper "Building a composite Help-Wanted Index" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.	
Update (02/2017): 
Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, "A Cautionary Note on the Help Wanted Online Data"), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. 
The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).	
	
See the paper for details and construction methods for the composite HWI over 1951-2000.	
	
1951M01	3.478506443
1951M02	3.461286114
1951M03	3.805692692
1951M04	3.771252034
1951M05	3.805692692
1951M06	3.616269074
1951M07	3.581828416
1951M08	3.616269074
1951M09	3.736811377
1951M10	3.702370719
1951M11	3.650709732
1951M12	3.581828416
1952M01	3.805692692
1952M02	3.857353679
1952M03	3.736811377
1952M04	3.702370719
1952M05	3.616269074
1952M06	3.392404798
1952M07	3.237421838
1952M08	3.478506443
1952M09	3.874574008
1952M10	3.909014666
1952M11	4.063997626
1952M12	3.771252034
1953M01	3.891794337
1953M02	4.046777297
1953M03	4.132878942
1953M04	3.857353679
1953M05	3.84013335
1953M06	3.564608087
1953M07	3.289082825
1953M08	3.220201509
1953M09	3.151320193
1953M10	2.841354273
1953M11	2.56582901
1953M12	2.169761444
1954M01	2.204202102
1954M02	2.0836598
1954M03	2.014778484
1954M04	1.945897168
1954M05	1.911456511
1954M06	1.911456511
1954M07	1.877015853
1954M08	1.842575195
1954M09	1.790914208
1954M10	1.842575195
1954M11	1.997558155
1954M12	1.963117497
1955M01	2.221422431
1955M02	2.221422431
1955M03	2.462507036
1955M04	2.514168023
1955M05	2.686371312
1955M06	2.651930654
1955M07	2.858574601
1955M08	2.961896575
1955M09	2.927455917
1955M10	3.082438877
1955M11	3.134099864
1955M12	2.944676246
1956M01	3.289082825
1956M02	3.289082825
1956M03	3.04799822
1956M04	3.065218549
1956M05	3.099659206
1956M06	3.065218549
1956M07	2.927455917
1956M08	2.910235588
1956M09	2.910235588
1956M10	3.013557562
1956M11	2.979116904
1956M12	2.87579493
1957M01	3.065218549
1957M02	2.858574601
1957M03	2.841354273
1957M04	2.634710325
1957M05	2.686371312
1957M06	2.634710325
1957M07	2.634710325
1957M08	2.428066378
1957M09	2.341964734
1957M10	2.049219142
1957M11	1.92867684
1957M12	1.842575195
1958M01	1.842575195
1958M02	1.687592235
1958M03	1.60149059
1958M04	1.515388945
1958M05	1.549829603
1958M06	1.653151577
1958M07	1.722032892
1958M08	1.722032892
1958M09	1.653151577
1958M10	1.739253221
1958M11	1.859795524
1958M12	1.825354866
1959M01	1.997558155
1959M02	2.100880129
1959M03	2.23864276
1959M04	2.324744405
1959M05	2.428066378
1959M06	2.514168023
1959M07	2.514168023
1959M08	2.39362572
1959M09	2.341964734
1959M10	2.255863089
1959M11	2.359185063
1959M12	2.23864276
1960M01	2.858574601
1960M02	2.858574601
1960M03	2.755252628
1960M04	2.651930654
1960M05	2.617489996
1960M06	2.548608681
1960M07	2.462507036
1960M08	2.428066378
1960M09	2.324744405
