X 741-755 FINANCIAL MARKETS AND INSTITUTIONS,
Series X 741755. Bank Suspensions—Number and Deposits of Suspended Banks: 1864 to 1970,
,Number of suspensions
,741
Years,Total number of suspensions
1864,2
1865,6
1866,7
1867,8
1868,14
1869,7
1870,3
1871,10
1872,19
1873,41
1874,57
1875,28
1876,59
1877,93
1878,140
1879,37
1880,18
1881,11
1882,22
1883,33
1884,63
1885,46
1886,20
1887,25
1888,33
1889,18
1890,37
1891,62
1892,83
1893,496
1894,89
1895,124
1896,155
1897,145
1898,67
1899,36
1900,36
1901,69
1902,54
1903,52
1904,128
1905,80
1906,53
1907,91
1908,155
1909,79
1910,63
1911,87
1912,80
1913,105
1914,151
1915,152
1916,52
1917,49
1918,47
1919,63
1920,168
1921,505
1922,367
1923,646
1924,775
1925,618
1926,976
1927,669
1928,499
1929,659
1930,1352
1931,2294
1932,1456
1933,4004
1934-1940,448
1941-1946 ,49
1947-1950 ,23
1951-1955 ,23
1956-1960 ,20
1959,3
1960,2
1961,9
1962,3
1963,2
1964,8
1965,9
1966,8
1967,4
1968,3
1969,9
1970,7
