,deflator inflation - forecast,deflator inflation - actual,nominal interest
1970-01-01,3.409090909090917,5.148245260185558,7.553333333333334
1970-04-01,2.9850746268656803,5.067634772229956,7.453333333333333
1970-07-01,3.703703703703698,5.27302323287131,6.936666666666667
1970-10-01,3.5414384811975452,4.766077600895757,5.646666666666666
1971-01-01,3.530259365994226,4.771495708051576,4.05
1971-04-01,3.416370106761568,4.056420693898821,4.993333333333333
1971-07-01,3.1358885017421567,3.9921281979195866,5.75
1971-10-01,3.419399860432648,4.447026022304845,4.726666666666667
1972-01-01,3.539208882720324,4.064445258147198,4.406666666666666
1972-04-01,3.385772913816698,5.012736535662277,4.843333333333333
1972-07-01,3.612815269256986,6.0421735604217375,5.153333333333333
1972-10-01,3.6999321113373895,6.793611247052556,5.4366666666666665
1973-01-01,3.7609133646742787,7.569493314567199,6.31
1973-04-01,3.772336201191284,8.44234601056919,7.016666666666666
1973-07-01,4.099935938500954,9.492245591671967,8.506666666666668
1973-10-01,5.3650793650793505,10.510748208631892,7.413333333333334
1974-01-01,5.652173913043468,10.929386269779595,7.353333333333333
1974-04-01,5.612552806276416,9.978030756940282,8.69
1974-07-01,7.023460410557192,8.731421475416191,9.01
1974-10-01,7.681405895691595,7.39246805141931,7.673333333333333
1975-01-01,7.2411894273127775,6.115001842978263,6.3066666666666675
1975-04-01,5.591748099891425,5.615080085715318,6.526666666666666
1975-07-01,5.945366898768101,5.125093686427062,7.5200000000000005
1975-10-01,6.208718626155885,5.247823645043526,6.68
1976-01-01,6.18320610687022,5.821667998193747,5.976666666666667
1976-04-01,5.900151285930422,6.245056570033358,6.28
1976-07-01,6.054977711738485,6.165336954676626,6.013333333333333
1976-10-01,5.728975394785141,6.5503785478437715,5.226666666666667
1977-01-01,5.643994211288006,6.3876579681601875,5.419999999999999
1977-04-01,6.267806267806253,6.9137400873927835,5.6933333333333325
1977-07-01,5.89887640449438,7.422212273352291,6.28
1977-10-01,5.9556786703601095,7.299589945847829,6.96
1978-01-01,5.904436860068274,7.691833019653838,7.31
1978-04-01,6.5326633165829096,8.258908298265277,7.786666666666666
1978-07-01,6.905537459283373,8.778875922838768,8.446666666666667
1978-10-01,7.092651757188495,8.576679599754943,9.816666666666668
1979-01-01,7.3262366938008805,8.872908549163405,10.299999999999999
1979-04-01,7.927762473217026,8.797785172963458,9.936666666666666
1979-07-01,8.025059665871126,8.847595851235601,10.153333333333334
1979-10-01,8.187134502923987,9.648297912356597,12.270000000000001
1980-01-01,8.695652173913038,10.220783663587806,13.933333333333332
1980-04-01,8.841634023503087,9.793085721629623,10.283333333333333
1980-07-01,8.933954508084408,9.415698697641673,10.136666666666667
1980-10-01,9.372496662216289,8.480764518500372,13.840000000000002
1981-01-01,9.061918681902736,7.150531216425948,14.12
1981-04-01,8.678655199374518,6.433337235163283,15.126666666666665
1981-07-01,7.802874743326482,5.949125669247901,16.319999999999997
1981-10-01,7.518796992481214,5.229156784350919,13.546666666666667
1982-01-01,7.019704433497531,4.585561497326207,14.333333333333334
1982-04-01,6.237769080234834,4.0098541671249155,13.796666666666667
1982-07-01,5.873925501432664,3.6457881495619127,11.839999999999998
1982-10-01,5.589767882520147,3.3593783540119437,9.13
1983-01-01,5.001173984503415,3.623929438834206,8.86
1983-04-01,4.823747680890533,3.741065008670641,9.18
1983-07-01,4.949355432780855,3.5614890455962556,10.296666666666667
1983-10-01,5.532693187014193,3.5513281136424935,9.953333333333333
1984-01-01,4.977375565610864,3.525977096568589,10.176666666666668
1984-04-01,5.3811659192825045,3.30853124044439,11.546666666666667
1984-07-01,4.745989304812848,3.0167101089086934,11.81
1984-10-01,4.413062665489842,2.8238503038446883,10.016666666666667
1985-01-01,3.992979376919692,2.3235492711601857,9.389999999999999
1985-04-01,4.329004329004338,2.0541457831800836,8.466666666666667
1985-07-01,4.2132416165090225,1.8574454730895917,7.993333333333333
1985-10-01,3.9743589743589824,1.8432190992607733,7.853333333333333
1986-01-01,3.3333333333333215,1.987423336697458,7.456666666666667
1986-04-01,3.1523642732048884,2.3066957984493097,6.6066666666666665
1986-07-01,2.615518744550993,2.661223546629188,5.989999999999999
1986-10-01,3.111495246326701,2.918757421381235,5.796666666666667
1987-01-01,3.70370370370372,3.0657684402831675,5.923333333333333
1987-04-01,3.918228279386704,3.352736619292407,6.766666666666667
1987-07-01,4.142011834319526,3.8020745409187207,7.126666666666666
1987-10-01,3.6195286195286114,3.870631582865003,7.239999999999999
1988-01-01,3.760969494358535,4.137816429402319,6.78
1988-04-01,3.9435450394354588,4.2332589693888645,7.3
1988-07-01,4.1837571780147575,3.7531622696060696,8.003333333333332
1988-10-01,4.3689320388349495,3.597405854742197,8.526666666666666
