Date,Australia,Austria,Belgium,Canada,Switzerland,Chile,Colombia,Costa Rica,Czech Republic,Germany,Denmark,Euro Area (19 countries),Spain,Estonia,European Union (27 countries),Finland,France,G7,Great Britain,Greece,Hungary,Ireland,Iceland,Israel,Italy,Japan,South Korea,Lithuania,Luxemburg,Latvia,Mexico,Netherlands,Norway,New Zealand,OECD,Poland,Portugal,Slovak Republic,Slovenia,Sweden,Turkey,United States
1967-01-01,1.875,,,3.833333,,,,,,,,,,,,,,,,,,,,,,1.258333,,,,,,,,0.09596929,,,,,,,,3.841667
1968-01-01,1.85,,,4.525,,,,,,,,,,,,,,,,,,,,,,1.183333,,,,,,,,0.7759457,,,,,,,,3.583333
1969-01-01,1.8,,,4.425,,,,,,,,,,,,,,,,,,,,,,1.125,,,,,,,,0.2859867,,,,,,,,3.508333
1970-01-01,1.625,,,5.675,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,0.09267841,,,,,,,,4.933333
1971-01-01,1.925,,,6.2,,,,,,,,,,,,,,,,,,,,,,1.225,,,,,,,,0.1829826,,,,,,,,5.958333
1972-01-01,2.625,,,6.233333,,,,,,,,,,,,,,,,,,,,,,1.416667,,,,,,,,0.4508566,,,,,,,,5.616667
1973-01-01,2.325,,,5.566667,,,,,,,,,,,,,,,,,,,,,,1.266667,,,,,,,,0.1746725,,,,,,,,4.891667
1974-01-01,2.7,,,5.333333,,,,,,,,,,,,,,,,,,,,,,1.375,,,,,,,,0.0838223,,,,,,,,5.591667
1975-01-01,4.925,,,6.916667,,,,,,,,,,,,,,,,,,,,,,1.891667,,,,,,,,0.2465078,,,,,,,,8.466666
1976-01-01,4.75,,,7.083333,,,,,,,,,,,,,,,,,,,,,,2.008333,,,,,,,,0.322841,,,,,,,,7.716667
1977-01-01,5.65,,,8.058333,,,,,,,,,,,,,,,,,,,,,,2.025,,,,,,,,0.317965,,,,,,,,7.066667
1978-01-01,6.442533,,,8.383333,,,,,,,,,,,,,,,,,,,,,,2.241667,,,,,,,,1.657459,,,,,,,,6.066667
1979-01-01,6.265499,,,7.55,,,,,,,,,,,,,,,,,,,,,,2.083333,,,,,,,,1.942502,,,,,,,,5.833333
1980-01-01,6.106246,,,7.55,,,,,,,,,,,,,,,,,,,,,,2.008333,,,,,,,,2.242846,,,,,,,,7.141667
1981-01-01,5.783571,,,7.633333,,,,,,,,,,,,,,,,,,,,,,2.208333,,,,,,,,3.601532,,,,,,,,7.6
1982-01-01,7.156132,,,11.03333,,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,,,3.536494,,,,,,,,9.708333
1983-01-01,9.961594,,10.74167,12.03333,,,,,,,8.366667,,,,,,8.758333,,10.775,,,13.90833,,,7.366667,2.658333,,,3.408333,,,9.508333,,5.663189,,,8.175,,,3.666667,,9.616667
1984-01-01,8.98968,,10.8,11.35,,,,,,,7.916667,,,,,,10.05,,10.85,,,15.5,,,7.833333,2.708333,,,3.041667,,,9.291667,,5.743741,,,8.866667,,,3.266667,,7.525
1985-01-01,8.262986,,10.10833,10.66667,,,,,,,6.658333,,,,,,10.38333,,11.175,,,16.81667,,,8.141666,2.616667,,,2.875,,,8.45,,4.181687,,,9.15,,,2.883333,,7.191667
1986-01-01,8.081038,,10.03333,9.675,,12.115,,,,,4.991667,,,,,,10.55,,11.2,,,16.83333,,,8.883333,2.758333,,,2.533333,,,7.608333,,4.175,,,8.8,,,2.691667,,6.991667
1987-01-01,8.10804,,9.8,8.833333,,10.9275,,,,,5.033333,,19.71667,,,,10.65,,10.275,,,16.625,,,9.633333,2.85,,,2.45,,3.883333,7.466667,,4.225,,,7.233333,,,2.191667,,6.191667
1988-01-01,7.227954,,8.8,7.766667,,9.7525,,,,,5.658333,,18.69167,,,4.208333,10.06667,,8.45,,,16.225,,,9.7,2.533333,,,2.0,,3.541667,7.375,,5.8,,,5.841667,,,1.8,,5.491667
1989-01-01,6.179825,,7.383333,7.566667,,7.9025,,,,,6.816667,,16.54167,,,3.108333,9.675,,7.075,,,14.73333,,,9.7,2.266667,2.583333,,1.783333,,2.925,6.675,4.883333,7.275,,,5.183333,,,1.558333,,5.266667
1990-01-01,6.923,,6.55,8.15,,7.7575,,,,,7.175,,15.45833,,,3.166667,9.366667,,6.825,,,13.45,,,8.866667,2.108333,2.458333,,1.658333,,2.741667,6.083333,5.216667,7.975,,,4.8,,,1.716667,,5.616667
1991-01-01,9.576522,,6.441667,10.325,,8.155,,,,5.525,7.85,7.840147,15.5,,,6.608333,9.625,6.366811,8.6,,,14.75833,,,8.516666,2.1,2.45,,1.658333,,2.691667,5.675,5.45,10.6,,,4.183333,,,3.1,,6.816667
1992-01-01,10.72814,,7.091667,11.19167,,6.665,,,,6.566667,8.6,8.50725,17.01667,,,11.70833,10.64167,7.014071,9.855444,,,15.39167,,,8.791667,2.15,2.525,,2.066667,,2.783333,5.758333,5.925,10.65,,,4.125,,,5.558333,,7.508333
1993-01-01,10.87467,3.958333,8.625,11.4,,6.5425,,,4.308333,7.791667,9.55,10.16667,20.84167,,,16.34167,11.825,7.211086,10.39069,,,15.64167,,,9.725,2.5,2.9,,2.583333,,3.425,6.466667,5.95,9.8,,,5.5,,,9.05,,6.9
1994-01-01,9.72219,4.241667,9.75,10.41667,,7.815,,,4.291667,8.45,7.7,10.85833,22.05,,,16.58333,12.275,7.018174,9.512666,,,14.34167,,,10.65,2.891667,2.475,,3.175,,3.641667,7.191667,5.408333,8.35,,,6.825,,,9.358334,,6.083333
1995-01-01,8.472281,4.241667,9.675,9.508333,,7.3025,,,4.008333,8.25,6.716667,10.65,20.75,,,15.4,11.95,6.741108,8.638574,,,12.29167,,6.869637,11.18333,3.15,2.066667,,2.866667,,6.266667,8.358334,4.933333,6.45,,,7.183333,,,8.8,,5.608333
1996-01-01,8.506114,4.733333,9.541667,9.608334,,6.325,,,3.891667,8.941667,6.333333,10.78333,19.89167,,,14.56667,12.4,6.773658,8.113807,,9.916667,11.66667,,6.677445,11.16667,3.35,2.058333,,2.925,,5.525,7.675,4.75,6.3,,,7.241667,,6.891667,9.558333,,5.416667
