country,iso code,observations,money growth,inflation,gdp growth,nominal interest rate,exchange rate depreciation,income group,oecd
Afghanistan,AFG,12.0,0.17386912193195414,0.05050136131821592,0.07198060691975017,0.1555803240740741,0.028524220346590967,low,no
Albania,ALB,25.0,0.07598206281764708,0.02932767550781734,0.040803956584944734,0.11299121788843955,-0.012973835726562966,middle,no
Algeria,DZA,30.0,0.13137132455913192,0.07146895506499051,0.030620388054659164,0.09319444444444444,0.0363015625644314,middle,no
Angola,AGO,30.0,0.6723795461370192,0.6292862417763003,0.04751806872288955,0.4897707004312295,0.5475963880606569,middle,no
Antigua and Barbuda,ATG,43.0,0.07831453025747126,0.032181039413140766,0.030514795756878543,0.10648347231578421,0.0,high,no
Argentina,ARG,15.0,0.5237459344070152,0.514126367380112,0.003300614090779419,0.3688733333333334,0.4768293486169024,middle,no
Armenia,ARM,30.0,0.1875973018275876,0.04580802473284851,0.05912735483819098,0.24407446485727488,-0.0011374954419335337,middle,no
Aruba,ABW,38.0,0.08075732559457838,0.028170350931511212,0.03209523825422389,0.09457017543859653,0.0,high,no
Australia,AUS,60.0,0.1029094690401795,0.04818181453676207,0.03426194903691804,0.0841744861111111,0.008116392952809859,high,yes
Azerbaijan,AZE,27.0,0.20441794816065162,0.07284047577246744,0.07066393056355902,0.17672951058829636,0.030734795954152627,middle,no
"Bahamas, The",BHS,47.0,0.08033043570991616,0.04113650814163927,0.026882728001347056,0.07025265957446807,0.0,high,no
Bahrain,BHR,30.0,0.08736045059545416,0.027523829921042298,0.051277729277025896,0.0892161510903427,0.0,high,no
Bangladesh,BGD,49.0,0.1633010558404,0.07368470977228592,0.051171538247244186,0.1182147639647813,0.042891307526032874,middle,no
Barbados,BRB,29.0,0.09411422914227052,0.03856800201652777,0.011613338448022148,0.10164367816091956,0.0,high,no
Belarus,BLR,28.0,0.5179353333137187,0.4740924367170891,0.038879495216990856,0.320084361577262,0.3878647598818237,middle,no
Belize,BLZ,43.0,0.09107117752460092,0.02095583917919508,0.04325020613791075,0.1314784263477694,0.0,middle,no
Benin,BEN,17.0,0.11846116843012466,0.019040172516624043,0.04730348398009809,0.057147598039215694,0.0031656573379024167,middle,no
Bhutan,BTN,41.0,0.17553257106665665,0.06852338065012953,0.0620720883125252,0.14847134146341462,0.05394404944292441,middle,no
Bolivia,BOL,35.0,0.1649001902502205,0.06694171971381979,0.03711225864603107,0.25146427568123625,0.03631340371655001,middle,no
Bosnia and Herzegovina,BIH,22.0,0.0975191210280082,0.03312863311268477,0.02840553295530346,0.06641528783913081,-0.006578343404420095,middle,no
Botswana,BWA,45.0,0.15101440657706489,0.08363297280365978,0.05202489860400816,0.1168022054526749,0.0671440048118459,middle,no
Brazil,BRA,28.0,0.14527660358564476,0.07392167492961321,0.02197647347432996,0.48852380952380947,0.06141378451363022,middle,no
Brunei Darussalam,BRN,26.0,0.04286853864777518,0.020693518975319902,0.005875590263483055,0.055,-0.009472934085355988,high,no
Bulgaria,BGR,33.0,0.2445352747713354,0.2150313301320521,0.021647660401143742,0.3218499747474749,0.14559848927205832,high,no
Burkina Faso,BFA,17.0,0.15179169404039516,0.022589495879766996,0.05506611710252418,0.0573838725490196,0.003156937998030296,low,no
Burundi,BDI,26.0,0.1930288450842257,0.1081065782483992,0.022434323985950355,0.15179647435897434,0.07246382709702193,low,no
Cabo Verde,CPV,18.0,0.06248523900208092,0.027900057738116546,0.03035978207590495,0.09626342893416398,0.008658510369629058,middle,no
Canada,CAN,49.0,0.10839415946940534,0.04513785792662084,0.03435731411528642,0.08206632653061224,0.001994321268416588,high,yes
Chile,CHL,34.0,0.16039344302320901,0.08085654710051937,0.0503015248668206,0.1579409845397842,0.042797360971564835,high,yes
China,CHN,45.0,0.18626606694581205,0.04453670976148749,0.08933157407495074,0.06634666666533336,0.036310601951993204,middle,no
Colombia,COL,34.0,0.15938352765875918,0.09855264347410908,0.03348684980119043,0.21319913607204047,0.06742650380814363,middle,no
Comoros,COM,24.0,0.11107930657183007,0.013419324900223017,0.04048055637776793,0.10604270833333333,0.0005047798810586812,middle,no
"Congo, Dem. Rep.",COD,13.0,0.3024487110070444,0.1546408614222563,0.06082301803201551,0.3481317433241757,0.10910808974264308,low,no
Costa Rica,CRI,43.0,0.16450332896657738,0.1127572995175743,0.04216750185535534,0.20492402252277,0.06443188586152271,high,no
Cote d'Ivoire,CIV,13.0,0.14243877281789752,0.022805127599602626,0.051914207930926715,0.05240198717948719,0.008071492743903175,middle,no
Czechia,CZE,32.0,0.07730469327026213,0.038724727850311114,0.02352414810974013,0.06734069390672305,-0.007317435476262513,high,yes
Dominica,DMA,43.0,0.06648072373063774,0.030210060755550883,0.01899938037095139,0.09786307924892565,0.0,middle,no
Dominican Republic,DOM,34.0,0.1569084441023485,0.07666665749520218,0.05143865854849805,0.20252745358921578,0.04825816578690878,middle,no
"Egypt, Arab Rep.",EGY,49.0,0.18736001429686433,0.11654694331510784,0.05007770593823202,0.1426265306122449,0.1040562267052918,middle,no
Eswatini,SWZ,48.0,0.13329983804256385,0.0874008687146961,0.04255372656609091,0.1285260416666667,0.06810738659310811,middle,no
Ethiopia,ETH,24.0,0.1426553150126033,0.06151927942007851,0.05116570071113058,0.09024284722222226,0.06897880817396795,INX,no
Fiji,FJI,32.0,0.07215190734100929,0.03297582279902311,0.021686126853631693,0.07861837185889119,0.013102147414378429,middle,no
"Gambia, The",GMB,30.0,0.16097744352532017,0.11748361406433827,0.029587641262801112,0.2689805555554445,0.08522701855371917,low,no
Georgia,GEO,22.0,0.198909077810707,0.05905778076558099,0.05719790271649727,0.14847517598645305,0.011369674376049188,middle,no
Grenada,GRD,43.0,0.08020266289069622,0.028128332152293822,0.029993860644951464,0.10393422421974544,0.0,middle,no
Guatemala,GTM,28.0,0.12246880788968006,0.043751975220132744,0.03545851958452739,0.14276755952380957,0.009160776821784289,middle,no
Guinea-Bissau,GNB,13.0,0.17254941643425936,0.041995982258811626,0.03688886166026295,0.054954230769230755,0.008071492743903175,low,no
Guyana,GUY,44.0,0.18078989562910142,0.14205748021749542,0.0567212339289036,0.15579934262265507,0.1053216755739943,high,no
Haiti,HTI,30.0,0.14805272176315176,0.14840328513311007,0.01597168336876731,0.15870951388888896,0.08023952759970121,middle,no
Honduras,HND,25.0,0.12259095507557394,0.05535911384432546,0.03654872973989454,0.1892607872527531,0.021624082312511117,middle,no
"Hong Kong SAR, China",HKG,34.0,0.07782941364837836,0.01725487530117098,0.02953469142169096,0.06333333333333334,0.00012712210070020546,high,no
Hungary,HUN,37.0,0.12963811815132154,0.10075200528102557,0.015056323751657663,0.1337325606560383,0.056585666759931375,high,yes
Iceland,ISL,43.0,0.15062685631688089,0.08939985762755764,0.02805428831800061,0.1558951431694778,0.05913910297155489,high,yes
India,IND,44.0,0.1566205550275941,0.07238271033525656,0.055912950894065894,0.1325804015151515,0.05248677228115084,middle,no
Indonesia,IDN,39.0,0.16489570462951209,0.09952377506264742,0.04766568014482764,0.16342368064511242,0.06841381662432267,middle,no
"Iran, Islamic Rep.",IRN,13.0,0.2765968633310987,0.16728068750673675,0.026925991188980536,0.13373846153846156,0.11236394499112912,middle,no
Iraq,IRQ,13.0,0.16579277225712352,0.05035522827582728,0.061708668342353334,0.1449172322775263,-0.017078250361125757,middle,no
Israel,ISR,10.0,0.08974765521874595,0.015883460032974694,0.03978517517688429,0.035080115851894245,-0.007978182779992293,high,yes
Jamaica,JAM,49.0,0.17184539633091078,0.14618659081280838,0.010552208666630758,0.21495060786742584,0.11321207730820904,middle,no
Japan,JPN,25.0,0.014357067313744754,-0.005381041119696728,0.009268532045906275,0.020260088888888892,0.00036134462798265155,high,yes
Jordan,JOR,28.0,0.08246574412570573,0.036470759831968236,0.03891283436484594,0.09164444444444446,5.220297375863048e-05,middle,no
Kenya,KEN,53.0,0.15248738079202262,0.09928405373723703,0.04239194461279272,0.1625037259432328,0.05886820019624284,middle,no
"Korea, Rep.",KOR,28.0,0.12109944207142931,0.01950610946522291,0.03753378663065288,0.06141250000000002,0.01809878574844581,high,yes
Kosovo,XKX,11.0,0.08150351471482553,0.018316157211290873,0.046330755210618246,0.11065304226074385,0.022187887152403496,middle,no
Kuwait,KWT,34.0,0.05958878202339424,0.030427739734958825,0.05492718888345771,0.06401832352941178,0.0023032573858838834,high,no
Kyrgyz Republic,KGZ,27.0,0.20904988589705864,0.10919281404656034,0.0424587630616402,0.3010055374483128,0.075069075371053,middle,no
Lao PDR,LAO,13.0,0.3059075596982608,0.1637671154289313,0.0702685233772331,0.28096089743589736,0.07943925650604178,middle,no
Lebanon,LBN,19.0,0.08910333900374345,0.023413790879389218,0.03954174454092074,0.10936842105263153,0.0,middle,no
Lesotho,LSO,41.0,0.12724374639095037,0.08948151867140641,0.030011324140130524,0.14546313685636858,0.07925491901594883,middle,no
Liberia,LBR,24.0,0.17428825857628238,0.060462265950368854,0.08584587684545264,0.15992249615231727,0.03930290932358904,low,no
Libya,LBY,30.0,0.1759104012027468,0.05226043312223272,0.05279760786470744,0.07,-0.005498327648033929,middle,no
"Macao SAR, China",MAC,39.0,0.11856572181161917,0.04643429303555546,0.04760430473207711,0.0701825899995242,7.763032881302756e-05,high,no
Madagascar,MDG,35.0,0.15491496583996067,0.10653220185638945,0.02358734702990195,0.3916928174603174,0.08028329401182921,low,no
Malawi,MWI,44.0,0.2578131525755172,0.19762902368137047,0.03464719339729716,0.31329782962180514,0.184072097385237,low,no
Malaysia,MYS,56.0,0.12133923754029641,0.03672160736650465,0.05923051401136492,0.0799783764623254,0.007337794852414703,middle,no
Maldives,MDV,30.0,0.13608714373330555,0.0583954293116995,0.05248330103240151,0.10634228116209438,0.009288103843455575,middle,no
Mali,MLI,13.0,0.09491314333286871,0.029249558890269478,0.04927491381742444,0.05365583333333334,0.008071492743903175,low,no
Mauritania,MRT,13.0,0.13115913149685787,0.05772520193092778,0.03949555691897766,0.18955128205128202,0.025200245812087685,middle,no
Mauritius,MUS,45.0,0.13342491925366184,0.05827674042245912,0.043508622122199414,0.14345074074074074,0.041720401958212916,middle,no
Mexico,MEX,32.0,0.12953451351334389,0.0811021716092648,0.019693278281295967,0.12357320915747565,0.05878351957632799,middle,yes
"Micronesia, Fed. Sts.",FSM,27.0,0.044244848223003785,0.019059140777683004,0.0030279920578830666,0.15090478395061727,0.0,middle,no
Moldova,MDA,30.0,0.18467313843500022,0.11600486960466228,0.025442404565145127,0.19106319516628903,0.048577502655486215,middle,no
Mongolia,MNG,24.0,0.2490917995475459,0.11516115004218652,0.05921487442545614,0.2525471446412589,0.05449553143129826,middle,no
Montenegro,MNE,20.0,0.13249788597740086,0.04650957152495572,0.02934982654291618,0.08300125,0.007382853638953302,middle,no
Mozambique,MOZ,27.0,0.1837221194146026,0.0626760541653324,0.06301805176359143,0.2029377618407607,0.06801999048564222,low,no
Myanmar,MMR,27.0,0.27619194169339467,0.13649550588600246,0.08427958377541422,0.1847720797720798,0.2328926443973467,middle,no
Namibia,NAM,31.0,0.15165537206711655,0.07499693758616877,0.03142611415668717,0.13322599742640262,0.05750878749634958,middle,no
New Zealand,NZL,13.0,0.0666322963567596,0.025766811485033125,0.028818032080082823,0.07626661462680817,-0.024467170338318134,high,yes
Nicaragua,NIC,35.0,0.5773298903672681,0.5530190240283617,0.03009228747990922,28.768112804902508,0.48340425840293233,middle,no
Niger,NER,13.0,0.15281833013738622,0.032271309549720906,0.05584600613499591,0.05528275641025645,0.008071492743903175,low,no
Nigeria,NGA,53.0,0.23281268175207348,0.17436626496711116,0.032577091672174374,0.1518307921526824,0.1307726919844283,middle,no
North Macedonia,MKD,20.0,0.09208066580381025,0.033753378586113936,0.026288562216884692,0.08018334185744236,0.007566440099880278,middle,no
Norway,NOR,12.0,0.0528456985746959,0.032052603744610275,0.015847792674462013,0.03664166666666666,0.056426516612381405,high,yes
Oman,OMN,34.0,0.09626711817199118,0.030758904599089254,0.040905281093862156,0.08215461893642129,0.0032552219909249835,high,no
Pakistan,PAK,18.0,0.14689416680041978,0.0812414973570077,0.03988490472112849,0.11086858061796931,0.062354838536474055,middle,no
Panama,PAN,13.0,0.10346646107669244,0.018911423787195902,0.06925721183971434,0.09875880052151233,0.0,high,no
Papua New Guinea,PNG,37.0,0.10320299723105997,0.0678882942590362,0.03683980341930071,0.11990599099099099,0.039627685323049944,middle,no
Paraguay,PRY,28.0,0.1336467338242091,0.08103830224857211,0.02966615344536927,0.286457954787065,0.048112666226396206,middle,no
Peru,PER,38.0,0.5577423717525734,0.4731799907607763,0.03357182373656742,1.967374328523517,0.4119560539337839,middle,no
Philippines,PHL,44.0,0.15819979118226835,0.0775770707970238,0.04020911479524858,0.12946918560594697,0.04615930666714241,middle,no
Qatar,QAT,20.0,0.14492321610275538,0.03143791996437306,0.07170642185811138,0.05584557939956771,0.0,high,no
Romania,ROU,31.0,0.2649926113858132,0.21179687937578562,0.031228938826685093,0.27701554027140557,0.14634684605747172,high,no
Russian Federation,RUS,20.0,0.2061546247802315,0.10734015928356144,0.02941199171234854,0.11447708333333331,0.04878595091510585,high,no
Rwanda,RWA,29.0,0.1672285178621109,0.06393252271528738,0.07617589714665263,0.16546925287356326,0.05343995682117475,low,no
Samoa,WSM,24.0,0.079038929775336,0.02927549896906445,0.022305069651249898,0.10180533270265686,-0.010097859785404228,middle,no
Sao Tome and Principe,STP,23.0,0.15701555034940706,0.11191448833242035,0.03727529070026803,0.2590213383123817,0.043700961905593694,middle,no
Senegal,SEN,13.0,0.11168678358228878,0.02214209714829063,0.04075053573762566,0.05240198717948719,0.008071492743903175,middle,no
Serbia,SRB,14.0,0.415031599140111,0.22166365986983383,0.03486443040915166,0.14006673849287435,0.21916065637140036,middle,no
Seychelles,SYC,36.0,0.11026156071865567,0.04616016462892247,0.03681307970128356,0.1243254709484714,0.02737652709744176,high,no
Sierra Leone,SLE,59.0,0.26707913345131673,0.22668925795766492,0.023269741485998807,0.2051747175141243,0.19439614787813286,low,no
Singapore,SGP,43.0,0.10486527247575173,0.01872576604283216,0.06106047089707767,0.06520310077488371,-0.011826065953640885,high,no
Solomon Islands,SLB,41.0,0.1373034648927116,0.08427687238408055,0.026532593237097446,0.12299857535011405,0.05712896260449574,middle,no
Somalia,SOM,14.0,0.36984682782525,0.3365860371613816,0.025585585117796183,0.13125,0.2888448388687497,low,no
South Africa,ZAF,60.0,0.12669002607983493,0.0931511451569993,0.02422099166850855,0.12842041666666662,0.0565394982950993,middle,no
Sri Lanka,LKA,19.0,0.1713353741657182,0.08476648223668204,0.05482227246538707,0.11973986842105268,0.03925241039534022,middle,no
St. Kitts and Nevis,KNA,45.0,0.08239215357854923,0.02911950642638783,0.034281587915736766,0.09688510478048268,0.0,high,no
