Date,Austria - price level,Austria - notes in circulation,Austria - exchange rate,Hungary - price level,Hungary - notes in circulation,Hungary - exchange rate,Poland - price level,Poland - notes in circulation,Poland - exchange rate,Germany - price level,Germany - notes in circulation,Germany - exchange rate
1/1/1914,,,,,,,,,,96,,
2/1/1914,,,,,,,,,,96,,
3/1/1914,,,,,,,,,,96,,
4/1/1914,,,,,,,,,,95,,
5/1/1914,,,,,,,,,,97,,
6/1/1914,,,,,,,,,,99,,
7/1/1914,,,,,,,,,,99,,
8/1/1914,,,,,,,,,,109,,
9/1/1914,,,,,,,,,,111,,
10/1/1914,,,,,,,,,,118,,
11/1/1914,,,,,,,,,,123,,
12/1/1914,,,,,,,,,,125,,
1/1/1915,,,,,,,,,,126,,
2/1/1915,,,,,,,,,,133,,
3/1/1915,,,,,,,,,,139,,
4/1/1915,,,,,,,,,,142,,
5/1/1915,,,,,,,,,,139,,
6/1/1915,,,,,,,,,,139,,
7/1/1915,,,,,,,,,,150,,
8/1/1915,,,,,,,,,,146,,
9/1/1915,,,,,,,,,,145,,
10/1/1915,,,,,,,,,,147,,
11/1/1915,,,,,,,,,,147,,
12/1/1915,,,,,,,,,,148,,
1/1/1916,,,,,,,,,,150,,
2/1/1916,,,,,,,,,,151,,
3/1/1916,,,,,,,,,,148,,
4/1/1916,,,,,,,,,,149,,
5/1/1916,,,,,,,,,,151,,
6/1/1916,,,,,,,,,,152,,
7/1/1916,,,,,,,,,,161,,
8/1/1916,,,,,,,,,,159,,
9/1/1916,,,,,,,,,,154,,
10/1/1916,,,,,,,,,,153,,
11/1/1916,,,,,,,,,,151,,
12/1/1916,,,,,,,,,,151,,
1/1/1917,,,,,,,,,,156,,
2/1/1917,,,,,,,,,,158,,
3/1/1917,,,,,,,,,,159,,
4/1/1917,,,,,,,,,,163,,
5/1/1917,,,,,,,,,,163,,
6/1/1917,,,,,,,,,,165,,
7/1/1917,,,,,,,,,,172,,
8/1/1917,,,,,,,,,,203,,
9/1/1917,,,,,,,,,,199,,
10/1/1917,,,,,,,,,,201,,
11/1/1917,,,,,,,,,,203,,
12/1/1917,,,,,,,,,,203,,
1/1/1918,,,,,,,,,,204,,
2/1/1918,,,,,,,,,,198,,
3/1/1918,,,,,,,,,,198,,
4/1/1918,,,,,,,,,,204,,
5/1/1918,,,,,,,,,,203,,
6/1/1918,,,,,,,,,,209,,
7/1/1918,,,,,,,,,,208,,
8/1/1918,,,,,,,,,,235,,
9/1/1918,,,,,,,,,,230,,
10/1/1918,,,,,,,,880.2,,234,,
11/1/1918,,,,,,,,930.5,,234,,
12/1/1918,,,,,,,,1023.8,,245,,
1/1/1919,,,,,,,,1098.1,,262,,
2/1/1919,,,,,,,,1160.0,,270,,
3/1/1919,,4687056,25.85,,,,,1223.2,,274,,
4/1/1919,,5577851,26.03,,,,,1346.0,,286,,
5/1/1919,,5960003,24.75,,,,,1548.3,,297,,
6/1/1919,,7397692,29.63,,,,,1784.6,,308,,
7/1/1919,,8391405,37.24,,,,,2087.9,6.88,339,,
