Year,Municipal,Treasury,Mortgage-Related,Corporate Debt,Federal Agency Securities,Asset-Backed,Total
1996,182.85430000000002,612.4,551.7822777880002,337.3787,277.9,121.15929445752,2083.47457224552
1997,218.6154,540.0,725.2084092199998,455.3165,323.1,143.09673200289998,2405.3370412228996
1998,284.0768,438.4,1260.5708467199995,588.4730000000001,596.4,184.16575305155,3352.0863997715496
1999,224.3693,364.6,1121.576874482,602.1455,548.0,196.29367000354,3056.98534448554
2000,198.2388,312.4,779.8843964010003,575.0575,446.6,240.27323173355,2552.45392813455
2001,286.24019999999996,380.7,1816.7134485719992,770.6121999999999,941.0,261.39963604777995,4456.665484619778
2002,355.71560000000005,571.6,2514.8762693290005,636.7427,1041.5,268.56977150147003,5389.004340830471
2003,380.1409,745.2,3537.1266045319953,774.2788,1219.4725079999998,287.57285435606997,6943.791666888065
2004,358.0642,853.3,2428.3188386669963,775.7832999999999,877.775213,330.57554656685,5623.817098233846
2005,407.06759999999997,746.2,2764.144128838995,750.0673,635.0121320000001,473.71406285278,5776.205223691775
2006,385.86949999999996,788.5,2691.121411096996,1058.3548,691.821682,658.19182602459,6273.859219121586
2007,429.15590000000003,752.3,2434.1738913359977,1141.0166000000002,831.244561,827.5891745754601,6415.480126911458
2008,389.257,1037.3,1393.9733916479997,716.9726999999999,924.7591939999999,215.21430414564998,4677.4765897936495
2009,409.54380000000003,2074.9349,2172.085565464,945.3683000000001,1244.42596,177.90558442977002,7024.26410989377
2010,433.13169999999997,2319.837,2012.5876226520002,1055.3609,1362.139301,125.91620456793999,7308.97272821994
2011,295.0561,2103.2560000000003,1724.7877683860004,1025.1277000000002,1025.2726619999999,150.9797827338,6324.4800131198
2012,382.6261,2304.518,2195.121600734,1371.2305000000001,925.5322580000001,259.00756750238,7438.03602623638
2013,335.2963,2139.9759999999997,2120.206660855,1379.9350000000002,652.919834,304.12180557444,6932.455600429441
2014,339.12940000000003,2215.38,1439.6416444709998,1438.3750999999997,558.68978,393.35481167372996,6384.570736144729
2015,405.1123,2122.467,1800.6830132354999,1494.7929000000001,645.4762999999999,333.3974078938699,6801.928921129371
2016,445.808,2169.3970178,2044.1910994209998,1527.5655999999997,927.870876,325.41972866557,7440.25232188657
2017,448.0462,2224.2840000000006,1934.7908242490003,1652.4243000000001,731.3136750000001,550.2953261181999,7541.154325367201
2018,338.2527,2684.592,1898.638365666,1338.1248999999998,649.188,516.924613371,7425.720579036999
