Year,Auto,CDO/CLO,Credit Cards,Equipment,Other,Student Loans,Total
1985,894.9000000000001,,,336.1,83.31330971999999,,1314.31330972
1986,9834.43,,,378.9,516.57274682,,10729.90274682
1987,6321.800000000001,,2405.2,111.5,1497.62104984,,10336.12104984
1988,5834.681,,7150.500000000001,241.793,2820.2060159099997,,16047.18001591
1989,8194.154,514.5,11641.9,141.3,1680.65814564,,22172.51214564
1990,13001.099999999999,1227.8,24676.4,575.807,2180.37360247,12.292,41673.77260247
1991,18425.399999999998,286.5,22531.4,788.258,2056.10017408,189.39,44277.04817408
1992,25393.799999999996,300.0,17362.2,2378.119,3516.46872716,78.19,49028.77772716
1993,24577.899999999994,385.0,19579.0,4205.2789999999995,4897.06136295,339.5,53983.74036295
1994,19640.962,48.1,31934.899999999994,6310.268,6947.4935756899995,3007.303,67889.02657568999
1995,29744.7,1.5,46585.581,4017.3869999999997,6576.5896865,3162.4,90088.1576865
1996,37531.501000000004,674.5,48322.100000000006,11596.199999999999,14679.99345752,8355.0,121159.29445752001
1997,42123.275,18924.4,40463.5,8238.099999999999,20983.5570029,12363.9,143096.73200289998
1998,40688.6,40808.3,42045.80000000001,12244.0,38477.25305155,9901.800000000001,184165.75305155
1999,47521.700000000004,51710.8,40100.4,14089.000000000002,32399.28000354,10472.49,196293.67000354
2000,70066.2,54947.40000000001,53014.799999999996,17505.1,28937.731733549997,15802.0,240273.23173355
2001,83039.0,55038.8,67749.09999999999,13393.7,29000.236047779996,13178.800000000001,261399.63604777996
2002,93779.09999999999,56454.60000000001,67703.0,6903.700000000001,18156.07150147,25573.300000000003,268569.77150147
2003,84814.2,58817.3,63236.2,14664.5,24905.95435607,41134.7,287572.85435607
2004,80798.49999999999,124463.09999999999,50605.49999999999,10192.3,17882.74656685,46633.4,330575.54656685
2005,106398.09999999999,194131.29999999993,58513.30000000001,17119.5,34144.46685278,63407.396,473714.0628527799
2006,88847.9,395757.1000000002,61191.0,14445.0,30404.851024590003,67545.975,658191.8260245902
2007,85716.51000000001,489680.1900000004,95727.985,14637.223999999998,49959.33357546,60146.899999999994,795868.1425754605
2008,35572.9,81306.71999999999,55750.3,2715.3,11665.084145649998,28204.0,215214.30414564998
2009,64277.68300000001,12664.502999999999,51506.732,8893.105999999998,18949.28342977,21614.277,177905.58442977
2010,59009.132,8071.866000000001,6536.424,8761.094000000001,28085.704567940003,15451.984,125916.20456793999
2011,66263.11699999998,22300.639,12276.316,12253.414,23922.895733800004,13963.400999999998,150979.7827338
2012,87797.893,59838.40000000001,32320.360000000004,18300.719999999998,35411.38450238,25338.81,259007.56750238003
2013,88099.49,94992.734,36887.71000000001,19431.656000000003,42031.30757444,22678.908000000003,304121.80557444
2014,99058.457,140062.615,51359.579000000005,20340.414710000005,66877.31396372999,15656.432,393354.81167373003
2015,98449.83799999999,116664.69927576001,25022.138,17656.573,61359.11061811,14245.049,333397.40789387
2016,92035.55299999999,119684.013,27163.946,14942.581,55144.753665569995,16448.881999999998,325419.72866557
2017,101239.057,294263.752652,43347.325,24420.193,71004.96046619999,16020.038,550295.3261182001
2018,107300.29000000001,280694.162,31342.458,26199.765,52450.55137100001,18937.387000000002,516924.6133709999
