Year,MBS Agency,CMO Agency ,CMBS Non-Agency,RMBS Non-Agency,Agency,Non-Agency,Total
1996,371.07934038600007,72.356228402,23.41827400000001,84.92843500000015,443.43556878800007,108.34670900000016,551.7822777880002
1997,368.69545876399997,177.42707345600002,41.08447600000001,138.0014010000002,546.12253222,179.0858770000002,725.2084092200002
1998,726.0991783860001,228.12162733399998,75.88119799999997,231.61954299999948,954.22080572,307.50074099999944,1261.7215467199997
1999,684.2330208639999,199.365678618,56.68061099999992,181.7482640000001,883.5986994819998,238.428875,1122.0275744819999
2000,484.3857636,99.987319801,47.074009999999994,148.43730299999947,584.373083401,195.51131299999946,779.8843964009995
2001,1089.6536500329998,389.347776539,67.42772500000008,272.0342969999985,1479.001426572,339.46202199999857,1818.4634485719985
2002,1446.2906198679998,593.164425461,54.42657700000011,420.99464700000186,2039.4550453289999,475.421224000002,2514.876269329002
2003,2164.3346291409994,624.7570186910001,83.50526900000018,664.5796876999991,2789.0916478319996,748.0849566999993,3537.176604531999
2004,1035.9341835619998,373.93806788800003,100.97378700000002,917.8228001999971,1409.8722514499998,1018.7965871999971,2428.6688386499973
2005,995.6401279759998,334.170166863,175.81675999999976,1259.0979470000054,1329.8102948389999,1434.9147070000051,2764.725001839005
2006,903.7143311229999,295.609461274,213.7867989999995,1278.0108197000027,1199.3237923969998,1491.7976187000022,2691.1214110970022
2007,1148.2971099869999,257.155817349,240.88989499999985,788.2174819999885,1405.452927336,1029.1073769999884,2434.5603043359883
2008,1173.884618134,150.06318251399998,17.31950300000001,52.71268799999995,1323.9478006479999,70.03219099999995,1393.9799916479997
2009,1777.370322862,311.217485602,11.043413000000001,72.45434399999996,2088.587808464,83.49775699999996,2172.0855654639995
2010,1428.2708656630002,493.058885989,24.619021,66.63884999999989,1921.3297516520001,91.2578709999999,2012.587622652
2011,1242.251287403,410.89958098299996,34.490368,37.146532000000036,1653.1508683860002,71.63690000000003,1724.7877683860002
2012,1758.6828514729998,360.485793261,48.03068899999999,27.922267000000016,2119.168644734,75.952956,2195.121600734
2013,1624.2934324929997,357.721262362,87.99412099999996,50.197845000000015,1982.0146948549998,138.19196599999998,2120.206660855
2014,989.009122274,276.152521197,100.57259600000008,73.90740500000015,1265.161643471,174.48000100000024,1439.641644471
2015,1330.8026950439998,270.614500588,101.81680649999998,97.4490112,1601.417195632,199.26581769999999,1800.683013332
2016,1559.6180828819997,320.621214539,78.43175900000003,85.52004299999999,1880.2392974209997,163.95180200000001,2044.1910994209998
2017,1402.3630083560001,308.42691489300006,98.00018100000008,125.92626300000006,1710.7899232490001,223.92644400000015,1934.7163672490003
2018,1313.652838521,315.10873514499997,88.711928,181.35820199999998,1628.7615736659998,270.07013,1898.8317036659996
