Year,Agency MBS,Agency CMO,CMBS Non-Agency,RMBS Non-Agency,Agency,Non-Agency,Total
2002,3158.237,922.7027,296.9171,911.538,4080.9397,1208.4551000000001,5289.3948
2003,3342.248,1006.5443,351.3881,1014.3128,4348.7923,1365.7009,5714.4932
2004,3383.079,1022.1201,416.076,1480.4148,4405.1991,1896.4908,6301.689899999999
2005,3547.639,1114.3036,540.7471,2015.3874,4661.9426,2556.1345,7218.0771
2006,3837.936,1253.2955,698.4047,2600.2946,5091.2315,3298.6993,8389.9308
2007,4459.875,1341.1306,870.7818,2714.1869,5801.0056,3584.9687000000004,9385.974300000002
2008,4956.755,1322.5783,830.8058,2357.2267,6279.3333,3188.0325000000003,9467.3658
2009,5372.223,1264.2006,793.1576,1922.8919,6636.4236,2716.0495,9352.4731
2010,5481.391,1353.328,746.9718,1676.6787,6834.718999999999,2423.6504999999997,9258.369499999999
2011,5546.411,1401.3267,690.2875,1437.4593,6947.7377,2127.7468,9075.484499999999
2012,5656.737,1303.6664,638.3751,1239.2908,6960.4034,1877.6659,8838.0693
2013,5905.615,1134.0,627.0559,1075.9188,7039.615,1702.9746999999998,8742.5897
2014,6008.43,1210.37477821464,628.901,994.291,7218.8047782146405,1623.192,8841.996778214641
2015,6217.062,1149.8876406955799,603.1912,924.6725,7366.94964069558,1527.8636999999999,8894.813340695579
2016,6529.863,1108.5111287206705,531.4873,853.3505,7638.37412872067,1384.8378,9023.21192872067
2017,6924.323,1080.762037348,508.6708,790.7689,8005.085037348001,1299.4397,9304.524737348002
