,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,United States,VA,VT,WA,WI,WV,WY
1840-01-01,NaN,1032.4675324675322,1324.6753246753242,NaN,NaN,NaN,1772.7272727272723,NaN,1324.6753246753242,1344.1558441558439,1110.38961038961,NaN,740.25974025974,NaN,915.5844155844153,798.7012987012985,NaN,1012.9870129870127,2201.2987012987005,2084.415584415584,1227.2727272727268,1110.38961038961,857.1428571428569,NaN,1032.4675324675322,1636.3636363636358,NaN,993.5064935064933,NaN,NaN,1246.7532467532465,1616.8831168831164,NaN,NaN,1558.441558441558,935.0649350649347,NaN,NaN,1461.0389610389607,2298.701298701298,1090.9090909090905,NaN,915.5844155844153,NaN,NaN,1266.233766233766,1051.9480519480517,1266.233766233766,NaN,1558.441558441558,1051.9480519480517,NaN
1880-01-01,NaN,1212.1212121212118,1341.9913419913416,5129.870129870129,4199.134199134198,4783.549783549783,3160.1731601731594,NaN,2337.662337662337,1038.9610389610386,1212.1212121212118,NaN,2272.727272727272,4978.354978354977,2445.887445887445,2012.9870129870126,1580.0865800865797,1255.411255411255,1493.5064935064931,3095.2380952380945,1861.471861471861,1904.7619047619044,2294.3722943722937,2099.567099567099,1774.8917748917745,1385.281385281385,5194.805194805193,995.6709956709955,2272.727272727272,2012.9870129870126,2554.1125541125534,2683.9826839826833,1277.0562770562767,6883.116883116882,2640.69264069264,2121.2121212121206,NaN,3095.2380952380945,2467.532467532467,3246.753246753246,1103.8961038961036,2272.727272727272,1125.5411255411252,1298.7012987012984,1753.2467532467529,2056.2770562770556,1103.8961038961036,2251.0822510822504,3030.3030303030296,2034.6320346320342,1168.8311688311685,3333.3333333333326
1900-01-01,NaN,1449.3506493506493,1472.7272727272725,4675.324675324675,4231.16883116883,4090.9090909090905,3646.7532467532465,NaN,2922.077922077922,1566.2337662337661,1309.090909090909,NaN,3225.9740259740256,4044.1558441558436,3132.4675324675322,2594.8051948051943,2851.9480519480517,1612.9870129870128,1706.4935064935064,3646.7532467532465,2337.6623376623374,2618.181818181818,2501.298701298701,2781.8181818181815,2314.285714285714,1449.3506493506493,6335.064935064935,1262.337662337662,1624.6753246753244,3132.4675324675322,3225.9740259740256,3319.480519480519,2407.7922077922076,6568.831168831168,3319.480519480519,2898.7012987012986,1916.8831168831166,3506.493506493506,3319.480519480519,3763.636363636363,1332.4675324675322,1624.6753246753244,1425.9740259740258,1963.6363636363635,2664.9350649350645,2641.5584415584412,1542.8571428571427,2758.4415584415583,4231.16883116883,2501.298701298701,1846.7532467532465,5540.259740259739
1929-01-01,NaN,3634.085213032581,3451.8113465481883,6812.48575985418,11323.763955342902,7188.42560947824,11722.48803827751,15083.162451583503,11745.272271588059,5912.508544087491,3907.4960127591703,NaN,6504.8986101617675,5684.666210982,10833.902939166095,6892.230576441102,5992.253360674413,4420.141262246525,4659.3757120072905,10378.218272955113,8828.890407837775,6835.269993164729,9022.556390977443,6766.917293233082,7051.720209614946,3155.61631351105,6744.133059922533,3725.2221462747775,4294.827979038505,6652.996126680337,7837.77625882889,10492.139439507859,4613.807245386192,9956.709956709956,13169.286853497379,8794.714057871952,5115.0603782182725,7587.14969241285,8840.28252449305,10036.454773296877,3041.6951469583046,4727.728411938938,4249.259512417407,5399.863294600136,6242.879927090453,7963.08954203691,4955.570745044429,7177.033492822966,8430.166324903166,7632.718159033948,5228.981544771018,7655.502392344497
1930-01-01,NaN,3109.8498285444007,2648.6933900910485,6125.10346458555,10512.00189192385,6787.276812108312,10961.333806314295,15537.424618659097,10145.44164597375,5533.877261440227,3582.8307910606595,NaN,5924.08655551614,5770.367742698356,9577.864490954238,6054.1563202081115,5439.281068936975,3807.4967482558823,4174.056994205983,9956.249260967244,8525.481849355563,6787.276812108312,7780.536833392455,6468.014662409838,6621.733475227622,2329.431240392574,5924.08655551614,3393.638406054156,3641.953411375192,6030.507272082298,7662.29159276339,10062.669977533404,3937.5665129478534,9861.653068463993,12321.15407354854,7851.483977769894,4315.95128296086,7153.837058058412,8478.183753103936,9400.49663001064,2826.0612510346455,4221.355090457609,3795.672224192976,4812.581293602932,5841.314887075795,7343.029443064916,4576.0908123448025,6763.627763982499,7768.712309329549,6917.346576800283,4812.581293602932,6881.873004611564
1931-01-01,NaN,2899.696849874786,2728.3511269276396,5667.5892974825365,9924.87149070779,6221.167787004087,10636.615262949783,16515.091604059577,10228.021615921973,5232.634770001318,3347.8318175827076,NaN,5219.454329774615,4824.041122973508,8870.436272571505,5733.491498616055,5193.093449321208,3782.7863450639256,4151.838671411626,10096.217213654936,8514.56438645051,6484.776591538158,7117.43772241993,6023.461183603533,6445.235270858047,2227.4943983129037,5100.830367734283,3216.027415315672,2570.1858442071966,5390.800052721762,7381.046526954001,9766.706207987349,3782.7863450639256,8764.992750757876,11717.411361539476,7420.587847634111,3875.0494266508504,6642.941874258601,7974.1663371556615,9463.556082773166,2675.6293660208253,3189.6665348622646,3598.2601818900753,4547.251878212733,4903.123764333729,6959.272439699486,4889.943324107026,6207.987346777383,7038.355081059708,6181.626466323975,4665.875840253065,6287.069988137604
1932-01-01,NaN,2373.1343283582087,2268.6567164179105,4805.9701492537315,8716.41791044776,5328.358208955224,9358.20895522388,16522.38805970149,8820.895522388058,4731.3432835820895,2940.2985074626863,NaN,4373.134328358209,3999.9999999999995,7298.507462686567,4597.014925373134,3985.0746268656712,3119.4029850746265,3552.238805970149,9283.582089552237,7791.044776119403,5671.641791044775,5895.522388059701,5388.059701492537,5447.76119402985,1820.8955223880596,4985.074626865671,2731.3432835820895,2656.7164179104475,4522.388059701492,6417.910447761194,8850.746268656716,3104.477611940298,8313.432835820895,10238.805970149253,6014.925373134328,3194.0298507462685,5626.865671641791,6791.044776119403,8716.41791044776,2328.3582089552237,2820.8955223880594,2895.5223880597014,3910.4477611940297,4537.313432835821,6000.0,4268.6567164179105,5417.910447761194,6000.0,5402.985074626866,3835.8208955223877,5597.014925373134
1933-01-01,NaN,2517.654283082591,2348.7872275099785,4743.62910653976,8443.35277863064,5419.097328830211,9072.766349401289,14507.215228738101,8688.97758673626,4436.598096407737,3101.0132023334354,NaN,3868.590727663494,3500.153515505066,6770.033773411114,4513.355848940742,3853.2391771568928,3131.7163033466377,3469.4504144918633,8719.680687749462,7291.986490635554,5726.128338962235,5342.339576297206,4758.980657046362,5127.417869204789,1949.646914338348,4590.1136014737485,3116.3647528400365,2318.084126496776,4190.973288302118,6447.65121277249,8120.970217992017,3239.177156892846,7660.423702793982,9732.88302118514,5941.050046054651,3377.3411114522564,5480.503530856617,6493.705864292293,8735.032238256063,2640.4666871354007,2087.8108688977586,3085.6616518268343,3899.293828676696,4559.410500460546,5756.831439975437,4390.543444887933,5173.472520724593,5772.182990482039,5127.417869204789,3976.051581209702,5710.776788455633
1934-01-01,NaN,3012.6619123853875,2648.8138553340123,5268.519866103915,8805.122980643282,5414.059088924465,9620.142628438363,14015.427157618977,9416.387716489593,5064.764954155145,3507.495269975258,NaN,3944.1129384369083,5661.4757677194,7393.392519283946,5195.750254693639,4191.529617231844,3376.5099694367627,3827.6815601804683,8994.323970309997,7742.6866540532665,6083.539513898995,6607.480716052975,5224.858099257749,5355.843399796245,2430.505021103187,5312.18163295008,3594.818803667588,2677.9216998981224,3842.235482462523,6985.882695386406,8412.167079027797,3580.264881385533,8150.196477950807,10013.098530053849,6651.14248289914,3638.4805705137533,6360.06403725804,7087.760151360791,8863.338669771503,3012.6619123853875,2765.2452335904522,3522.049192257313,4235.191384078009,4569.931596565274,6214.52481443749,4700.916897103769,5545.04438946296,6432.833648668316,5530.4904671809045,4555.377674283219,6025.323824770775
1935-01-01,NaN,3080.433542498574,2909.2983456930974,5932.686822589846,9483.742156303479,6346.26354820308,10196.805476326297,14703.365658870507,10068.45407872219,5390.758699372504,3807.7581289218483,NaN,5961.209355390759,5618.938961779806,8214.489446662863,5975.470621791215,5134.05590416429,3764.974329720479,4121.505989731888,9312.606959498004,7957.786651454649,6203.650884198517,7586.993725042784,6403.308613804906,6003.993154592127,2481.4603536794066,6774.101540216771,3807.7581289218483,3864.8031945236735,5775.812892184826,7187.678265830005,8998.859098687963,4178.5510553337135,9512.264689104391,10439.247005134055,7401.5972618368505,4221.334854535083,6545.92127780947,7472.903593839133,9341.129492298916,3251.5687393040503,4349.6862521391895,3750.7130633200227,4634.911580148317,5576.155162578437,6802.624073017684,5048.488305761552,5918.42555618939,7002.281802624073,6574.443810610382,4820.30804335425,7102.110667427268
