Year,CPI [1967=100]
1800,51
1801,50
1802,43
1803,45
1804,45
1805,45
1806,47
1807,44
1808,48
1809,47
1810,47
1811,50
1812,51
1813,58
1814,63
1815,55
1816,51
1817,48
1818,46
1819,46
1820,42
1821,40
1822,40
1823,36
1824,33
1825,34
1826,34
1827,34
1828,33
1829,32
1830,32
1831,32
1832,30
1833,29
1834,30
1835,31
1836,33
1837,34
1838,32
1839,32
1840,30
1841,31
1842,29
1843,28
1844,28
1845,28
1846,27
1847,28
1848,26
1849,25
1850,25
1851,25
1852,25
1853,25
1854,27
1855,28
1856,27
1857,28
1858,26
1859,27
1860,27
1861,27
1862,30
1863,37
1864,47
1865,46
1866,44
1867,42
1868,40
1869,40
1870,38
1871,36
1872,36
1873,36
1874,34
1875,33
1876,32
1877,32
1878,29
1879,28
1880,29
1881,29
1882,29
1883,28
1884,27
1885,27
1886,27
1887,27
1888,27
1889,27
1890,27
1891,27
1892,27
1893,27
1894,26
1895,25
1896,25
1897,25
1898,25
1899,25
1900,25
1901,25
1902,26
1903,27
1904,27
1905,27
1906,27
1907,28
1908,27
1909,27
1910,28
1911,28
1912,29
1913,29.7
1914,30.1
1915,30.4
1916,32.7
1917,38.4
1918,45.1
1919,51.8
1920,60
1921,53.6
1922,50.2
1923,51.1
1924,51.2
1925,52.5
1926,53
1927,52
1928,51.3
1929,51.3
1930,50
1931,45.6
1932,40.9
1933,38.8
1934,40.1
1935,41.1
1936,41.5
1937,43
1938,42.2
1939,41.6
1940,42
1941,44.1
1942,48.8
1943,51.8
1944,52.7
1945,53.9
1946,58.5
1947,66.9
1948,72.1
1949,71.4
1950,72.1
1951,77.8
1952,79.5
1953,80.1
1954,80.5
1955,80.2
1956,81.4
1957,84.3
1958,86.6
1959,87.3
1960,88.7
1961,89.6
1962,90.6
1963,91.7
1964,92.9
1965,94.5
1966,97.2
1967,100
1968,104.2
1969,109.8
1970,116.3
