hpi,cpi (1982-1984=100),pce (2012=100),real hpi (cpi),real hpi (pce)
15.088699539776464,29.01,16.074,52.012063218808905,93.87022234525608
15.072136752136753,29.0,16.089,51.972885352195696,93.67976103012465
15.072136752136753,28.97,16.1,52.026706082626006,93.61575622445187
15.072136752136753,28.98,16.132,52.00875345802882,93.43005673280904
15.138387902695596,29.04,16.14,52.12943492663773,93.79422492376453
15.138387902695596,29.11,16.186,52.00408073753211,93.52766528293338
15.088699539776464,29.15,16.22,51.76226257213196,93.02527459788202
15.072136752136753,29.18,16.244,51.6522849627716,92.78587018060055
15.105262327416176,29.25,16.286,51.64192248689291,92.74998358968546
15.188076265614729,29.35,16.326,51.74813037688153,93.02999060158477
15.204639053254438,29.35,16.336,51.804562362025344,93.07443103118536
15.138387902695596,29.41,16.355,51.473607285602164,92.56122227267255
15.188076265614729,29.37,16.346,51.7128916091751,92.91616460060399
15.188076265614729,29.41,16.363,51.642557856561474,92.81963127552851
15.188076265614729,29.41,16.372,51.642557856561474,92.76860655762722
15.188076265614729,29.54,16.432,51.41528864459962,92.42987016562031
15.154950690335308,29.57,16.449,51.251101421492415,92.1329606075464
15.121825115055884,29.61,16.456,51.0699936340962,91.89247153048058
15.121825115055884,29.55,16.485,51.17368905264259,91.73081659117916
15.188076265614729,29.61,16.513,51.29373949886771,91.97648074616804
15.25432741617357,29.61,16.523,51.51748536363922,92.32177822534389
15.304015779092703,29.75,16.542,51.44206984568975,92.5161152163747
15.25432741617357,29.78,16.598,51.2233962933968,91.90461149640662
15.25432741617357,29.81,16.601,51.171846414537306,91.88800322976671
15.25432741617357,29.84,16.604,51.12040018824923,91.87140096466858
15.22120184089415,29.84,16.62,51.00938954723241,91.5836452520707
15.25432741617357,29.84,16.61,51.12040018824923,91.83821442609013
15.188076265614729,29.81,16.6,50.94960169612456,91.49443533502848
15.237764628533862,29.84,16.609,51.064894867740826,91.74402208762635
15.22120184089415,29.84,16.617,51.00938954723241,91.60017958051483
15.270890203813282,29.92,16.653,51.0390715368091,91.70053566212263
15.28745299145299,29.94,16.667,51.060297232641915,91.72288349104811
15.28745299145299,29.98,16.686,50.99217141912272,91.61844055767105
15.28745299145299,29.98,16.685,50.99217141912272,91.62393162393163
15.370266929651544,29.98,16.686,51.268402033527494,92.11474846968443
15.403392504930968,30.01,16.69,51.32753250560136,92.29114742319334
15.419955292570677,30.04,16.721,51.33140909644034,92.21909749758194
15.386829717291256,30.11,16.767,51.1020581776528,91.76853174265675
15.386829717291256,30.17,16.789,51.00042995456167,91.64827992906817
15.386829717291256,30.21,16.808,50.9329020764358,91.54467942224689
15.46964365548981,30.24,16.818,51.15622901947688,91.98265938571654
15.486206443129522,30.21,16.829,51.261855157661444,92.02095456134958
15.486206443129522,30.22,16.819,51.244892267139385,92.075667061832
15.486206443129522,30.28,16.844,51.14335020848587,91.93900761772453
15.46964365548981,30.42,16.927,50.85352943947997,91.39034474797548
15.436518080210389,30.38,16.909,50.81144858528766,91.29172677396883
15.453080867850097,30.38,16.922,50.86596730694568,91.31947091271775
15.453080867850097,30.38,16.914,50.86596730694568,91.36266328396651
15.46964365548981,30.44,16.956,50.82011713367217,91.23403901562756
15.46964365548981,30.48,16.974,50.75342406656762,91.13729029981036
15.552457593688365,30.51,16.961,50.974951142865834,91.69540471486567
15.618708744247206,30.48,16.96,51.242482756716555,92.09144306749532
15.585583168967785,30.51,16.987,51.08352398875052,91.75006280666267
15.585583168967785,30.61,17.024,50.91663890548117,91.55065301320361
15.618708744247206,30.69,17.058,50.891849932379294,91.56236806335565
15.618708744247206,30.75,17.081,50.792548761779535,91.43907701099002
15.618708744247206,30.72,17.078,50.842150860179714,91.4551396196698
15.618708744247206,30.75,17.111,50.792548761779535,91.27876070508565
15.718085470085471,30.78,17.135,51.06590471112889,91.73087522664412
15.784336620644313,30.88,17.161,51.11507973006578,91.97795361951117
15.784336620644313,30.94,17.197,51.01595546426733,91.78540804003205
15.834024983563445,30.91,17.221,51.226221234433666,91.94602510634368
15.834024983563445,30.94,17.231,51.17655133666271,91.89266428856969
15.784336620644313,30.95,17.245,50.99947211839842,91.52993111420302
15.718085470085471,30.98,17.246,50.73623457096665,91.14047008051416
15.767773833004604,31.01,17.271,50.847384176087076,91.29624128889238
15.800899408284025,31.02,17.293,50.93778016854941,91.37164984840123
15.850587771203157,31.05,17.306,51.048591855726755,91.59012926848004
15.900276134122286,31.08,17.333,51.159189620728085,91.73412643005993
15.93340170940171,31.12,17.343,51.19987695823171,91.87223496166587
15.983090072320842,31.21,17.368,51.21143887318437,92.02608286688647
15.983090072320842,31.25,17.393,51.145888231426696,91.89380826953855
16.082466798159107,31.28,17.412,51.41453579974139,92.36427060739207
16.082466798159107,31.28,17.419,51.41453579974139,92.32715309810612
16.032778435239972,31.31,17.442,51.20657436997755,91.92052766448786
15.999652859960552,31.38,17.469,50.986784129893415,91.58883084298215
15.983090072320842,31.48,17.508,50.77220480406874,91.29021060270071
15.983090072320842,31.61,17.559,50.5633978877597,91.02505878649605
16.016215647600266,31.58,17.572,50.716325673211735,91.14623063737916
16.016215647600266,31.55,17.576,50.76455038859038,91.12548729859049
16.016215647600266,31.62,17.584,50.652168398482814,91.08402893312253
16.115592373438528,31.65,17.59,50.91814335999535,91.61792139532989
16.19840631163708,31.75,17.62,51.01860255633726,91.93193139408103
16.248094674556214,31.85,17.684,51.01442597976833,91.88020060255718
16.297783037475348,31.88,17.704,51.12228054415103,92.05706641140617
16.264657462195924,32.08,17.778,50.70030380983766,91.4875546304192
16.264657462195924,32.18,17.821,50.54275159165918,91.26680580324293
16.281220249835634,32.28,17.883,50.43748528449701,91.04300313054652
16.314345825115055,32.35,17.905,50.43074443621346,91.11614535110334
16.34747140039448,32.38,17.95,50.48632304013119,91.07226406905002
16.36403418803419,32.45,17.984,50.428456665744804,90.99218298506555
16.314345825115055,32.65,18.053,49.967368530214564,90.36916759051157
16.314345825115055,32.75,18.11,49.81479641256505,90.08473674828853
16.3805969756739,32.85,18.158,49.86483097617625,90.21146037930333
16.3805969756739,32.88,18.185,49.819333867621346,90.07751980024142
16.44684812623274,32.92,18.222,49.96004898612618,90.25819408535143
16.44684812623274,32.9,18.224,49.990419836573686,90.24828866457824
16.44684812623274,33.0,18.245,49.83893371585679,90.14441285959298
16.33090861275477,33.0,18.255,49.48760185683263,89.45992118737206
16.39715976331361,33.1,18.285,49.53824701907435,89.67547040368395
16.496536489151875,33.1,18.32,49.83847881918995,90.04659655650586
16.529662064431296,33.3,18.379,49.63862481811201,89.93776627907555
16.529662064431296,33.4,18.441,49.49000618093203,89.63538888580499
16.62903879026956,33.5,18.499,49.63892176199869,89.89155516660124
16.62903879026956,33.6,18.555,49.49118687580226,89.62025756006231
16.695289940828403,33.7,18.606,49.54091970572226,89.73067795780072
16.744978303747533,33.9,18.668,49.39521623524346,89.69883385337226
16.82779224194609,34.0,18.698,49.49350659395908,89.99781924241142
16.81122945430638,34.1,18.784,49.29979312113307,89.49760143902459
16.89404339250493,34.2,18.861,49.39778769738283,89.57130264834807
16.86091781722551,34.3,18.923,49.157194802406735,89.10277343563658
16.86091781722551,34.4,18.982,49.01429598030671,88.82582350239969
16.81122945430638,34.5,19.052,48.72820131683008,88.2386597433675
16.943731755424064,34.7,19.113,48.82919814243245,88.65029956272727
17.00998290598291,34.9,19.171,48.739206034334984,88.72767673038918
17.059671268902036,35.0,19.25,48.741917911148676,88.62166892936123
17.059671268902036,35.1,19.317,48.60305204815395,88.31428932495749
17.175610782380016,35.3,19.402,48.65612119654396,88.5249499143388
17.374364234056543,35.4,19.467,49.08012495496199,89.25034280606432
17.52342932281394,35.6,19.508,49.22311607532005,89.82688806035442
17.60624326101249,35.7,19.584,49.31720801404059,89.9011604422615
17.689057199211046,35.8,19.633,49.4107742994722,90.09859521831125
17.838122287968446,36.1,19.726,49.4130811301065,90.42949552858384
17.854685075608153,36.3,19.812,49.18646026338334,90.12055862915481
17.937499013806708,36.4,19.892,49.27884344452392,90.17443702899008
17.98718737672584,36.6,19.989,49.14532070143672,89.98542886950742
18.152815253122945,36.8,20.076,49.328302318268875,90.42047844751417
18.26875476660092,36.9,20.132,49.508820505693556,90.74485777171131
18.401257067718607,37.1,20.216,49.599075654228045,91.02323440699746
18.550322156476003,37.3,20.285,49.73276717553889,91.44847008368747
18.633136094674555,37.5,20.372,49.688362919132146,91.46444185487215
18.749075608152534,37.7,20.465,49.732296042844915,91.61532180871016
18.93126627218935,37.9,20.539,49.95057063902203,92.17228819411534
19.063768573307033,38.1,20.62,50.03613798768251,92.45280588412722
19.163145299145302,38.3,20.672,50.0343219298833,92.70097377682518
19.245959237343854,38.5,20.776,49.98950451258144,92.6355373380047
19.395024326101247,38.6,20.842,50.24617701062499,93.0574048848539
19.527526627218936,38.8,20.896,50.328676874275615,93.45102712107071
19.57721499013807,38.9,20.973,50.32703082297705,93.34484809106027
19.759405654174888,39.0,21.028,50.665142703012535,93.96711838584217
19.958159105851415,39.2,21.122,50.91367118839646,94.48991149442011
20.057535831689677,39.4,21.227,50.90745134946618,94.49067617510565
20.173475345167653,39.6,21.31,50.943119558504165,94.66670739168302
20.289414858645628,39.8,21.405,50.97842929307947,94.78820303034631
20.339103221564763,39.9,21.45,50.97519604402196,94.82099403992896
20.289414858645628,39.9,21.513,50.85066380612939,94.31234536626982
20.289414858645628,40.0,21.584,50.72353714661407,94.00210738809132
20.355666009204473,40.1,21.669,50.76225937457475,93.93911121512055
20.50473109796187,40.3,21.759,50.88022604953317,94.23563168326609
20.720047337278107,40.5,21.855,51.16061070932866,94.80689699051982
20.75317291255753,40.6,21.921,51.11618943979688,94.6725647213062
20.819424063116372,40.7,21.985,51.15337607645299,94.6983127728741
20.869112426035503,40.8,22.018,51.149785357930156,94.78205298408349
20.935363576594348,40.9,22.052,51.18670801123313,94.93634852437125
21.100991452991455,41.0,22.097,51.465832812174284,95.49256212604179
21.150679815910586,41.1,22.184,51.461508067908966,95.34204749328609
21.216930966469427,41.2,22.275,51.49740525842093,95.24997066877408
21.26661932938856,41.4,22.363,51.368645723160775,95.09734529977446
21.25005654174885,41.4,22.395,51.32863898973152,94.88750409354255
21.28318211702827,41.5,22.429,51.28477618561029,94.89135546403439
21.349433267587116,41.6,22.478,51.32075304708441,94.97923866708388
21.4819355687048,41.7,22.513,51.51543301847673,95.42013755920932
21.69725180802104,41.8,22.593,51.90730097612689,96.03528441562005
21.780065746219595,41.9,22.659,51.98106383345965,96.12103687814817
21.763502958579885,42.1,22.76,51.69478137429901,95.62171774419984
21.746940170940174,42.2,22.786,51.533033580426945,95.43991999885971
21.763502958579885,42.4,22.854,51.32901641174501,95.22841935144783
21.780065746219595,42.5,22.927,51.2472135205167,94.99745167801979
21.73037738330046,42.7,22.996,50.89081354402918,94.49633581188233
21.73037738330046,43.0,23.117,50.5357613565127,94.00171900895644
21.746940170940174,43.4,23.28,50.108157075899015,93.41469145592858
21.746940170940174,43.7,23.454,49.76416515089284,92.72166867459782
21.7966285338593,43.9,23.569,49.650634473483606,92.4800735451623
21.84631689677844,44.2,23.704,49.42605632755303,92.1629973708169
21.829754109138726,44.2,23.79,49.388583957327434,91.76021063110016
22.028507560815253,45.0,24.064,48.952239024033894,91.5413379355687
22.11132149901381,45.2,24.16,48.91885287392435,91.52037044293795
22.276949375410915,45.6,24.296,48.85295915660288,91.68978175588951
22.376326101249177,45.9,24.495,48.75016579792849,91.35058624718994
22.525391190006577,46.3,24.697,48.65095289418267,91.20699352150697
22.707581854043394,46.8,24.934,48.52047404710127,91.07075420728079
22.889772518080207,47.3,25.224,48.39275373801313,90.74600585981688
23.13821433267587,47.8,25.517,48.406306135305165,90.67764365981843
23.221028270874424,48.1,25.697,48.27656605171398,90.36474402021413
23.336967784352403,48.6,25.95,48.01845223117778,89.93051169307284
23.469470085470082,49.0,26.17,47.89687772544915,89.6808180568211
23.58540959894806,49.3,26.363,47.840587421801345,89.46405795602952
23.8007258382643,49.9,26.639,47.69684536726312,89.34541776442171
24.03260486522025,50.6,26.916,47.49526653205583,89.28743076690537
24.23135831689678,51.0,27.108,47.51246728803291,89.38821866938461
24.413548980933598,51.5,27.312,47.40494947754097,89.38762807898945
24.794493096646942,51.9,27.528,47.77358978159334,90.07008535544516
25.266,52.3,27.698,48.30975143403442,91.21958264134594
25.308,52.6,27.849,48.11406844106464,90.87579446299688
25.373,52.8,27.943,48.05492424242425,90.80270550764055
25.415,53.0,28.039,47.95283018867924,90.64160633403473
25.491,53.1,28.15,48.00564971751412,90.55417406749557
25.475,53.5,28.326,47.61682242990655,89.9350420108734
25.612,54.0,28.569,47.42962962962963,89.6496202177185
25.764,54.2,28.693,47.5350553505535,89.79193531523367
26.024,54.6,28.835,47.663003663003664,90.25143055314722
26.217,54.9,29.003,47.75409836065574,90.39409716236251
26.403,55.3,29.189,47.74502712477396,90.45530850662921
26.478,55.6,29.35,47.622302158273385,90.21465076660988
26.575,55.8,29.462,47.62544802867383,90.20093679994568
26.626,55.9,29.5,47.631484794275494,90.25762711864407
26.86,56.0,29.544,47.964285714285715,90.91524505821825
27.129,56.1,29.611,48.35828877005348,91.61797980480227
27.449,56.4,29.752,48.668439716312065,92.25934390965314
27.534,56.7,29.882,48.56084656084656,92.14242687905761
27.761,57.0,30.033,48.70350877192982,92.43498817966902
27.942,57.3,30.199,48.76439790575917,92.52624259081426
28.143,57.6,30.369,48.859375,92.67015706806284
28.235,57.9,30.528,48.76511226252159,92.48886268343816
28.399,58.1,30.667,48.87951807228916,92.6044282127368
28.635,58.4,30.839,49.03253424657535,92.85320535685334
28.873,58.7,31.017,49.18739352640545,93.08766160492632
29.212,59.3,31.26,49.26138279932547,93.44849648112603
29.63,59.6,31.417,49.71476510067114,94.31199668969029
30.157,60.0,31.6,50.26166666666667,95.43354430379748
30.53,60.2,31.76,50.71428571428571,96.1272040302267
30.761,60.5,31.937,50.84462809917355,96.31775057143751
31.078,60.8,32.103,51.11513157894737,96.80715197956576
31.393,61.1,32.253,51.379705400982004,97.33358137227545
31.804,61.3,32.374,51.882544861337685,98.23932785568665
32.204,61.6,32.524,52.27922077922078,99.01611117943673
32.537,62.0,32.712,52.47903225806452,99.46502812423574
32.831,62.3,32.87,52.69823434991975,99.8813507757834
33.162,62.7,33.064,52.889952153110045,100.29639487055408
33.534,63.0,33.218,53.22857142857143,100.95129146848092
34.001,63.4,33.433,53.62933753943218,101.69892022851673
34.447,63.9,33.686,53.90766823161189,102.25909873537968
34.92,64.5,33.927,54.13953488372093,102.92687240251128
35.446,65.0,34.149,54.53230769230769,103.79806143664527
35.945,65.5,34.336,54.87786259541985,104.68604380242313
36.419,65.9,34.509,55.264036418816374,105.53478802631197
36.801,66.5,34.706,55.33984962406016,106.03642021552469
37.158,67.1,34.981,55.37704918032787,106.22337840542009
37.548,67.5,35.18,55.626666666666665,106.73109721432633
37.993,67.9,35.345,55.954344624447714,107.49186589333712
38.501,68.5,35.611,56.20583941605839,108.11546993906379
38.985,69.2,35.802,56.33670520231213,108.89056477291771
39.502,69.9,36.081,56.51216022889842,109.4814445275907
40.015,70.6,36.457,56.67847025495752,109.7594426310448
