hpi,cpi (1982-1984=100),pce (2012=100),real hpi (cpi),real hpi (pce)
15.088699539776464,29.01,16.074,52.012063218808905,93.87022234525608
15.072136752136753,28.98,16.132,52.00875345802882,93.43005673280904
15.088699539776464,29.15,16.22,51.76226257213196,93.02527459788202
15.188076265614729,29.35,16.326,51.74813037688153,93.02999060158477
15.188076265614729,29.37,16.346,51.7128916091751,92.91616460060399
15.188076265614729,29.54,16.432,51.41528864459962,92.42987016562031
15.121825115055884,29.55,16.485,51.17368905264259,91.73081659117916
15.304015779092703,29.75,16.542,51.44206984568975,92.5161152163747
15.25432741617357,29.84,16.604,51.12040018824923,91.87140096466858
15.188076265614729,29.81,16.6,50.94960169612456,91.49443533502848
15.270890203813282,29.92,16.653,51.0390715368091,91.70053566212263
15.28745299145299,29.98,16.685,50.99217141912272,91.62393162393163
15.419955292570677,30.04,16.721,51.33140909644034,92.21909749758194
15.386829717291256,30.21,16.808,50.9329020764358,91.54467942224689
15.486206443129522,30.22,16.819,51.244892267139385,92.075667061832
15.436518080210389,30.38,16.909,50.81144858528766,91.29172677396883
15.46964365548981,30.44,16.956,50.82011713367217,91.23403901562756
15.618708744247206,30.48,16.96,51.242482756716555,92.09144306749532
15.618708744247206,30.69,17.058,50.891849932379294,91.56236806335565
15.618708744247206,30.75,17.111,50.792548761779535,91.27876070508565
15.784336620644313,30.94,17.197,51.01595546426733,91.78540804003205
15.784336620644313,30.95,17.245,50.99947211839842,91.52993111420302
15.800899408284025,31.02,17.293,50.93778016854941,91.37164984840123
15.93340170940171,31.12,17.343,51.19987695823171,91.87223496166587
16.082466798159107,31.28,17.412,51.41453579974139,92.36427060739207
15.999652859960552,31.38,17.469,50.986784129893415,91.58883084298215
16.016215647600266,31.58,17.572,50.716325673211735,91.14623063737916
16.115592373438528,31.65,17.59,50.91814335999535,91.61792139532989
16.297783037475348,31.88,17.704,51.12228054415103,92.05706641140617
16.281220249835634,32.28,17.883,50.43748528449701,91.04300313054652
16.36403418803419,32.45,17.984,50.428456665744804,90.99218298506555
16.3805969756739,32.85,18.158,49.86483097617625,90.21146037930333
16.44684812623274,32.9,18.224,49.990419836573686,90.24828866457824
16.39715976331361,33.1,18.285,49.53824701907435,89.67547040368395
16.529662064431296,33.4,18.441,49.49000618093203,89.63538888580499
16.695289940828403,33.7,18.606,49.54091970572226,89.73067795780072
16.81122945430638,34.1,18.784,49.29979312113307,89.49760143902459
16.86091781722551,34.4,18.982,49.01429598030671,88.82582350239969
17.00998290598291,34.9,19.171,48.739206034334984,88.72767673038918
17.175610782380016,35.3,19.402,48.65612119654396,88.5249499143388
17.60624326101249,35.7,19.584,49.31720801404059,89.9011604422615
17.854685075608153,36.3,19.812,49.18646026338334,90.12055862915481
18.152815253122945,36.8,20.076,49.328302318268875,90.42047844751417
18.550322156476003,37.3,20.285,49.73276717553889,91.44847008368747
18.93126627218935,37.9,20.539,49.95057063902203,92.17228819411534
19.245959237343854,38.5,20.776,49.98950451258144,92.6355373380047
