hpi,cpi (1982-1984=100),pce (2012=100),real hpi (cpi),real hpi (pce)
15.088699539776464,29.01,16.042,52.012063218808905,94.05747126154134
15.072136752136753,28.98,16.1,52.00875345802882,93.61575622445187
15.088699539776464,29.15,16.189,51.76226257213196,93.20340687983484
15.188076265614729,29.35,16.294,51.74813037688153,93.21269341852663
15.188076265614729,29.37,16.314,51.7128916091751,93.09842016436637
15.188076265614729,29.54,16.4,51.41528864459962,92.61022113179713
15.121825115055884,29.55,16.453,51.17368905264259,91.90922698022175
15.304015779092703,29.75,16.51,51.44206984568975,92.69543173284495
15.25432741617357,29.84,16.571,51.12040018824923,92.05435650337076
15.188076265614729,29.81,16.568,50.94960169612456,91.67115080646262
15.270890203813282,29.92,16.621,51.0390715368091,91.87708443422949
15.28745299145299,29.98,16.652,50.99217141912272,91.80550679469728
15.419955292570677,30.04,16.689,51.33140909644034,92.39592122098794
15.386829717291256,30.21,16.775,50.9329020764358,91.72476731619228
15.486206443129522,30.22,16.787,51.244892267139385,92.25118510233825
15.436518080210389,30.38,16.876,50.81144858528766,91.47024223874371
15.46964365548981,30.44,16.923,50.82011713367217,91.41194620037707
15.618708744247206,30.48,16.927,51.242482756716555,92.27097976160694
15.618708744247206,30.69,17.025,50.891849932379294,91.73984578118771
15.618708744247206,30.75,17.078,50.792548761779535,91.4551396196698
15.784336620644313,30.94,17.163,51.01595546426733,91.96723545210227
15.784336620644313,30.95,17.211,50.99947211839842,91.71074673548495
15.800899408284025,31.02,17.259,50.93778016854941,91.55165078094922
15.93340170940171,31.12,17.31,51.19987695823171,92.04738133680944
16.082466798159107,31.28,17.378,51.41453579974139,92.54498099987978
15.999652859960552,31.38,17.435,50.986784129893415,91.76743825615459
16.016215647600266,31.58,17.538,50.716325673211735,91.32293105029231
16.115592373438528,31.65,17.556,50.91814335999535,91.79535414353228
16.297783037475348,31.88,17.67,51.12228054415103,92.23419941978125
16.281220249835634,32.28,17.848,50.43748528449701,91.22153882695896
16.36403418803419,32.45,17.949,50.428456665744804,91.16961495366978
16.3805969756739,32.85,18.123,49.86483097617625,90.38568104438502
16.44684812623274,32.9,18.188,49.990419836573686,90.42691954163593
16.39715976331361,33.1,18.249,49.53824701907435,89.85237417564585
16.529662064431296,33.4,18.405,49.49000618093203,89.81071482983589
16.695289940828403,33.7,18.57,49.54091970572226,89.90463080683038
16.81122945430638,34.1,18.748,49.29979312113307,89.6694551648516
16.86091781722551,34.4,18.945,49.01429598030671,88.99930228147537
17.00998290598291,34.9,19.134,48.739206034334984,88.89925214791946
17.175610782380016,35.3,19.364,48.65612119654396,88.69867167103912
17.60624326101249,35.7,19.546,49.31720801404059,90.0759401463854
17.854685075608153,36.3,19.774,49.18646026338334,90.29374469307247
18.152815253122945,36.8,20.037,49.328302318268875,90.59647279095147
18.550322156476003,37.3,20.245,49.73276717553889,91.62915365016548
18.93126627218935,37.9,20.499,49.95057063902203,92.35214533484243
19.245959237343854,38.5,20.736,49.98950451258144,92.8142324331783
19.57721499013807,38.9,20.932,50.32703082297705,93.52768483727341
20.057535831689677,39.4,21.185,50.90745134946618,94.67800723006692
20.339103221564763,39.9,21.408,50.97519604402196,95.00702177487277
20.355666009204473,40.1,21.626,50.76225937457475,94.12589479887392
20.75317291255753,40.6,21.879,51.11618943979688,94.85430281346282
20.935363576594348,40.9,22.009,51.18670801123313,95.12183005404312
21.216930966469427,41.2,22.232,51.49740525842093,95.43419830185961
21.28318211702827,41.5,22.386,51.28477618561029,95.07362689640075
21.69725180802104,41.8,22.549,51.90730097612689,96.22267864659648
21.746940170940174,42.2,22.741,51.533033580426945,95.62877697084637
21.73037738330046,42.7,22.951,50.89081354402918,94.68161467169386
21.746940170940174,43.7,23.408,49.76416515089284,92.90387974598502
21.829754109138726,44.2,23.744,49.388583957327434,91.9379805809414
22.276949375410915,45.6,24.249,48.85295915660288,91.8674971149776
22.707581854043394,46.8,24.885,48.52047404710127,91.25007777393367
23.221028270874424,48.1,25.647,48.27656605171398,90.54091422339621
23.58540959894806,49.3,26.312,47.840587421801345,89.63746427085763
24.23135831689678,51.0,27.056,47.51246728803291,89.56001743382902
25.268,52.3,27.645,48.313575525812624,91.40170012660518
25.406,53.0,27.984,47.93584905660377,90.78759291023441
25.613,54.0,28.514,47.43148148148148,89.82605036122607
26.207,54.9,28.946,47.735883424408016,90.53755268430871
26.598,55.8,29.405,47.66666666666667,90.45400442101683
27.146,56.1,29.553,48.38859180035651,91.85531079755016
27.763,57.0,29.975,48.707017543859656,92.62051709758133
28.239,57.9,30.469,48.77202072538861,92.68108569365585
28.881,58.7,30.957,49.20102214650766,93.29392382982847
30.162,60.0,31.538,50.27,95.63700932208764
31.077,60.8,32.041,51.113486842105274,96.9913548266284
32.21,61.6,32.461,52.288961038961034,99.22676442500233
33.165,62.7,33.0,52.89473684210526,100.49999999999999
34.448,63.9,33.621,53.90923317683881,102.45977216620562
35.946,65.5,34.269,54.8793893129771,104.8936356473781
37.164,67.1,34.913,55.38599105812221,106.44745510268383
38.502,68.5,35.542,56.207299270072994,108.32817511676328
40.018,70.6,36.386,56.68271954674221,109.98186115538944
41.513,73.0,37.349,56.86712328767123,111.14889287531126
42.657,75.2,38.276,56.72473404255318,111.44581460967706
43.442,78.0,39.273,55.694871794871794,110.61543554095688
44.482,80.9,40.396,54.98393077873918,110.11486285770869
45.382,82.6,41.285,54.941888619854716,109.9237011020952
46.05,84.7,42.351,54.36835891381345,108.73415031522278
46.565,87.2,43.386,53.40022935779815,107.32724842114966
47.451,89.1,44.323,53.255892255892256,107.05728402860817
48.337,91.5,44.969,52.82732240437159,107.48960394938736
48.74,93.4,45.73,52.18415417558886,106.5821123988629
48.816,94.4,46.392,51.71186440677966,105.22503879979305
48.93,95.0,46.675,51.50526315789473,104.83128012854847
48.977,97.5,47.572,50.23282051282051,102.95341797696122
48.972,98.1,48.121,49.92048929663609,101.76845867708484
49.223,97.9,48.564,50.27885597548518,101.35697224281361
49.941,98.8,48.931,50.547570850202426,102.0641311234187
50.726,99.8,49.53,50.827655310621246,102.41469816272965
51.184,100.8,50.002,50.77777777777778,102.36390544378224
51.539,102.1,50.318,50.47894221351616,102.42656703366589
52.231,103.3,51.016,50.56243949661181,102.3816057707386
53.156,104.1,51.354,51.062439961575414,103.50897690540172
53.667,105.1,51.704,51.0627973358706,103.79661148073652
53.978,105.7,52.182,51.06717123935667,103.4417998543559
54.901,107.0,52.706,51.30934579439253,104.16461123970706
56.118,107.7,53.104,52.1058495821727,105.67565531786683
57.192,108.5,53.459,52.71152073732719,106.98292149123627
58.159,109.9,54.042,52.91992720655141,107.61814884719291
59.487,108.7,53.813,54.725850965961364,110.54392061397805
61.253,109.5,54.126,55.93881278538812,113.16742415844512
62.592,110.2,54.469,56.79854809437387,114.91306981953038
63.734,111.4,54.895,57.21184919210054,116.1016486018763
64.97,112.7,55.439,57.64862466725821,117.19186854019735
66.79,113.8,55.919,58.69068541300528,119.440619467444
67.9,115.0,56.508,59.04347826086958,120.15997734834005
68.58,116.0,56.941,59.12068965517241,120.44045591050386
69.79,117.2,57.499,59.54778156996588,121.37602393085099
71.69,118.5,58.193,60.497890295358644,123.1935112470572
72.82,119.9,58.841,60.733944954128425,123.75724409850272
73.62,121.2,59.465,60.742574257425744,123.80391827125199
74.87,123.1,60.284,60.820471161657196,124.19547475283659
76.04,124.5,60.782,61.07630522088354,125.10282649468594
76.49,125.4,61.162,60.996810207336516,125.06131257970634
76.53,127.5,61.939,60.023529411764706,123.55704806341723
77.04,128.9,62.577,59.767261442979056,123.11232561484253
77.56,130.5,63.151,59.43295019157089,122.81674082754033
76.91,133.4,64.327,57.65367316341828,119.5609930511294
75.53,134.7,64.714,56.07275426874536,116.71353957412616
75.32,135.1,64.878,55.751295336787564,116.0948241314467
76.52,136.2,65.36,56.182085168869314,117.07466340269276
76.29,137.2,65.86,55.604956268221585,115.83662313999395
75.7,138.3,66.26,54.73608098336948,114.246906127377
76.08,139.4,66.769,54.576757532281206,113.94509428027976
76.71,140.5,67.197,54.597864768683266,114.15688200366085
76.6,141.7,67.635,54.05786873676782,113.25497153840465
76.4,142.8,68.052,53.50140056022409,112.26708987245048
76.66,143.8,68.475,53.31015299026425,111.95326761591822
77.89,144.5,68.82,53.90311418685121,113.17930834059868
78.17,145.6,69.227,53.68818681318681,112.91837000014444
78.2,146.3,69.397,53.45181134654818,112.68498638269666
78.7,147.2,69.832,53.464673913043484,112.6990491465231
80.06,148.4,70.325,53.94878706199461,113.84287237824387
80.3,149.4,70.684,53.748326639892895,113.60421028804255
80.03,150.5,71.008,53.17607973421927,112.70561063542137
80.37,151.8,71.453,52.94466403162055,112.47953200005598
81.41,152.6,71.722,53.34862385321101,113.50771032598088
81.73,153.5,72.113,53.244299674267104,113.33601431087321
81.43,154.7,72.41,52.63736263736265,112.4568429774893
82.13,156.1,72.961,52.613709160794365,112.56698784282013
83.42,157.0,73.241,53.133757961783445,113.89795333215002
83.63,158.2,73.74,52.86346396965867,113.41198806617847
83.53,159.4,74.052,52.40276035131743,112.79911413601252
84.32,159.9,74.359,52.73295809881176,113.39582296695761
85.84,160.4,74.464,53.51620947630923,115.27718091963904
86.41,161.5,74.801,53.5046439628483,115.51984599136374
87.16,162.0,74.825,53.80246913580247,116.48513197460741
88.56,162.2,74.891,54.599260172626394,118.25185936894952
90.86,163.2,75.116,55.67401960784314,120.95958251238086
92.0,163.9,75.341,56.131787675411836,122.11146653216709
92.71,164.7,75.527,56.2902246508804,122.75080434811392
94.44,165.9,75.906,56.9258589511754,124.41704213105682
97.19,166.7,76.181,58.30233953209358,127.57774248172116
98.83,168.1,76.723,58.792385484830454,128.8140453319083
100.0,169.3,77.18,59.06674542232723,129.56724540036276
102.54,170.9,77.69,60.0,131.98609859698806
105.72,172.7,78.214,61.21598147075854,135.1676170506559
107.73,173.9,78.652,61.949396204715356,136.97045211819153
109.21,175.6,79.265,62.19248291571754,137.77833848482936
111.25,176.4,79.534,63.06689342403627,139.87728518620966
114.23,177.4,79.858,64.391206313416,143.04139848230608
115.68,177.6,79.857,65.13513513513513,144.85893534693267
116.44,177.7,79.793,65.52616769836804,145.92758763300037
119.21,179.3,80.479,66.48633575013943,148.12559798208227
123.69,180.0,80.81,68.71666666666667,153.0627397599307
126.14,181.2,81.262,69.61368653421633,155.22630503802515
127.65,182.6,81.664,69.90690032858708,156.31122648902823
130.49,183.2,82.08,71.22816593886463,158.979044834308
134.65,183.7,82.315,73.29885683179097,163.57893458057464
137.98,184.9,82.862,74.6241211465657,166.5178248171659
140.71,186.3,83.471,75.52871712292001,168.5735165506583
146.18,187.4,83.934,78.0042689434365,174.16065003455097
152.34,189.1,84.525,80.56054997355898,180.23070097604258
156.3,190.8,85.099,81.91823899371069,183.6684332365833
160.13,191.6,85.585,83.57515657620041,187.10054331950693
167.0,193.7,86.321,86.2157976251936,193.46393114074212
174.1,194.9,86.79,89.32786044125191,200.5991473672082
178.75,199.1,88.121,89.77900552486187,202.84608663088255
180.83,199.3,88.364,90.73256397390868,204.64216196641166
183.65,200.7,88.999,91.50473343298457,206.35063315318152
184.61,202.9,89.765,90.98570724494826,205.6592213000613
184.06,201.9,89.599,91.16394254581476,205.4263998482126
182.72,203.437,90.249,89.81650338925563,202.462077142129
182.13,205.904,91.074,88.45384256741006,199.98023585216418
180.99,207.603,91.672,87.18082108640048,197.4321494022166
177.53,209.19,92.367,84.86543333811369,192.20067773122435
171.08,212.174,93.307,80.63193416724009,183.35173138135403
167.32,213.942,93.934,78.20811247908311,178.12506653607852
165.71,219.016,95.463,75.6611389122256,173.5855776583598
159.16,216.995,94.835,73.34731215004953,167.82833342120526
149.36,211.933,93.203,70.47510298065899,160.2523523920904
146.94,212.709,93.401,69.08029279438105,157.3216560850526
150.75,214.726,94.063,70.20575058446579,160.2649288242986
148.58,216.509,94.847,68.62532273485168,156.65229263972503
145.0,217.488,95.348,66.67034503053043,152.07450602005287
145.4,217.403,95.532,66.88040183438132,152.20030984382197
