Year,GDP [Bil. of 2017 Dollars],Consumption [Bil. of 2017 Dollars],Investment [Bil. of 2017 Dollars],Government Purchases [Bil. of 2017 Dollars],Exports [Bil. of 2017 Dollars],Imports [Bil. of 2017 Dollars],Net Exports [Bil. of 2017 Dollars],Capital [Bil. of 2017 Dollars],Labor [Bil. of Hours]
1950-01-01,2458.6,1574.8,463.6,414.2,101.3,95.2,6.1,2260.8,100.064
1951-01-01,2656.3,1595.2,480.5,561.3,130.9,111.7,19.2,2405.7,108.525
1952-01-01,2764.9,1650.8,431.1,674.3,123.9,115.1,8.8,2547.1,110.757
1953-01-01,2894.5,1730.8,449.3,719.6,113.9,119.1,-5.2,2619.2,112.184
1954-01-01,2877.6,1765.5,427.9,681.3,116.7,113.7,3.0,2699.3,107.712
1955-01-01,3083.0,1871.5,534.4,673.6,128.1,124.6,3.5,2746.6,111.238
1956-01-01,3148.7,1899.9,544.4,688.0,149.1,132.6,16.5,2893.9,113.637
1957-01-01,3215.1,1941.8,518.9,726.8,162.9,135.3,27.6,3030.3,113.304
1958-01-01,3191.2,1960.3,470.5,756.9,136.3,132.8,3.6,3122.1,109.709
1959-01-01,3412.4,2074.5,560.4,774.9,148.7,146.1,2.6,3152.5,113.164
1960-01-01,3500.4,2137.3,558.1,777.8,174.5,147.4,27.1,3268.5,114.721
1961-01-01,3590.1,2180.6,552.9,825.3,176.3,144.9,31.4,3365.9,114.607
1962-01-01,3810.2,2287.4,611.8,885.1,183.4,157.5,25.9,3444.4,118.097
1963-01-01,3976.1,2383.0,644.2,918.1,193.8,163.0,30.8,3570.7,120.093
1964-01-01,4205.3,2522.9,689.1,950.9,215.2,172.7,42.5,3711.6,122.889
1965-01-01,4478.6,2672.7,782.2,989.8,224.1,190.2,33.9,3877.5,127.604
1966-01-01,4773.8,2816.6,846.2,1088.4,240.2,217.5,22.7,4113.2,133.972
1967-01-01,4904.8,2889.9,813.9,1180.7,247.9,227.6,20.3,4379.6,136.172
1968-01-01,5145.8,3046.2,858.4,1233.7,262.1,254.7,7.4,4576.2,139.143
1969-01-01,5306.7,3147.9,905.1,1246.3,270.8,263.3,7.5,4789.6,143.024
1970-01-01,5316.3,3203.3,842.3,1251.1,295.8,276.2,19.6,5019.6,140.823
1971-01-01,5491.5,3299.7,927.9,1260.9,296.8,293.9,2.9,5154.3,140.043
1972-01-01,5780.0,3471.1,1030.9,1293.2,320.1,335.4,-15.2,5355.7,144.127
1973-01-01,6106.5,3639.7,1143.5,1305.7,408.1,390.5,17.6,5631.7,150.314
1974-01-01,6073.4,3655.9,1079.0,1341.7,497.8,501.0,-3.2,5981.4,150.547
1975-01-01,6060.8,3707.0,925.4,1371.0,498.9,441.5,57.5,6217.2,146.463
1976-01-01,6387.4,3912.9,1102.0,1378.0,509.8,515.3,-5.6,6266.3,150.687
1977-01-01,6682.8,4089.5,1273.2,1394.2,511.5,585.7,-74.1,6485.0,155.78
1978-01-01,7052.8,4265.5,1434.7,1428.6,560.5,636.6,-76.1,6844.1,162.941
1979-01-01,7275.9,4390.5,1494.5,1453.3,637.3,699.7,-62.4,7314.1,167.633
1980-01-01,7257.4,4446.6,1346.4,1497.5,713.1,746.3,-33.2,7777.6,166.633
1981-01-01,7441.4,4487.4,1464.7,1518.4,708.3,737.3,-29.1,8027.7,167.767
1982-01-01,7307.4,4526.4,1269.8,1554.8,618.9,662.6,-43.7,8360.8,163.779
1983-01-01,7642.2,4798.1,1340.7,1612.0,582.5,691.1,-108.6,8452.1,166.077
1984-01-01,8195.4,5058.8,1664.6,1680.5,613.8,822.3,-208.5,8601.4,174.211
1985-01-01,8536.9,5337.5,1632.3,1791.4,596.6,820.9,-224.3,9053.5,177.608
