,Series Name,Description,Frequency,Start,End
0,FL543069483.A,"Life insurance companies, separate accounts; policy loans; asset",A,12-31-1945,12-31-2014
1,FL543069483.Q,"Life insurance companies, separate accounts; policy loans; asset",Q,12-31-1945,06-30-2015
2,FL543069873.A,"Life insurance companies, general accounts; syndicated loans to nonfinancial corporate business; asset",A,12-31-1945,12-31-2014
3,FL543069873.Q,"Life insurance companies, general accounts; syndicated loans to nonfinancial corporate business; asset",Q,12-31-1945,06-30-2015
4,FL543077073.A,"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset",A,12-31-1945,12-31-2014
5,FL543077073.Q,"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset",Q,12-31-1945,06-30-2015
6,FL543081005.A,Life insurance companies; equity and investment fund shares; asset (IMA),A,12-31-1945,12-31-2014
7,FL543081005.Q,Life insurance companies; equity and investment fund shares; asset (IMA),Q,12-31-1945,06-30-2015
8,FL543081105.A,Life insurance companies; equity and investment fund shares excluding mutual fund shares and money market fund shares; asset (IMA),A,12-31-1945,12-31-2014
9,FL543081105.Q,Life insurance companies; equity and investment fund shares excluding mutual fund shares and money market fund shares; asset (IMA),Q,12-31-1945,06-30-2015
10,FR764112205.A,U.S.-chartered depository institutions; interbank transactions due to U.S. banks; liability,A,12-31-1946,12-31-2014
11,FR764112205.Q,U.S.-chartered depository institutions; interbank transactions due to U.S. banks; liability,Q,12-31-1946,06-30-2015
12,FR764116005.A,"U.S.-chartered depository institutions, including IBFs; net interbank transactions with banks in foreign countries; liability",A,12-31-1946,12-31-2014
13,FR764116005.Q,"U.S.-chartered depository institutions, including IBFs; net interbank transactions with banks in foreign countries; liability",Q,12-31-1946,06-30-2015
14,FR764116205.A,U.S.-chartered depository institutions; net interbank transactions with foreign affiliates including deposits at foreign banks; liability,A,12-31-1946,12-31-2014
15,FR764116205.Q,U.S.-chartered depository institutions; net interbank transactions with foreign affiliates including deposits at foreign banks; liability,Q,12-31-1946,06-30-2015
16,FR764122005.A,U.S.-chartered depository institutions; debt securities; liability,A,12-31-1946,12-31-2014
17,FR764122005.Q,U.S.-chartered depository institutions; debt securities; liability,Q,12-31-1946,06-30-2015
18,FR764190005.A,"U.S.-chartered depository institutions, including IBFs; total liabilities",A,12-31-1946,12-31-2014
19,FR764190005.Q,"U.S.-chartered depository institutions, including IBFs; total liabilities",Q,12-31-1946,06-30-2015
20,FR773081005.A,Captive financial institutions and money lenders; equity and investment fund shares; asset (IMA),A,12-31-1946,12-31-2014
21,FR773081005.Q,Captive financial institutions and money lenders; equity and investment fund shares; asset (IMA),Q,12-31-1946,06-30-2015
22,FR773081105.A,Captive financial institutions and money lenders; equity and investment fund shares excluding mutual fund shares and money market fund shares; asset (IMA),A,12-31-1946,12-31-2014
23,FA104022005.Q,Nonfinancial corporate business; debt securities; asset,Q,12-31-1946,06-30-2015
24,FA104023005.A,Nonfinancial corporate business; loans; asset,A,12-31-1946,12-31-2014
25,FA104023005.Q,Nonfinancial corporate business; loans; asset,Q,12-31-1946,06-30-2015
26,FA104035005.A,Nonfinancial corporate business; total loans including security repurchase agreements; asset ,A,12-31-1946,12-31-2014
27,FA104035005.Q,Nonfinancial corporate business; total loans including security repurchase agreements; asset ,Q,12-31-1946,06-30-2015
28,FA104041005.A,Nonfinancial corporate business; short-term loans including security repurchase agreements; asset,A,12-31-1946,12-31-2014
29,FA104041005.Q,Nonfinancial corporate business; short-term loans including security repurchase agreements; asset,Q,12-31-1946,06-30-2015
30,FA104090005.A,Nonfinancial corporate business; total financial assets,A,12-31-1946,12-31-2014
31,FA104090005.Q,Nonfinancial corporate business; total financial assets,Q,12-31-1946,06-30-2015
32,FA104104005.A,Nonfinancial corporate business; debt securities and loans; liability,A,12-31-1946,12-31-2014
33,FA104104005.Q,Nonfinancial corporate business; debt securities and loans; liability,Q,12-31-1946,06-30-2015
34,FA104122005.A,Nonfinancial corporate business; debt securities; liability,A,12-31-1946,12-31-2014
35,FA104122005.Q,Nonfinancial corporate business; debt securities; liability,Q,12-31-1946,06-30-2015
36,FA104123005.A,Nonfinancial corporate business; loans; liability,A,12-31-1946,12-31-2014
37,FA104123005.Q,Nonfinancial corporate business; loans; liability,Q,12-31-1946,06-30-2015
38,FA158090185.A,Households and nonprofit organizations; total other volume changes (IMA),A,12-31-1946,12-31-2014
39,FA158100005.A,Households and nonprofit organizations; holding gains on assets at current cost,A,12-31-1946,12-31-2014
40,FA158100005.Q,Households and nonprofit organizations; holding gains on assets at current cost,Q,12-31-1946,06-30-2015
41,FA162051005.A,Nonprofit organizations; security repurchase agreements; asset,A,12-31-1988,12-31-2000
42,FA162051005.Q,Nonprofit organizations; security repurchase agreements; asset,Q,12-31-1946,06-30-2015
43,FA162090205.A,Nonprofit organizations; proprietors' equity in noncorporated business; asset,A,12-31-1988,12-31-2000
44,FA162090205.Q,Nonprofit organizations; proprietors' equity in noncorporated business; asset,Q,12-31-1946,06-30-2015
45,FA163020005.A,Nonprofit organizations; checkable deposits and currency; asset,A,12-31-1988,12-31-2000
46,FA163020005.Q,Nonprofit organizations; checkable deposits and currency; asset,Q,12-31-1946,06-30-2015
47,FA163030005.A,Nonprofit organizations; total time and savings deposits; asset,A,12-31-1988,12-31-2000
48,FA163030005.Q,Nonprofit organizations; total time and savings deposits; asset,Q,12-31-1946,06-30-2015
49,FA163034005.A,Nonprofit organizations; money market mutual fund shares; asset,A,12-31-1988,12-31-2000
50,FA163034005.Q,Nonprofit organizations; money market mutual fund shares; asset,Q,12-31-1946,06-30-2015
51,FA163061105.A,Nonprofit organizations; Treasury securities; asset,A,12-31-1988,12-31-2000
52,FA163061105.Q,Nonprofit organizations; Treasury securities; asset,Q,12-31-1946,06-30-2015
53,FR513081105.Q,Property-casualty insurance companies; equity and investment fund shares excluding mutual fund shares and money market fund shares; asset (IMA),Q,12-31-1946,06-30-2015
